sf_ppo_return,benchmark_return
-0.00075302075,-0.0026112199
-0.0055025597,0.002342105
-0.0028110116,0.00088620186
0.022487348,-0.0017704368
0.0027496088,0.016326785
0.01401297,0.00081539154
0.007619583,0.012730122
0.0043139216,0.0044841766
-0.0038165858,0.0070643425
0.0024137844,-0.005027294
-0.012297026,0.0005508661
-0.020571612,-0.008597314
-0.003190342,-0.019080102
0.0017676154,-0.004658282
0.012886916,0.0018122196
-0.03262813,0.009783387
-0.00908104,-0.030289173
-0.008908547,-0.005712211
-0.00889335,-0.00959909
-0.0009585349,-0.008821368
-0.01122456,0.004633069
-0.0065868944,-0.010676503
0.015380366,-0.005528331
0.005742406,0.01399827
0.010448603,0.0061187744
0.009689379,0.011870861
-0.042290475,0.007142067
0.0043133926,-0.03941679
-0.005540654,0.00096833706
-0.0028062123,-0.005565107
0.009948389,-0.004502356
-0.0115442155,0.00639987
-0.014122733,-0.010104835
-0.009742821,-0.017014503
-0.013216351,-0.0035482645
-0.0151585825,-0.01616764
-0.0030605074,-0.011138737
0.01486624,-0.0042999387
-0.018030293,0.01883471
-0.022224747,-0.015433729
0.02297931,-0.017111719
0.03079116,0.026644588
-0.0026799964,0.027989268
-0.012633923,-0.0014002919
-0.025802407,-0.011459708
-0.0034569623,-0.021056294
0.0006430059,-0.0032054186
-0.00030784082,0.0012433529
0.029854791,-0.0009692311
-0.021319147,0.028341174
0.022432016,-0.013445675
0.009847816,0.018592715
0.0051639006,0.011196613
-0.0048576174,-0.0032758117
0.026519775,-0.0029654503
0.0144238835,0.024691105
0.012793541,0.013417721
-0.003866142,0.010702372
0.0027326853,7.43866e-05
0.032036427,0.006098509
-0.0043780543,0.025864363
-0.002224445,-0.003921032
-0.014829206,-0.0024363995
-0.0025528704,-0.015479028
0.018554566,-0.004557371
0.0071347603,0.012561083
0.006863004,0.013078332
-0.018946588,0.010169268
0.048393253,-0.019507587
0.008734669,0.036951303
-0.0023012557,0.0009635687
0.0031360341,-0.0062569976
-0.0042249286,0.0016764402
0.0020777958,-0.0011637211
0.0027710847,-0.00022375584
0.0006360948,0.005943179
0.012983879,-0.0013456345
0.0074142455,0.0118047
-0.0011629339,0.0028141737
-0.014531508,0.004473686
-0.0023599288,-0.014486551
0.028068747,9.071827e-05
0.0010662549,0.021777987
0.0012407769,-0.005630493
-0.012955285,0.0010137558
-0.013094451,-0.014022052
-0.0015595157,-0.010332584
