sf_ppo_return,benchmark_return
-0.0052236686,-0.0026112199
-0.0010391995,0.002342105
-0.0047083963,0.00088620186
0.02239882,-0.0017704368
0.006430522,0.016326785
0.019754892,0.00081539154
0.010161883,0.012730122
0.004717201,0.0044841766
-0.010108601,0.0070643425
0.0035492308,-0.005027294
-0.011823019,0.0005508661
-0.021883301,-0.008597314
-0.0020304478,-0.019080102
0.0038056378,-0.004658282
0.014107082,0.0018122196
-0.032178905,0.009783387
-0.0054221544,-0.030289173
-0.012501205,-0.005712211
-0.008230645,-0.00959909
-0.004369308,-0.008821368
-0.012204835,0.004633069
-0.0034258869,-0.010676503
0.016544633,-0.005528331
0.0055109556,0.01399827
0.012024564,0.0061187744
0.00904119,0.011870861
-0.043058753,0.007142067
0.0032587498,-0.03941679
-0.0054332404,0.00096833706
-0.008105208,-0.005565107
0.0078274645,-0.004502356
-0.008875972,0.00639987
-0.018658247,-0.010104835
-0.0114906505,-0.017014503
-0.017652215,-0.0035482645
-0.013208579,-0.01616764
-0.01088455,-0.011138737
0.0220824,-0.0042999387
-0.017844198,0.01883471
-0.016411498,-0.015433729
0.025502337,-0.017111719
0.029649964,0.026644588
-0.0031868184,0.027989268
-0.010781488,-0.0014002919
-0.025109427,-0.011459708
-0.007718777,-0.021056294
-0.0036499193,-0.0032054186
0.0014876607,0.0012433529
0.024719527,-0.0009692311
-0.017516185,0.028341174
0.024124082,-0.013445675
0.009975729,0.018592715
0.000718036,0.011196613
-0.0053634928,-0.0032758117
0.027909538,-0.0029654503
0.01084141,0.024691105
0.01848616,0.013417721
-0.0059790323,0.010702372
0.012871334,7.43866e-05
0.021892197,0.006098509
-0.005185546,0.025864363
-0.0046495143,-0.003921032
-0.018220566,-0.0024363995
0.0014440888,-0.015479028
0.011369358,-0.004557371
0.009764696,0.012561083
0.0068916716,0.013078332
-0.043421477,0.010169268
0.04134373,-0.019507587
0.0088008465,0.036951303
-0.00798417,0.0009635687
0.00014273601,-0.0062569976
-0.005455984,0.0016764402
-0.006163048,-0.0011637211
0.006662369,-0.00022375584
0.01159225,0.005943179
0.00671871,-0.0013456345
0.0127831595,0.0118047
0.002703253,0.0028141737
-0.015782984,0.004473686
-0.0041102306,-0.014486551
0.030991657,9.071827e-05
-0.0020310278,0.021777987
0.005502024,-0.005630493
