sk_a2c_return,benchmark_return
-0.0009513511,-0.0026112199
-0.0023557951,0.002342105
-0.0048434082,0.00088620186
0.02592662,-0.0017704368
0.0047335154,0.016326785
0.017841667,0.00081539154
0.007025552,0.012730122
0.0032373678,0.0044841766
-0.008465608,0.0070643425
0.0036866865,-0.005027294
-0.015576388,0.0005508661
-0.02605274,-0.008597314
-0.00046630917,-0.019080102
0.0031849802,-0.004658282
0.013463088,0.0018122196
-0.036856096,0.009783387
-0.010215846,-0.030289173
-0.00924375,-0.005712211
-0.011801317,-0.00959909
-0.002175647,-0.008821368
-0.010431399,0.004633069
-0.0066537797,-0.010676503
0.016707214,-0.005528331
0.0046255537,0.01399827
0.023012826,0.0061187744
0.014732487,0.011870861
-0.04657664,0.007142067
0.0034060273,-0.03941679
-0.013225738,0.00096833706
-0.011385789,-0.005565107
0.010069298,-0.004502356
-0.011128326,0.00639987
-0.02309444,-0.010104835
-0.0129569145,-0.017014503
-0.017969705,-0.0035482645
-0.010714059,-0.01616764
-0.0041877422,-0.011138737
0.019235997,-0.0042999387
-0.018774558,0.01883471
-0.018397842,-0.015433729
0.031174023,-0.017111719
0.03515614,0.026644588
-0.002391125,0.027989268
-0.0090492265,-0.0014002919
-0.027627887,-0.011459708
-0.008198764,-0.021056294
-0.006276651,-0.0032054186
-0.00086586084,0.0012433529
0.029103184,-0.0009692311
-0.02532992,0.028341174
0.029501026,-0.013445675
0.017004522,0.018592715
-0.002606961,0.011196613
-0.0053384798,-0.0032758117
0.023837928,-0.0029654503
0.010544951,0.024691105
0.021147486,0.013417721
-0.006400767,0.010702372
0.0042815725,7.43866e-05
0.023732778,0.006098509
-0.008634307,0.025864363
-0.008371139,-0.003921032
-0.028194327,-0.0024363995
-0.014948516,-0.015479028
0.016656533,-0.004557371
0.0112058595,0.012561083
0.00822217,0.013078332
-0.037384585,0.010169268
0.06293027,-0.019507587
0.013273879,0.036951303
-0.0057582194,0.0009635687
0.005454121,-0.0062569976
-0.009616203,0.0016764402
-0.0066843075,-0.0011637211
0.0031848478,-0.00022375584
0.0019857793,0.005943179
0.012506435,-0.0013456345
0.008112478,0.0118047
-0.0011612712,0.0028141737
-0.015831467,0.004473686
-0.0014831566,-0.014486551
0.03238897,9.071827e-05
-0.004823858,0.021777987
-0.0008417733,-0.005630493
-0.019552665,0.0010137558
-0.017168824,-0.014022052
-0.0022822183,-0.010332584
0.008412759,4.708767e-05
-0.005367458,0.0054633617
0.018311752,-0.00902921
0.006154637,0.015789509
-0.009010886,0.0030466318
-0.028509662,-0.0041716695
-0.009330474,-0.02249676
-0.013000988,-0.008486092
0.003975886,-0.0049489737
0.014444289,0.0028146505
-0.016290367,0.016034842
0.0068094907,-0.010456204
-0.006634997,0.005342245
-0.015726814,0.0011333227
0.020582316,-0.011005759
-0.0014886762,0.010496855
-0.00069454045,-0.0022140145
0.013762313,-0.00032818317
-0.01427306,0.0040256977
0.02936606,-0.010210216
0.005239622,0.021273255
0.009531919,-0.0033589005
0.010918236,0.0055627823
0.010361477,0.007978559
0.007400271,0.006386161
-0.00459396,0.0032945871
-0.016362036,-0.011420667
-0.011580188,-0.018103063
0.02570013,-0.00758034
0.015219612,0.010014653
0.004794068,0.007612467
0.0044113053,0.0031044483
0.010547499,0.00029289722
0.025073843,0.0060920715
-0.011468535,0.0008444786
0.007705352,-0.0076810718
0.004168687,0.010942459
0.013690682,0.00020301342
-0.0047741616,-0.0011445284
-0.005006163,-0.003756702
0.00974555,-0.0010313988
-0.0070765433,0.007838964
-0.0045229923,-0.00608021
-0.0059206933,-0.0073384643
0.011563133,0.0050264597
-0.0024017387,0.011121035
0.0062311,-0.0045745373
-0.015556499,0.0011376143
-0.0026875332,-0.012634754
-0.022428676,0.0038532019
0.0008289385,-0.020608008
0.008690814,-0.002550602
-0.011134505,0.0032930374
0.0037255802,-0.01016438
-0.0021472615,0.0021990538
0.0012587655,-0.007065892
0.011552755,0.00015735626
0.017630056,0.010462642
0.00027692333,0.011738062
-0.015702222,0.00121212
0.0030451294,-0.017198801
-0.019085394,-0.0017671585
-0.021819666,-0.016572118
-0.0059943125,-0.010702848
0.018388513,-0.0028361082
-0.0080430955,0.0105679035
0.016135748,-0.008733511
-0.012680609,0.011670113
0.011231937,-0.011925936
0.017958103,0.012008071
-0.013292467,0.0098006725
0.0041161184,-0.016292393
-0.0032569915,0.0023459196
0.0050836955,0.0041202307
-0.0050385045,0.0060349703
0.019215262,-0.0011664629
0.00431239,0.009981751
0.014598338,0.0043227673
0.001046279,0.012633324
-0.008963408,0.009827495
-0.005958003,-0.005915582
-0.0032449544,0.0024051666
0.005593361,7.677078e-05
-0.00068419566,0.0030231476
-0.008250586,0.0029258728
0.019065889,-0.0011366606
0.001153682,0.011388779
0.0043622786,-0.0042087436
0.003236158,0.0029720068
0.0021388037,-0.000310421
-0.007305712,-0.002343297
0.0037992555,-0.003256619
-0.0034715275,0.00066125393
-0.017823122,0.001965046
-0.00042820707,-0.010171711
0.018477391,-0.0068282485
0.010460445,0.015743494
-0.004050481,0.008041143
-0.01405326,-0.0013625622
-0.004722645,-0.010782659
-0.011575086,-0.008024275
0.024449104,-0.008574188
0.0028888336,0.01650095
-0.0015628726,-0.0016537309
-0.00065035303,-0.001691997
-0.011213952,-0.000908196
-0.0036087963,-0.0066152215
0.006714956,-0.0002669096
-0.007043048,0.0014408827
0.016501663,-0.010089219
0.0121509,0.012378097
-0.005769773,0.0034451485
-0.001197346,-0.0032586455
-0.013661294,-0.0041897893
-0.0063613644,-0.0069417357
0.009899841,-0.007732153
0.016609246,-0.0010753274
0.0016752697,0.010031819
-0.006099581,-0.0015277863
0.013674075,-0.0040708184
0.024397591,0.0046584606
-0.0056784693,0.021208644
0.0074117044,-0.005920768
-0.004209766,0.0003105402
0.0046052067,0.0027325153
0.0016355676,0.005007863
0.010439156,0.0012760162
0.0064716856,0.005595207
-0.0010545723,0.0042797327
0.010132486,-0.0068044066
-0.004828168,0.01261735
-0.0069528683,-0.00316602
-0.0065953704,-0.007150352
0.0047780313,-0.0030055642
-0.0058989893,-0.00014162064
-0.004788828,-0.006459594
0.009076852,-0.0003771186
0.00076991343,0.006288886
0.006743423,-0.002183497
0.01239505,0.007968664
0.0029181598,0.008357525
-0.001774134,0.0003157854
-0.0105568925,-0.0037720203
-0.0013438074,-0.010685146
0.00133097,-0.0055238605
0.0126589,0.006210804
0.0069923187,0.009339452
0.008299556,0.0025103092
-0.0038132,0.0013890266
0.002344357,0.0033112764
0.007034212,0.0022115707
0.005431787,0.010599256
-0.007978815,0.0031266212
-0.007855849,0.0046766996
-0.000613401,7.1287155e-05
0.0009134562,0.0052102804
-0.0006000188,0.00075769424
-0.009326896,0.0023152828
0.009368041,-0.006683588
0.008462507,0.005004406
0.008671913,0.002826929
-0.015623859,0.0020008087
-0.0055344463,-0.009771347
-0.00046490808,-0.001888454
0.008433756,-0.0042670965
-0.0027597514,0.011621237
-0.0081528155,-0.0044721365
0.0061275433,-0.005412221
-0.0016372618,0.0015029907
0.0069800643,0.002992034
-0.015308071,0.00074350834
-0.006567512,-0.010231197
-0.0046681254,-0.0051693916
-0.00019486222,-0.008367717
0.006852894,0.0007493496
-0.0052902936,-0.0010715127
0.008780113,-0.0050738454
-0.015601331,0.005370617
0.006934172,-0.010836244
