sk_a2c_return,benchmark_return
0.0030192146,0.002342105
-0.001520342,0.00088620186
0.021727681,-0.0017704368
0.0049284007,0.016326785
0.013478475,0.00081539154
0.007347357,0.012730122
0.0062503745,0.0044841766
-0.008155298,0.0070643425
-0.0041006976,-0.005027294
-0.009373204,0.0005508661
-0.018094042,-0.008597314
-0.0058474103,-0.019080102
0.003463603,-0.004658282
0.012477851,0.0018122196
-0.02632417,0.009783387
-0.004403352,-0.030289173
-0.008785675,-0.005712211
-0.008239604,-0.00959909
0.001861843,-0.008821368
-0.010136729,0.004633069
-0.0068226494,-0.010676503
0.016283551,-0.005528331
0.0063767377,0.01399827
0.01383496,0.0061187744
0.0056774663,0.011870861
-0.039721083,0.007142067
-0.0036170096,-0.03941679
-0.005120084,0.00096833706
-0.006217316,-0.005565107
0.0060200896,-0.004502356
-0.014065905,0.00639987
-0.019804083,-0.010104835
-0.007776765,-0.017014503
-0.015081537,-0.0035482645
-0.014403524,-0.01616764
-0.003213932,-0.011138737
0.023953786,-0.0042999387
-0.017962933,0.01883471
-0.01890385,-0.015433729
0.030799039,-0.017111719
0.03105272,0.026644588
-0.006854654,0.027989268
-0.011238309,-0.0014002919
-0.023117382,-0.011459708
-0.001681234,-0.021056294
-0.0014201953,-0.0032054186
-0.0034378623,0.0012433529
0.025920775,-0.0009692311
-0.013892289,0.028341174
0.021880368,-0.013445675
0.010589379,0.018592715
-0.005709028,0.011196613
-0.006579086,-0.0032758117
0.016767727,-0.0029654503
0.016200012,0.024691105
0.014812891,0.013417721
-0.0036285634,0.010702372
0.009264743,7.43866e-05
0.027435325,0.006098509
-0.0042926124,0.025864363
-0.00018243729,-0.003921032
-0.010484305,-0.0024363995
-0.0015514982,-0.015479028
0.014540271,-0.004557371
0.01266195,0.012561083
0.013829667,0.013078332
-0.018212926,0.010169268
0.040057123,-0.019507587
-0.0009642772,0.036951303
-0.004909817,0.0009635687
0.0028015643,-0.0062569976
-0.0009064975,0.0016764402
-0.0015880942,-0.0011637211
0.005652475,-0.00022375584
0.0062665525,0.005943179
0.009167779,-0.0013456345
0.0040726084,0.0118047
0.0036650957,0.0028141737
-0.017270057,0.004473686
0.0011405938,-0.014486551
0.019605257,9.071827e-05
-0.004121063,0.021777987
0.0046231765,-0.005630493
-0.016036851,0.0010137558
-0.012910074,-0.014022052
-0.00028789224,-0.010332584
0.0041344836,4.708767e-05
-0.0045045232,0.0054633617
0.0145120025,-0.00902921
0.0055632354,0.015789509
-0.010059874,0.0030466318
-0.01795948,-0.0041716695
-0.008511524,-0.02249676
-0.0070059905,-0.008486092
0.004523337,-0.0049489737
0.018528026,0.0028146505
-0.0077889897,0.016034842
0.0052073225,-0.010456204
0.0013537962,0.005342245
-0.011368216,0.0011333227
0.012974753,-0.011005759
-0.0025217023,0.010496855
0.008005119,-0.0022140145
0.010547541,-0.00032818317
-0.0100818025,0.0040256977
0.02298132,-0.010210216
-0.0048053735,0.021273255
0.0070556514,-0.0033589005
0.00832931,0.0055627823
0.011008411,0.007978559
0.0045475024,0.006386161
-0.0189912,0.0032945871
-0.015737632,-0.011420667
-0.011229145,-0.018103063
0.011443729,-0.00758034
0.0068004127,0.010014653
0.009434222,0.007612467
-0.0012752815,0.0031044483
-0.0033275061,0.00029289722
0.005461589,0.0060920715
-0.0033729975,0.0008444786
0.012828524,-0.0076810718
0.00080154295,0.010942459
0.0045578494,0.00020301342
-0.0073867133,-0.0011445284
0.0005424726,-0.003756702
0.0032692468,-0.0010313988
-0.0053484016,0.007838964
-0.012463376,-0.00608021
0.0027884534,-0.0073384643
0.010360522,0.0050264597
-0.004315527,0.011121035
0.002951451,-0.0045745373
-0.016065689,0.0011376143
0.0047976747,-0.012634754
-0.022129029,0.0038532019
-0.0020408118,-0.020608008
-0.000119524084,-0.002550602
-0.008437949,0.0032930374
0.0035100086,-0.01016438
-0.0072423373,0.0021990538
-0.001409163,-0.007065892
0.0077556283,0.00015735626
0.011688675,0.010462642
-0.0024455276,0.011738062
-0.016615413,0.00121212
-0.0018695416,-0.017198801
-0.018962767,-0.0017671585
-0.011470555,-0.016572118
-0.0069861487,-0.010702848
0.010358297,-0.0028361082
-0.010840154,0.0105679035
0.0099664135,-0.008733511
-0.014235753,0.011670113
0.014574318,-0.011925936
0.011783917,0.012008071
-0.020625016,0.0098006725
0.001485346,-0.016292393
0.002247816,0.0023459196
0.0070280316,0.0041202307
-0.00157874,0.0060349703
0.013898571,-0.0011664629
