sk_a2c_return,benchmark_return
-0.007162469,-0.001888454
0.009828128,-0.0042670965
-0.0015385898,0.011621237
0.0004510665,-0.0044721365
0.0014880329,-0.005412221
0.0076511833,0.0015029907
0.0026979477,0.002992034
-0.009742115,0.00074350834
-0.00400218,-0.010231197
-0.0033821613,-0.0051693916
0.0022521804,-0.008367717
-0.0067852284,0.0007493496
-0.0030583292,-0.0010715127
0.003929743,-0.0050738454
-0.005045797,0.005370617
0.003500098,-0.010836244
0.0019302915,0.0072574615
0.011461915,0.0062037706
0.0005785707,0.008469105
1.9033372e-05,0.0010778904
0.0039585684,-0.004824519
-0.010110878,0.0033351183
-0.0034538207,-0.0056186914
0.0037879231,-0.0057380795
3.5477024e-05,0.001670599
0.0058038966,0.0021988153
-0.0012768692,0.002519846
-0.0021773193,-0.00051152706
0.002875429,-0.0020336509
-0.011176572,0.0095899105
0.0013129647,-0.008275449
-0.0009218734,0.00017511845
-0.00027189034,-0.0030779243
-0.013662153,-0.0022264123
-0.0013269323,-0.010756314
0.0007857364,-0.0031282902
-0.0087951245,0.0012671947
-0.0068941023,-0.0114094615
0.006353613,-0.0020408034
-0.0075164824,0.0034595728
-0.0073699076,-0.0047180653
-0.004457275,-0.002212882
0.003196193,-0.012890518
-0.0016894013,0.0038534403
0.0015941386,-0.00030124187
0.0051258504,0.00869596
0.0052374704,0.0058989525
-0.005671476,0.004006982
-0.0084570935,0.001943469
0.00018839074,-0.0051392317
0.012327421,0.0011640787
0.002594512,0.009333134
-0.018895224,0.00038576126
-0.0054956013,-0.0097821355
-0.0023171837,-0.0074530244
-0.005530098,-0.00858587
0.013531742,-0.0057617426
0.00024323867,0.0062232018
-0.0035795742,-0.0031818151
-0.020065803,-0.007616818
0.0130064245,-0.011185586
0.0021219645,0.015774488
0.005431255,0.0037629604
0.017793313,0.0067076683
0.0056830924,0.016964912
-0.0018535735,0.0065675974
-0.0004872577,0.0010139942
-0.0003687101,0.0016641617
-0.009179413,-0.0011809468
0.007983568,-0.006458938
0.0021066396,0.011541367
0.0136754215,0.0015975237
0.0026068906,0.014264941
-0.00013413088,0.0046948195
0.0031872,-0.0013072491
0.00520594,5.185604e-05
0.0044165878,0.005830407
0.0006717955,-0.0017851591
0.0050227907,0.0052651167
-0.0021616968,0.0033203363
0.00040499773,-0.0016015768
0.0011117347,0.0023635626
0.011958085,0.00037956238
0.009761356,0.014689922
-0.00308005,0.008194804
0.0005653899,-0.0011327863
-4.8127673e-05,-0.0022064447
0.002431728,-0.0019413233
-0.0036046256,0.0017459393
0.0016232715,0.0036129951
0.0013294976,0.0043329
0.013298067,0.0047523975
0.011062978,0.014005661
-0.002849446,0.004262924
0.0035588592,0.0015251637
0.004202393,2.3007393e-05
-0.011998285,0.006752372
0.0067209695,-0.012671649
0.0055971,0.00869298
0.0045417584,-0.0004914403
0.0012440628,0.0042625666
-1.1243014e-05,0.0029615164
0.0003605428,0.0014228821
0.0063432865,-0.0005452633
-0.004259412,0.0006766319
0.0007025913,-0.0075526237
0.0042281896,0.00027108192
0.004745508,0.00068831444
-0.0037300866,0.00578928
0.0025059183,-0.004188955
-0.0063962536,0.00454545
0.008723409,0.00040555
-0.0037668026,-0.0031300783
-0.004114836,-0.00616765
0.0064732856,-0.0025280118
0.003469915,0.0054186583
0.00563727,0.01054728
0.009246555,0.003644824
-0.007646378,-0.0025356412
0.014768007,-0.002613306
-0.001678551,0.0064206123
0.0060257693,0.0015847683
0.0040286756,0.0058783293
-0.0075873006,0.0034919977
0.0104977675,-0.008240938
0.0017668753,0.009686351
-0.006912256,0.0034937859
0.0052098464,-0.007096231
-0.00021090866,0.0036799908
-0.0032288858,0.004049659
-0.0040998044,0.0012661219
0.003816277,-0.001410842
-0.007409826,0.003250122
0.0030667037,-0.013522267
0.011992495,0.0039589405
-0.0027862524,0.0090789795
0.0024547998,-0.003743112
0.007694557,-0.0016616583
0.009329963,0.0012559891
0.0027787944,0.011832237
-0.0038627537,0.0015977621
0.0029330056,-0.0015920997
0.0037167808,-0.0024781823
-0.0008816836,-0.00060015917
0.004406971,0.0012162924
-0.0031623333,0.0023332834
-0.0033093274,-0.002495706
0.0011044126,-0.010378003
0.004006439,0.0019659996
-0.0017006015,0.003370285
0.0053519597,-0.0017699599
0.0056002024,0.0012129545
-0.0016997335,0.006082773
-0.004626538,0.0009698868
-0.002534753,-0.0035258532
0.0025720163,-0.0049064755
0.0029782248,0.001954317
0.004388475,0.008257985
0.0075545907,0.01026237
-0.008184073,0.006814122
0.00057863316,-0.007678807
0.0003082072,-0.0041102767
0.013849878,-0.00079649687
0.002801162,0.01216197
-0.006319952,0.0011894703
-0.0023471906,-0.0060420632
-0.002141149,-0.010023892
-0.009642339,-0.0011002421
0.0045926133,-0.0135496855
-0.00408693,0.007955551
0.0011624862,-0.0002888441
-0.01119477,-0.00023472309
-0.005142025,-0.010856986
-0.0077871075,-6.330013e-05
-0.0036685127,-0.012372613
-0.010747762,-0.0065326095
0.0011475778,0.0016922951
0.002765462,-0.0012079477
0.004152791,0.00058460236
0.0011930238,0.0055861473
0.0023628424,0.006675601
0.0010977641,0.0068962574
-0.006110759,-0.0011107922
0.0028809041,-0.009753287
0.003276333,0.0040397644
-0.01721486,0.0038292408
0.0075617307,-0.0148534775
0.0007648392,0.002310276
0.004080517,0.008505106
0.0073843794,0.011772752
0.00710422,0.004565954
0.00054324814,0.00082337856
0.008063444,0.0044267178
0.004924132,0.008484483
-0.0019738073,0.0031756163
-0.0027507094,-0.0020582676
0.0056311847,0.0032105446
0.0022212334,0.008844972
0.0014756669,-0.000967741
-0.0047987932,0.003366232
-0.0024929028,-0.0049200654
-0.000285987,0.0016634464
-0.012787328,-0.0050647855
-0.0012343975,-0.015269995
-0.010194822,0.00011074543
-0.008438473,-0.005547285
0.010996257,-0.010586619
0.010683294,-0.0085859895
-0.004378062,0.015083075
0.00618229,-0.002980113
-0.00045253904,0.0036363602
0.00022918923,0.0024808645
-0.008568705,0.002031684
-0.00029913243,-0.0022420287
0.00021301532,0.0017796755
-0.006341997,-0.0031032562
0.00037358617,-0.0009087324
-0.0037364257,-0.0016818643
0.004986875,-0.0014992356
0.0028354204,0.004896283
0.008430504,0.0014636517
0.00026094005,0.007722497
0.008660066,0.0003978014
-0.010519487,0.006663561
-0.0002110408,-0.0075879693
-0.0049193087,0.00039994717
0.00012647844,0.0009266138
-0.00020436637,-0.0011541247
-0.0011170486,0.0012950897
0.0018530098,0.004144311
0.0016625877,-0.00060641766
0.001218343,0.0017266273
-0.0021477798,-0.0007893443
0.011656615,-0.0013424754
0.0069505307,0.010928154
0.005886929,0.00081539154
0.0014470232,0.006217003
0.014430137,0.005270362
0.013282573,0.018471241
-0.003931824,0.0059480667
-0.00969237,-0.012938917
