sk_a2c_return,benchmark_return
0.0018732604,-0.0026112199
-0.00031244612,0.002342105
-0.0032055224,0.00088620186
0.022162605,-0.0017704368
0.002658577,0.016326785
0.011983771,0.00081539154
0.0064779315,0.012730122
0.002534559,0.0044841766
-0.0065593817,0.0070643425
0.002411856,-0.005027294
-0.011775803,0.0005508661
-0.017274939,-0.008597314
-0.002665876,-0.019080102
0.0010118186,-0.004658282
0.013376807,0.0018122196
-0.028981604,0.009783387
-0.0042272005,-0.030289173
-0.008577616,-0.005712211
-0.009211788,-0.00959909
-0.00010203718,-0.008821368
-0.008223037,0.004633069
-0.008125532,-0.010676503
0.014061592,-0.005528331
0.007040981,0.01399827
0.015661579,0.0061187744
0.010497956,0.011870861
-0.039689325,0.007142067
0.0011429088,-0.03941679
-0.007948521,0.00096833706
-0.009607272,-0.005565107
0.0035033277,-0.004502356
-0.01106627,0.00639987
-0.016912343,-0.010104835
-0.00805577,-0.017014503
-0.02247284,-0.0035482645
-0.012747388,-0.01616764
-0.007885666,-0.011138737
0.021869639,-0.0042999387
-0.016858753,0.01883471
-0.015308786,-0.015433729
0.030567462,-0.017111719
0.034869224,0.026644588
-0.0052856067,0.027989268
-0.009401091,-0.0014002919
-0.02295638,-0.011459708
-0.003998151,-0.021056294
-0.008634234,-0.0032054186
-0.0014858642,0.0012433529
0.028889894,-0.0009692311
-0.018820293,0.028341174
0.023959061,-0.013445675
0.01294045,0.018592715
-0.0026012282,0.011196613
-0.0014660829,-0.0032758117
0.026580209,-0.0029654503
0.011125324,0.024691105
0.015083845,0.013417721
-0.0040721395,0.010702372
0.005329533,7.43866e-05
0.018573431,0.006098509
-0.0034148518,0.025864363
-0.0012054064,-0.003921032
-0.015016392,-0.0024363995
-0.0036104554,-0.015479028
0.01824762,-0.004557371
0.01442008,0.012561083
0.0076146205,0.013078332
-0.01587444,0.010169268
0.050042603,-0.019507587
0.009095646,0.036951303
-0.005231743,0.0009635687
0.004181429,-0.0062569976
-0.0024521875,0.0016764402
-0.0022566386,-0.0011637211
0.003669815,-0.00022375584
-0.0016796456,0.005943179
0.013518108,-0.0013456345
0.0061178217,0.0118047
0.0025377525,0.0028141737
-0.01491477,0.004473686
-0.00056795863,-0.014486551
0.025419332,9.071827e-05
-0.002981515,0.021777987
0.002638974,-0.005630493
-0.017074833,0.0010137558
-0.01594334,-0.014022052
-0.0022045062,-0.010332584
0.0062507587,4.708767e-05
-0.0061358586,0.0054633617
0.01631643,-0.00902921
0.010913687,0.015789509
-0.00924785,0.0030466318
-0.023142533,-0.0041716695
-0.008756548,-0.02249676
-0.0065217093,-0.008486092
0.0050810943,-0.0049489737
0.015118403,0.0028146505
-0.012544551,0.016034842
0.006316622,-0.010456204
-0.0013457687,0.005342245
-0.009672291,0.0011333227
0.011308362,-0.011005759
-0.0022725116,0.010496855
0.003363635,-0.0022140145
0.0045154975,-0.00032818317
-0.01375354,0.0040256977
0.021858897,-0.010210216
9.978824e-05,0.021273255
0.0071601365,-0.0033589005
0.013904007,0.0055627823
0.008614946,0.007978559
0.006948357,0.006386161
-0.014886838,0.0032945871
-0.015049705,-0.011420667
-0.008510698,-0.018103063
0.009715542,-0.00758034
0.0056457296,0.010014653
0.0020567053,0.007612467
-0.0007547071,0.0031044483
-0.00067047065,0.00029289722
0.001964821,0.0060920715
-0.0034385358,0.0008444786
0.011803128,-0.0076810718
0.0057431217,0.010942459
0.0073502534,0.00020301342
-0.008254133,-0.0011445284
-0.00079698465,-0.003756702
0.007520284,-0.0010313988
-0.0061701257,0.007838964
-0.011833136,-0.00608021
0.0047292556,-0.0073384643
0.0111384485,0.0050264597
-0.0021530418,0.011121035
0.0012107189,-0.0045745373
-0.016181488,0.0011376143
-0.0017858668,-0.012634754
-0.018047852,0.0038532019
-0.0011690225,-0.020608008
0.004185868,-0.002550602
-0.008185947,0.0032930374
0.0038317752,-0.01016438
-0.011707092,0.0021990538
-0.003209405,-0.007065892
0.011142589,0.00015735626
0.016390951,0.010462642
-8.7314555e-05,0.011738062
-0.017994843,0.00121212
-5.424791e-05,-0.017198801
-0.015527432,-0.0017671585
-0.017146286,-0.016572118
-0.005858954,-0.010702848
0.016200596,-0.0028361082
-0.011212567,0.0105679035
0.013678747,-0.008733511
-0.011984388,0.011670113
0.0094166435,-0.011925936
0.012993274,0.012008071
-0.016348114,0.0098006725
0.0018249989,-0.016292393
0.0035422863,0.0023459196
0.008206211,0.0041202307
-0.00019752544,0.0060349703
0.011428938,-0.0011664629
0.0055879336,0.009981751
0.01516411,0.0043227673
0.007542462,0.012633324
-0.0069047636,0.009827495
-0.0024214687,-0.005915582
0.0012908634,0.0024051666
0.0025780892,7.677078e-05
0.0013634696,0.0030231476
3.2926978e-06,0.0029258728
0.011524724,-0.0011366606
-0.001399585,0.011388779
0.0053197467,-0.0042087436
-0.0038467553,0.0029720068
0.0025872542,-0.000310421
-0.0015651777,-0.002343297
0.006007691,-0.003256619
0.0023883579,0.00066125393
-0.011568875,0.001965046
-0.0010215425,-0.010171711
0.016041605,-0.0068282485
0.005317663,0.015743494
-0.008178707,0.008041143
-0.011414812,-0.0013625622
-0.0065282285,-0.010782659
-0.010719557,-0.008024275
0.015654042,-0.008574188
-0.001811155,0.01650095
-0.0028363205,-0.0016537309
0.0011528035,-0.001691997
-0.0023243586,-0.000908196
-0.0012596592,-0.0066152215
0.003085934,-0.0002669096
-0.006467191,0.0014408827
0.015999613,-0.010089219
0.004303394,0.012378097
-0.0015745063,0.0034451485
-0.0067480663,-0.0032586455
-0.0067129084,-0.0041897893
-0.0063288184,-0.0069417357
0.002551377,-0.007732153
0.0133866295,-0.0010753274
-0.004979066,0.010031819
-0.00664783,-0.0015277863
0.00711884,-0.0040708184
0.02098896,0.0046584606
-0.004846103,0.021208644
0.0030340063,-0.005920768
0.0066587324,0.0003105402
0.004875045,0.0027325153
5.729904e-05,0.005007863
0.008411982,0.0012760162
0.0049276184,0.005595207
-0.0034299283,0.0042797327
0.012346102,-0.0068044066
-0.0032589885,0.01261735
-0.013523401,-0.00316602
-0.0046458584,-0.007150352
-0.0033750017,-0.0030055642
-0.00769551,-0.00014162064
-0.00010515694,-0.006459594
0.0094293915,-0.0003771186
0.001531011,0.006288886
0.012861553,-0.002183497
0.008374206,0.007968664
0.0019619276,0.008357525
-0.005855232,0.0003157854
-0.010540008,-0.0037720203
-0.0028637522,-0.010685146
0.0010657611,-0.0055238605
0.0101049,0.006210804
0.006775245,0.009339452
0.0056161312,0.0025103092
-0.0033888742,0.0013890266
-0.0029688196,0.0033112764
0.012167893,0.0022115707
0.004988498,0.010599256
0.00484008,0.0031266212
0.0034242983,0.0046766996
0.00755175,7.1287155e-05
0.0028851323,0.0052102804
0.002578519,0.00075769424
-0.00873961,0.0023152828
0.010251724,-0.006683588
0.004896284,0.005004406
0.005241908,0.002826929
-0.011982628,0.0020008087
-0.0010723044,-0.009771347
0.0016045946,-0.001888454
0.009661222,-0.0042670965
-0.007601736,0.011621237
-0.006021582,-0.0044721365
0.00046437985,-0.005412221
