sk_a2c_return,benchmark_return
-0.0018352431,0.002342105
0.0008667723,0.00088620186
0.01606236,-0.0017704368
0.0037213222,0.016326785
0.015324334,0.00081539154
0.0062469123,0.012730122
0.008147365,0.0044841766
-0.0051955753,0.0070643425
-0.001036808,-0.005027294
-0.008601372,0.0005508661
-0.017851375,-0.008597314
-0.0058937366,-0.019080102
0.0023704323,-0.004658282
0.01162994,0.0018122196
-0.028255666,0.009783387
-0.00459934,-0.030289173
-0.009753806,-0.005712211
-0.007595633,-0.00959909
0.0025937317,-0.008821368
-0.011449136,0.004633069
-0.003736511,-0.010676503
0.014380463,-0.005528331
0.0076793768,0.01399827
0.008751618,0.0061187744
0.008460362,0.011870861
-0.0378538,0.007142067
0.001855515,-0.03941679
-0.0017015716,0.00096833706
-0.0037709374,-0.005565107
0.0063019665,-0.004502356
-0.010868818,0.00639987
-0.016436018,-0.010104835
-0.003410092,-0.017014503
-0.014975489,-0.0035482645
-0.012903466,-0.01616764
-0.0055664983,-0.011138737
0.01863895,-0.0042999387
-0.014335905,0.01883471
-0.018480724,-0.015433729
0.02386466,-0.017111719
0.02758139,0.026644588
-0.0034978301,0.027989268
-0.012440762,-0.0014002919
-0.023640169,-0.011459708
-0.0049207257,-0.021056294
-0.0015442511,-0.0032054186
-3.6903315e-05,0.0012433529
0.026530592,-0.0009692311
-0.012718974,0.028341174
0.021747725,-0.013445675
0.009848778,0.018592715
-0.001500084,0.011196613
-0.0025739712,-0.0032758117
0.02382448,-0.0029654503
0.013149596,0.024691105
0.010895818,0.013417721
-0.003515454,0.010702372
0.005154905,7.43866e-05
0.024344096,0.006098509
-0.002158191,0.025864363
-0.0027931156,-0.003921032
-0.011697591,-0.0024363995
-0.0023164614,-0.015479028
0.012979097,-0.004557371
0.009101945,0.012561083
0.007647496,0.013078332
-0.025573198,0.010169268
0.035328805,-0.019507587
0.0014388846,0.036951303
-0.007440863,0.0009635687
0.0018744383,-0.0062569976
0.0010036407,0.0016764402
0.00063341844,-0.0011637211
0.008313467,-0.00022375584
0.0033626324,0.005943179
0.009887783,-0.0013456345
0.0077877613,0.0118047
0.0042161644,0.0028141737
-0.0132451765,0.004473686
-0.0011082937,-0.014486551
0.02509884,9.071827e-05
-0.0024783988,0.021777987
0.002113973,-0.005630493
-0.013710839,0.0010137558
-0.01030584,-0.014022052
0.0005966629,-0.010332584
0.008407317,4.708767e-05
-0.008289898,0.0054633617
0.016460652,-0.00902921
0.0029547822,0.015789509
-0.0034856347,0.0030466318
-0.020623093,-0.0041716695
-0.010333985,-0.02249676
-0.006748424,-0.008486092
0.003286483,-0.0049489737
0.018138424,0.0028146505
-0.010911237,0.016034842
0.0051442157,-0.010456204
-0.0026896547,0.005342245
-0.01011076,0.0011333227
0.01138027,-0.011005759
-0.002179349,0.010496855
0.0014171838,-0.0022140145
0.0017876852,-0.00032818317
-0.009333545,0.0040256977
