td3_return,benchmark_return
-0.0024855,0.002342105
-0.005017635,0.00088620186
0.019522468,-0.0017704368
0.0030339488,0.016326785
0.015531097,0.00081539154
0.006445531,0.012730122
0.0077803168,0.0044841766
-0.0055680284,0.0070643425
0.0026073249,-0.005027294
-0.011595385,0.0005508661
-0.020057542,-0.008597314
-0.0034305884,-0.019080102
0.002242623,-0.004658282
0.010616677,0.0018122196
-0.032377515,0.009783387
-0.0061657093,-0.030289173
-0.009846651,-0.005712211
-0.010464541,-0.00959909
7.640105e-05,-0.008821368
-0.010005322,0.004633069
-0.0055053066,-0.010676503
0.014838769,-0.005528331
0.006500782,0.01399827
0.013269957,0.0061187744
0.008569218,0.011870861
-0.040515948,0.007142067
0.00014178985,-0.03941679
-0.0096993735,0.00096833706
-0.0028140144,-0.005565107
0.0075050252,-0.004502356
-0.011363987,0.00639987
-0.016259275,-0.010104835
-0.0065296534,-0.017014503
-0.014648461,-0.0035482645
-0.011903072,-0.01616764
-0.002724006,-0.011138737
0.018795568,-0.0042999387
-0.015603946,0.01883471
-0.015982443,-0.015433729
0.028921347,-0.017111719
0.028486947,0.026644588
-0.0017802876,0.027989268
-0.010428546,-0.0014002919
-0.025036868,-0.011459708
-0.0056768013,-0.021056294
-0.0007369862,-0.0032054186
-0.0019544698,0.0012433529
0.027748948,-0.0009692311
-0.01750945,0.028341174
0.022163725,-0.013445675
0.012570411,0.018592715
-0.0024443094,0.011196613
-0.0017455094,-0.0032758117
0.021809593,-0.0029654503
0.014657454,0.024691105
0.01525743,0.013417721
0.0011512226,0.010702372
0.0064169965,7.43866e-05
0.026711522,0.006098509
-0.005647473,0.025864363
-0.0026671945,-0.003921032
-0.018334161,-0.0024363995
-0.0053615235,-0.015479028
0.01175126,-0.004557371
0.011449798,0.012561083
0.009764817,0.013078332
-0.023244306,0.010169268
0.047309563,-0.019507587
0.0042562997,0.036951303
-0.004994401,0.0009635687
0.006191356,-0.0062569976
-0.0042352937,0.0016764402
-0.0007661982,-0.0011637211
0.0051218052,-0.00022375584
-0.00016078369,0.005943179
0.014796674,-0.0013456345
0.005283009,0.0118047
0.0017164879,0.0028141737
-0.014387331,0.004473686
-0.001792089,-0.014486551
0.026769428,9.071827e-05
-0.004158961,0.021777987
0.00057152845,-0.005630493
-0.017362172,0.0010137558
-0.01080657,-0.014022052
-0.0002563448,-0.010332584
0.009301185,4.708767e-05
-0.008649611,0.0054633617
0.015973601,-0.00902921
0.0058183824,0.015789509
-0.0064346376,0.0030466318
-0.022529697,-0.0041716695
-0.009701435,-0.02249676
-0.006152377,-0.008486092
0.003318404,-0.0049489737
0.015634691,0.0028146505
-0.0126417875,0.016034842
0.005803044,-0.010456204
-0.0019820984,0.005342245
-0.011842838,0.0011333227
0.013587508,-0.011005759
-0.0024178263,0.010496855
-0.0010181768,-0.0022140145
0.008208753,-0.00032818317
-0.011623375,0.0040256977
0.023881836,-0.010210216
0.00020884685,0.021273255
0.0060513197,-0.0033589005
0.006874956,0.0055627823
0.0070556775,0.007978559
0.0055302437,0.006386161
-0.005170418,0.0032945871
-0.019717712,-0.011420667
-0.009486633,-0.018103063
0.016246963,-0.00758034
0.010738821,0.010014653
0.0062790983,0.007612467
-0.0001387519,0.0031044483
0.0021259075,0.00029289722
0.003622784,0.0060920715
-0.008785758,0.0008444786
0.010972924,-0.0076810718
0.0045353547,0.010942459
0.0029303862,0.00020301342
-0.0067369547,-0.0011445284
-0.00070064794,-0.003756702
0.0070388275,-0.0010313988
-0.0070491456,0.007838964
-0.0059310403,-0.00608021
0.0005993733,-0.0073384643
0.011917032,0.0050264597
-0.002058965,0.011121035
0.0024100777,-0.0045745373
-0.013049889,0.0011376143
0.0019425728,-0.012634754
-0.020610819,0.0038532019
-0.0018085762,-0.020608008
0.009345755,-0.002550602
-0.007987089,0.0032930374
0.0026769505,-0.01016438
-0.004608305,0.0021990538
-0.003231675,-0.007065892
0.011477307,0.00015735626
0.011379853,0.010462642
0.0007222333,0.011738062
-0.014599531,0.00121212
1.52429975e-05,-0.017198801
-0.017603176,-0.0017671585
-0.008332179,-0.016572118
-0.0015743506,-0.010702848
0.011767144,-0.0028361082
-0.007301916,0.0105679035
0.0126762865,-0.008733511
-0.010193553,0.011670113
0.012809959,-0.011925936
0.010012471,0.012008071
-0.015770398,0.0098006725
0.0017116802,-0.016292393
0.0038477855,0.0023459196
0.0068839206,0.0041202307
-0.0017788282,0.0060349703
0.011451461,-0.0011664629
0.004668048,0.009981751
0.013225121,0.0043227673
0.00881415,0.012633324
-0.00705799,0.009827495
0.00073822704,-0.005915582
-0.00072018127,0.0024051666
0.00368357,7.677078e-05
0.0011429116,0.0030231476
-0.004057645,0.0029258728
0.010001542,-0.0011366606
-0.00044960078,0.011388779
0.004687031,-0.0042087436
0.0021481824,0.0029720068
0.0008469042,-0.000310421
-0.0061504003,-0.002343297
0.001449264,-0.003256619
0.0013211634,0.00066125393
-0.010188958,0.001965046
-0.007938341,-0.010171711
0.016562644,-0.0068282485
0.008523995,0.015743494
0.00070044777,0.008041143
-0.012365675,-0.0013625622
-0.0069546923,-0.010782659
-0.008754223,-0.008024275
0.018219948,-0.008574188
0.0005385083,0.01650095
-0.0022434113,-0.0016537309
0.0004938149,-0.001691997
-0.0060559846,-0.000908196
-0.0007885778,-0.0066152215
0.0016524751,-0.0002669096
-0.009976787,0.0014408827
0.014320959,-0.010089219
0.008584397,0.012378097
-0.0031275714,0.0034451485
-0.0056665856,-0.0032586455
-0.005829675,-0.0041897893
-0.0072280457,-0.0069417357
0.009325442,-0.007732153
0.00945982,-0.0010753274
0.00081601884,0.010031819
-0.006913755,-0.0015277863
0.010326919,-0.0040708184
0.017480845,0.0046584606
-0.0048054266,0.021208644
0.00039637007,-0.005920768
0.0015759505,0.0003105402
0.005661883,0.0027325153
0.0013535538,0.005007863
0.00558354,0.0012760162
0.006130374,0.005595207
-0.0009760614,0.0042797327
0.011413222,-0.0068044066
-0.0025342852,0.01261735
-0.004474006,-0.00316602
-0.0030831941,-0.007150352
0.00019913848,-0.0030055642
-0.0066838637,-0.00014162064
0.00072413235,-0.006459594
0.007841973,-0.0003771186
-0.0035755339,0.006288886
0.007516337,-0.002183497
0.010650139,0.007968664
0.0010837879,0.008357525
-0.002159656,0.0003157854
-0.010904895,-0.0037720203
-0.0042572296,-0.010685146
0.0039745714,-0.0055238605
0.009330782,0.006210804
0.003953461,0.009339452
0.00388138,0.0025103092
-0.0008181186,0.0013890266
0.00039341566,0.0033112764
0.006897769,0.0022115707
0.006517674,0.010599256
0.0015739033,0.0031266212
-9.5419804e-05,0.0046766996
0.0045973468,7.1287155e-05
0.0023923416,0.0052102804
0.002767769,0.00075769424
-0.007565102,0.0023152828
0.004949701,-0.006683588
0.0030770076,0.005004406
0.000376113,0.002826929
-0.01001927,0.0020008087
-0.0032242537,-0.009771347
-0.0037960745,-0.001888454
0.009358679,-0.0042670965
-0.00409543,0.011621237
-0.0060910527,-0.0044721365
0.0031707643,-0.005412221
0.001564839,0.0015029907
0.004865402,0.002992034
-0.009286117,0.00074350834
-0.004236824,-0.010231197
-0.0061927894,-0.0051693916
0.0023701643,-0.008367717
0.0043149428,0.0007493496
-0.005975269,-0.0010715127
0.007603542,-0.0050738454
-0.008620591,0.005370617
0.0039976416,-0.010836244
0.006075283,0.0072574615
0.010496737,0.0062037706
0.0026120397,0.008469105
-0.0012262935,0.0010778904
0.0023146223,-0.004824519
-0.0073240567,0.0033351183
-0.005480851,-0.0056186914
-0.00034191285,-0.0057380795
0.0007580996,0.001670599
0.0034889102,0.0021988153
-0.0014010275,0.002519846
-0.0006492263,-0.00051152706
0.007549037,-0.0020336509
-0.009779703,0.0095899105
0.00077187084,-0.008275449
-0.0025161323,0.00017511845
-0.001971722,-0.0030779243
-0.013465734,-0.0022264123
-0.0015663411,-0.010756314
0.0019000435,-0.0031282902
-0.011246541,0.0012671947
-0.0017315554,-0.0114094615
0.0040068133,-0.0020408034
-0.005247162,0.0034595728
-0.0013549813,-0.0047180653
-0.011822707,-0.002212882
0.0045248833,-0.012890518
-0.0015536245,0.0038534403
0.0085166115,-0.00030124187
0.004496711,0.00869596
0.005221765,0.0058989525
0.0019850438,0.004006982
-0.0068652756,0.001943469
-0.001063673,-0.0051392317
0.011275602,0.0011640787
4.9891252e-05,0.009333134
