sk_ppo_return,benchmark_return
-0.0074403896,0.002342105
-0.005038243,0.00088620186
0.02722532,-0.0017704368
0.0023431773,0.016326785
0.020331418,0.00081539154
0.005852896,0.012730122
0.0020769204,0.0044841766
-0.009177261,0.0070643425
0.011443426,-0.005027294
-0.016134676,0.0005508661
-0.02082843,-0.008597314
-0.0037103281,-0.019080102
-9.914314e-05,-0.004658282
0.016522354,0.0018122196
-0.038034804,0.009783387
-0.008621038,-0.030289173
-0.009117815,-0.005712211
-0.01178877,-0.00959909
-0.0058655036,-0.008821368
-0.011894739,0.004633069
-0.0067127133,-0.010676503
0.017955836,-0.005528331
0.011021002,0.01399827
0.013780168,0.0061187744
0.011997415,0.011870861
-0.046593033,0.007142067
-0.0030955146,-0.03941679
-0.0035849742,0.00096833706
-0.0034320534,-0.005565107
0.0076801535,-0.004502356
-0.0144815575,0.00639987
-0.019408057,-0.010104835
-0.016093403,-0.017014503
-0.011405228,-0.0035482645
-0.013529408,-0.01616764
-0.002257389,-0.011138737
0.019875184,-0.0042999387
-0.018165048,0.01883471
-0.013137648,-0.015433729
0.031281065,-0.017111719
0.033250693,0.026644588
-0.003705606,0.027989268
-0.011153077,-0.0014002919
-0.03246347,-0.011459708
-0.008620325,-0.021056294
-0.0052041807,-0.0032054186
-0.0017930531,0.0012433529
0.033431012,-0.0009692311
-0.018748859,0.028341174
0.030301563,-0.013445675
0.014588418,0.018592715
-0.0017758736,0.011196613
-0.0076044565,-0.0032758117
0.027619498,-0.0029654503
0.013348366,0.024691105
0.019369237,0.013417721
-0.0029129642,0.010702372
0.009783571,7.43866e-05
0.026743598,0.006098509
-0.0065480485,0.025864363
-8.643506e-05,-0.003921032
-0.018533798,-0.0024363995
-0.0019699677,-0.015479028
0.022070823,-0.004557371
0.010665981,0.012561083
0.0095984265,0.013078332
-0.021529114,0.010169268
0.053724963,-0.019507587
0.0010558439,0.036951303
-0.0058147036,0.0009635687
0.0015700574,-0.0062569976
-0.006591026,0.0016764402
0.0029409907,-0.0011637211
0.00932544,-0.00022375584
