sk_ppo_return,benchmark_return
-0.002568188,-0.001888454
0.008760455,-0.0042670965
-0.0036872406,0.011621237
-0.007277031,-0.0044721365
0.0042880867,-0.005412221
0.0005532885,0.0015029907
-0.002849999,0.002992034
-0.015844584,0.00074350834
-0.008593021,-0.010231197
-0.004474706,-0.0051693916
-0.0015777752,-0.008367717
-0.0030300142,0.0007493496
-0.004751754,-0.0010715127
0.0065293894,-0.0050738454
-0.011749002,0.005370617
0.005120181,-0.010836244
0.007877101,0.0072574615
0.01035338,0.0062037706
-0.00043092243,0.008469105
-0.0025796266,0.0010778904
0.00020534436,-0.004824519
-0.008878108,0.0033351183
-0.0055032964,-0.0056186914
0.00031733164,-0.0057380795
0.0031002825,0.001670599
0.0068349014,0.0021988153
0.0018989927,0.002519846
0.0040580723,-0.00051152706
0.016236894,-0.0020336509
-0.0015911793,0.0095899105
-0.0045440644,-0.008275449
-0.008197295,0.00017511845
-0.0055727796,-0.0030779243
-0.013306975,-0.0022264123
-0.0066049774,-0.010756314
-0.00071122055,-0.0031282902
-0.0128792,0.0012671947
-0.0072013848,-0.0114094615
0.0023338294,-0.0020408034
-0.0024412978,0.0034595728
-0.004606374,-0.0047180653
-0.01876785,-0.002212882
0.0028696065,-0.012890518
0.0005946689,0.0038534403
0.009551985,-0.00030124187
0.0035090542,0.00869596
0.008921737,0.0058989525
-0.004395353,0.004006982
-0.0046525165,0.001943469
0.00049970316,-0.0051392317
0.013457504,0.0011640787
0.00050099415,0.009333134
-0.0093929805,0.00038576126
-0.008606985,-0.0097821355
-0.013254107,-0.0074530244
0.003907484,-0.00858587
0.009967647,-0.0057617426
-0.0089690415,0.0062232018
-0.002416238,-0.0031818151
-0.014935868,-0.007616818
0.022184677,-0.011185586
0.007092803,0.015774488
0.004498256,0.0037629604
0.020907985,0.0067076683
0.015145114,0.016964912
-0.0035724987,0.0065675974
0.00079857867,0.0010139942
-0.001246383,0.0016641617
0.007004296,-0.0011809468
0.0059860647,-0.006458938
0.0054413322,0.011541367
0.015772743,0.0015975237
0.0060274797,0.014264941
0.0025861969,0.0046948195
0.0036094042,-0.0013072491
0.0022381963,5.185604e-05
-0.00689271,0.005830407
0.008345061,-0.0017851591
0.0036666642,0.0052651167
-0.003128248,0.0033203363
-0.00022742982,-0.0016015768
0.004304715,0.0023635626
0.010457271,0.00037956238
0.0074725663,0.014689922
-0.003518479,0.008194804
-0.018690541,-0.0011327863
-0.0023304773,-0.0022064447
0.0051720086,-0.0019413233
0.0025285755,0.0017459393
-0.00015544705,0.0036129951
0.0015245089,0.0043329
0.019798042,0.0047523975
0.015773742,0.014005661
-0.0029669672,0.004262924
0.004649933,0.0015251637
0.009646543,2.3007393e-05
-0.018289536,0.006752372
0.008738176,-0.012671649
0.0011303675,0.00869298
0.002830289,-0.0004914403
0.002164042,0.0042625666
0.0014754968,0.0029615164
0.00055822753,0.0014228821
0.008869149,-0.0005452633
-0.007186706,0.0006766319
0.0018756348,-0.0075526237
0.0041520596,0.00027108192
0.006314922,0.00068831444
-0.008003624,0.00578928
-0.0016380489,-0.004188955
-0.002024923,0.00454545
-0.0016814779,0.00040555
0.0034059759,-0.0031300783
-0.008575266,-0.00616765
0.0008698818,-0.0025280118
0.008780129,0.0054186583
0.0089608235,0.01054728
0.011579122,0.003644824
-0.005274023,-0.0025356412
0.016819827,-0.002613306
0.011883321,0.0064206123
0.0045082425,0.0015847683
0.009075462,0.0058783293
-0.008446312,0.0034919977
0.010088751,-0.008240938
0.006264639,0.009686351
-0.00444615,0.0034937859
0.005912518,-0.007096231
0.0034712171,0.0036799908
0.015973033,0.004049659
-0.0047285715,0.0012661219
0.0065201796,-0.001410842
-0.012531007,0.003250122
0.002360545,-0.013522267
0.011246084,0.0039589405
-0.0011934574,0.0090789795
-0.0028618965,-0.003743112
0.0039819763,-0.0016616583
0.0056687035,0.0012559891
0.0020395848,0.011832237
-0.0012894898,0.0015977621
0.0025072254,-0.0015920997
0.0064688683,-0.0024781823
-0.0010125182,-0.00060015917
0.0008805456,0.0012162924
0.0055134296,0.0023332834
-0.0049626017,-0.002495706
-0.0027904653,-0.010378003
0.0063194223,0.0019659996
-0.0016398664,0.003370285
0.0011940049,-0.0017699599
0.0051706284,0.0012129545
0.0043736924,0.006082773
-0.0065919193,0.0009698868
-0.00341188,-0.0035258532
0.0041644555,-0.0049064755
0.0057408647,0.001954317
0.013727608,0.008257985
0.013129277,0.01026237
-0.008961299,0.006814122
0.0012130705,-0.007678807
0.00044663314,-0.0041102767
0.015472042,-0.00079649687
0.0034756947,0.01216197
-0.0057933214,0.0011894703
-0.0016512426,-0.0060420632
-0.0054290313,-0.010023892
-0.015058915,-0.0011002421
0.0082605,-0.0135496855
-5.9420134e-05,0.007955551
-0.0023167941,-0.0002888441
-0.007757863,-0.00023472309
-0.0039735762,-0.010856986
-0.011794579,-6.330013e-05
0.005469986,-0.012372613
