td3_return,benchmark_return
0.0015035308,-0.0026112199
-0.001662307,0.002342105
-0.003956885,0.00088620186
0.018097758,-0.0017704368
-0.0005643692,0.016326785
0.012326716,0.00081539154
0.004782038,0.012730122
0.0074601956,0.0044841766
-0.0058334516,0.0070643425
0.0012340295,-0.005027294
-0.010062339,0.0005508661
-0.020096224,-0.008597314
-0.0033642598,-0.019080102
0.0019278305,-0.004658282
0.01100536,0.0018122196
-0.032570746,0.009783387
-0.00659694,-0.030289173
-0.009306047,-0.005712211
-0.010038798,-0.00959909
0.0028211433,-0.008821368
-0.010551461,0.004633069
-0.0060504465,-0.010676503
0.014780187,-0.005528331
0.0054601277,0.01399827
0.015543816,0.0061187744
0.0088653425,0.011870861
-0.0417671,0.007142067
0.0023125832,-0.03941679
-0.009688159,0.00096833706
-0.004560316,-0.005565107
0.0067553436,-0.004502356
-0.011213254,0.00639987
-0.017779918,-0.010104835
-0.004763996,-0.017014503
-0.016093882,-0.0035482645
-0.010058576,-0.01616764
-0.0032469183,-0.011138737
0.019159757,-0.0042999387
-0.017102716,0.01883471
-0.019072337,-0.015433729
0.027232403,-0.017111719
0.029678617,0.026644588
-0.00092023605,0.027989268
-0.011016705,-0.0014002919
-0.023469629,-0.011459708
-0.004060228,-0.021056294
-9.892976e-05,-0.0032054186
-0.0014392278,0.0012433529
0.025592636,-0.0009692311
-0.017798785,0.028341174
0.022380406,-0.013445675
0.011863984,0.018592715
-0.003956867,0.011196613
-0.0020071787,-0.0032758117
0.021116586,-0.0029654503
0.013283541,0.024691105
0.013948935,0.013417721
-0.0027075044,0.010702372
0.003493338,7.43866e-05
0.023576088,0.006098509
-0.0066230744,0.025864363
-0.0051026614,-0.003921032
-0.0191511,-0.0024363995
-0.0074245986,-0.015479028
0.014371545,-0.004557371
0.011308167,0.012561083
0.009562389,0.013078332
-0.01985881,0.010169268
0.049105667,-0.019507587
0.0056455503,0.036951303
-0.0053743143,0.0009635687
0.0045627574,-0.0062569976
-0.003779407,0.0016764402
-0.0010033849,-0.0011637211
0.0040535624,-0.00022375584
-0.0022391558,0.005943179
0.013136798,-0.0013456345
0.003121042,0.0118047
0.0023418544,0.0028141737
-0.01365119,0.004473686
-0.0009280417,-0.014486551
0.026104178,9.071827e-05
-0.0051920605,0.021777987
0.00072080275,-0.005630493
-0.016457684,0.0010137558
-0.012781748,-0.014022052
6.12853e-05,-0.010332584
0.0074106473,4.708767e-05
-0.007918696,0.0054633617
0.016982723,-0.00902921
0.0057725324,0.015789509
-0.005144905,0.0030466318
-0.022881495,-0.0041716695
-0.009464397,-0.02249676
-0.007123231,-0.008486092
0.0029218257,-0.0049489737
0.01847504,0.0028146505
-0.012249175,0.016034842
0.0051232483,-0.010456204
-0.0003227974,0.005342245
-0.0120828245,0.0011333227
0.013747794,-0.011005759
-0.0021867335,0.010496855
0.0017340241,-0.0022140145
0.007653569,-0.00032818317
-0.010521662,0.0040256977
0.023662921,-0.010210216
-0.0010703391,0.021273255
0.007297611,-0.0033589005
0.008963818,0.0055627823
0.0065299952,0.007978559
0.005181203,0.006386161
-0.009443862,0.0032945871
-0.017943064,-0.011420667
-0.00961844,-0.018103063
0.013854775,-0.00758034
0.007911161,0.010014653
0.0026234298,0.007612467
0.00027043076,0.0031044483
0.0058078934,0.00029289722
0.00705577,0.0060920715
-0.009616791,0.0008444786
0.011251906,-0.0076810718
0.0035800433,0.010942459
0.006939276,0.00020301342
-0.008420701,-0.0011445284
-0.0030251807,-0.003756702
0.0068280776,-0.0010313988
-0.0075500845,0.007838964
-0.0073792073,-0.00608021
0.0019789282,-0.0073384643
0.012482701,0.0050264597
-0.0030533266,0.011121035
0.00198876,-0.0045745373
-0.013537671,0.0011376143
0.002181288,-0.012634754
-0.021666093,0.0038532019
-0.0010985769,-0.020608008
0.0048166118,-0.002550602
-0.0106547065,0.0032930374
0.0027168726,-0.01016438
-0.0048480257,0.0021990538
-0.0012900792,-0.007065892
0.010392805,0.00015735626
0.013219014,0.010462642
0.00077468983,0.011738062
-0.014971143,0.00121212
-0.0005625037,-0.017198801
-0.016105067,-0.0017671585
-0.010261575,-0.016572118
-0.0010443643,-0.010702848
0.012472828,-0.0028361082
-0.0062797656,0.0105679035
0.01248549,-0.008733511
-0.00986535,0.011670113
0.010907442,-0.011925936
0.011247526,0.012008071
-0.016575452,0.0098006725
0.0027597675,-0.016292393
0.0033923485,0.0023459196
0.0043851812,0.0041202307
-0.0018052426,0.0060349703
0.012984161,-0.0011664629
0.004258767,0.009981751
0.013281028,0.0043227673
0.0068138326,0.012633324
-0.004512572,0.009827495
-1.3335928e-05,-0.005915582
-0.0006586079,0.0024051666
0.002865816,7.677078e-05
0.0010648739,0.0030231476
-0.0034275088,0.0029258728
0.013406376,-0.0011366606
-0.0027086155,0.011388779
0.00385015,-0.0042087436
-0.0007538329,0.0029720068
0.0014367191,-0.000310421
-0.005085585,-0.002343297
0.0026851606,-0.003256619
0.0004154988,0.00066125393
-0.011052133,0.001965046
-0.0047548832,-0.010171711
0.017522337,-0.0068282485
0.005925633,0.015743494
-0.003063039,0.008041143
-0.010784013,-0.0013625622
-0.0066245864,-0.010782659
-0.008619608,-0.008024275
0.017412793,-0.008574188
-0.0012996456,0.01650095
-0.0012929586,-0.0016537309
0.0008700069,-0.001691997
-0.003775653,-0.000908196
-0.001337919,-0.0066152215
0.0016037773,-0.0002669096
-0.008572251,0.0014408827
0.013419733,-0.010089219
0.006775713,0.012378097
-0.0040591517,0.0034451485
-0.004558529,-0.0032586455
-0.0065981857,-0.0041897893
-0.0073800283,-0.0069417357
0.0021465083,-0.007732153
0.011811345,-0.0010753274
-0.0002550871,0.010031819
-0.0052589313,-0.0015277863
0.0073482753,-0.0040708184
0.020569248,0.0046584606
-0.005513588,0.021208644
0.002258609,-0.005920768
0.0011600312,0.0003105402
0.0054760114,0.0027325153
0.0007273618,0.005007863
0.0068859984,0.0012760162
0.0043059844,0.005595207
-0.00069987174,0.0042797327
0.012014782,-0.0068044066
-0.0021841635,0.01261735
-0.0075731156,-0.00316602
-0.003412586,-0.007150352
0.002575577,-0.0030055642
-0.006181314,-0.00014162064
-0.0010749489,-0.006459594
0.007403935,-0.0003771186
-0.0014448809,0.006288886
0.0070709167,-0.002183497
0.009040413,0.007968664
0.0002513294,0.008357525
-0.0022051118,0.0003157854
-0.011266098,-0.0037720203
-0.004447008,-0.010685146
0.0036645618,-0.0055238605
0.009710118,0.006210804
0.0038936369,0.009339452
0.004033855,0.0025103092
-0.00033119635,0.0013890266
-0.0007718393,0.0033112764
0.007859026,0.0022115707
0.0056565003,0.010599256
0.0025594197,0.0031266212
-0.0002614693,0.0046766996
0.0040036007,7.1287155e-05
0.002390112,0.0052102804
0.002801332,0.00075769424
-0.0076907384,0.0023152828
0.0073564043,-0.006683588
0.002055648,0.005004406
0.0011450516,0.002826929
-0.010442542,0.0020008087
-0.0020756254,-0.009771347
-0.0006702747,-0.001888454
0.010978886,-0.0042670965
-0.0045821876,0.011621237
-0.005182806,-0.0044721365
0.0018593465,-0.005412221
0.0026584158,0.0015029907
0.0027331538,0.002992034
-0.010286169,0.00074350834
-0.004985833,-0.010231197
-0.0057617077,-0.0051693916
0.0005299093,-0.008367717
0.00028240433,0.0007493496
-0.0045538093,-0.0010715127
0.0057465467,-0.0050738454
-0.010510183,0.005370617
0.007162341,-0.010836244
0.0061732796,0.0072574615
0.01016128,0.0062037706
