sk_ddpg_return,benchmark_return
-0.0012952015,-0.0026112199
0.0019819445,0.002342105
-0.0068040825,0.00088620186
0.020756535,-0.0017704368
0.004734927,0.016326785
0.017472694,0.00081539154
0.006133597,0.012730122
0.0096034715,0.0044841766
-0.008227668,0.0070643425
0.003766451,-0.005027294
-0.011904467,0.0005508661
-0.02040026,-0.008597314
-0.004154033,-0.019080102
0.0012274089,-0.004658282
0.012212712,0.0018122196
-0.035342146,0.009783387
-0.005841092,-0.030289173
-0.010138717,-0.005712211
-0.010218666,-0.00959909
0.00070524495,-0.008821368
-0.0126177035,0.004633069
-0.007815283,-0.010676503
0.018419018,-0.005528331
0.0051263873,0.01399827
0.0128647005,0.0061187744
0.005851466,0.011870861
-0.0421421,0.007142067
-0.0016839626,-0.03941679
-0.009488848,0.00096833706
-0.0011010361,-0.005565107
0.006457687,-0.004502356
-0.013869994,0.00639987
-0.016643584,-0.010104835
-0.007577243,-0.017014503
-0.013456434,-0.0035482645
-0.010084267,-0.01616764
-0.002547944,-0.011138737
0.022356581,-0.0042999387
-0.0189845,0.01883471
-0.022997523,-0.015433729
0.029344145,-0.017111719
0.02848714,0.026644588
-0.0018268495,0.027989268
-0.0115676485,-0.0014002919
-0.025857255,-0.011459708
-0.00021240393,-0.021056294
0.004613085,-0.0032054186
-0.003916101,0.0012433529
0.024991482,-0.0009692311
-0.01535623,0.028341174
0.020592581,-0.013445675
0.009885161,0.018592715
-0.0034751715,0.011196613
-0.004582349,-0.0032758117
0.022100542,-0.0029654503
0.015064933,0.024691105
0.016210157,0.013417721
0.0007249695,0.010702372
0.010304136,7.43866e-05
0.028085813,0.006098509
-0.0054187826,0.025864363
-0.0002389444,-0.003921032
-0.014507234,-0.0024363995
9.030766e-05,-0.015479028
0.01734673,-0.004557371
0.009494474,0.012561083
0.011628025,0.013078332
-0.021092143,0.010169268
0.043899704,-0.019507587
0.0067354687,0.036951303
-0.0054272125,0.0009635687
0.008054299,-0.0062569976
-0.0049625295,0.0016764402
0.0020061308,-0.0011637211
0.006726892,-0.00022375584
0.0056719547,0.005943179
0.012375181,-0.0013456345
0.005005311,0.0118047
0.0020479835,0.0028141737
-0.0153097985,0.004473686
0.0010071504,-0.014486551
0.022058805,9.071827e-05
0.00064268574,0.021777987
0.0052806768,-0.005630493
-0.013621321,0.0010137558
-0.011988567,-0.014022052
0.0019538687,-0.010332584
0.010551602,4.708767e-05
-0.008602159,0.0054633617
0.015314218,-0.00902921
0.006056034,0.015789509
-0.006159412,0.0030466318
-0.022079242,-0.0041716695
