a2c_return,benchmark_return
-0.0028872509,-0.0026112199
0.0021994004,0.002342105
-0.0075825737,0.00088620186
0.023319114,-0.0017704368
-0.00012267809,0.016326785
0.01648495,0.00081539154
0.0075719636,0.012730122
0.0028987026,0.0044841766
-0.0074945013,0.0070643425
0.0046276916,-0.005027294
-0.0069271596,0.0005508661
-0.018042156,-0.008597314
-0.004573788,-0.019080102
-0.0003592091,-0.004658282
0.0133104585,0.0018122196
-0.027275488,0.009783387
-0.010899674,-0.030289173
-0.0068370244,-0.005712211
-0.012156694,-0.00959909
0.0018625458,-0.008821368
-0.011276192,0.004633069
-0.0064206882,-0.010676503
0.017697714,-0.005528331
0.007597211,0.01399827
0.012264641,0.0061187744
0.010384818,0.011870861
-0.03963906,0.007142067
0.0002819855,-0.03941679
-0.0056801476,0.00096833706
-0.00669118,-0.005565107
0.0040984266,-0.004502356
-0.011883715,0.00639987
-0.021385046,-0.010104835
-0.008341074,-0.017014503
-0.0106034605,-0.0035482645
-0.008758674,-0.01616764
-0.004702167,-0.011138737
0.01658967,-0.0042999387
-0.016196204,0.01883471
-0.015134885,-0.015433729
0.030149892,-0.017111719
0.021891281,0.026644588
-0.0023220028,0.027989268
-0.011758781,-0.0014002919
-0.028000457,-0.011459708
-0.007022493,-0.021056294
-0.002267703,-0.0032054186
-0.0034674734,0.0012433529
0.025277458,-0.0009692311
-0.011130806,0.028341174
0.027457802,-0.013445675
0.009471521,0.018592715
-0.0057525923,0.011196613
-0.009380407,-0.0032758117
0.024615897,-0.0029654503
0.012129537,0.024691105
0.013422633,0.013417721
0.0019415333,0.010702372
0.007576402,7.43866e-05
0.023491869,0.006098509
-0.0033392939,0.025864363
-0.003340714,-0.003921032
-0.024502413,-0.0024363995
-0.00522776,-0.015479028
0.014773011,-0.004557371
0.015102713,0.012561083
0.0087517295,0.013078332
-0.014114163,0.010169268
0.0466467,-0.019507587
-0.009419792,0.036951303
-0.0046720523,0.0009635687
0.002515426,-0.0062569976
0.00033846515,0.0016764402
-0.0055175596,-0.0011637211
0.009786033,-0.00022375584
-0.0011356517,0.005943179
0.012148956,-0.0013456345
0.0068469993,0.0118047
0.0007658655,0.0028141737
-0.010939456,0.004473686
0.0011963214,-0.014486551
0.025362602,9.071827e-05
-6.902919e-05,0.021777987
0.0059206816,-0.005630493
-0.013685554,0.0010137558
-0.009295883,-0.014022052
-0.0009777412,-0.010332584
0.006786037,4.708767e-05
-0.00820437,0.0054633617
0.015911052,-0.00902921
0.0053719715,0.015789509
-0.007950782,0.0030466318
-0.021481296,-0.0041716695
-0.010589747,-0.02249676
-0.0058842152,-0.008486092
0.0023783876,-0.0049489737
0.013444103,0.0028146505
-0.008261118,0.016034842
0.005320991,-0.010456204
-0.0009759638,0.005342245
-0.010052214,0.0011333227
0.01166856,-0.011005759
-0.005548197,0.010496855
0.0027675298,-0.0022140145
0.010494439,-0.00032818317
-0.025582666,0.0040256977
0.024247944,-0.010210216
-0.0071420837,0.021273255
0.0049384166,-0.0033589005
0.010766993,0.0055627823
0.003713748,0.007978559
0.0036882148,0.006386161
-0.0046699336,0.0032945871
-0.017580112,-0.011420667
-0.016456168,-0.018103063
0.018790515,-0.00758034
0.0038635475,0.010014653
0.008317883,0.007612467
0.0023805771,0.0031044483
-0.009458196,0.00029289722
0.0022593744,0.0060920715
-0.009671596,0.0008444786
0.009906564,-0.0076810718
0.0061575086,0.010942459
0.00045434534,0.00020301342
-0.0059758746,-0.0011445284
-0.0014138316,-0.003756702
0.0024136303,-0.0010313988
-0.0048936545,0.007838964
-0.0061169188,-0.00608021
0.0029420387,-0.0073384643
0.0109953,0.0050264597
-0.0037540807,0.011121035
0.00059821975,-0.0045745373
-0.010799833,0.0011376143
0.006665275,-0.012634754
-0.018599357,0.0038532019
-0.0016753288,-0.020608008
0.0019582957,-0.002550602
-0.010255121,0.0032930374
0.002961799,-0.01016438
-0.0059119263,0.0021990538
0.0027824638,-0.007065892
0.0134817865,0.00015735626
0.01510127,0.010462642
-0.0017314539,0.011738062
-0.016792325,0.00121212
-0.00062459736,-0.017198801
-0.016861647,-0.0017671585
