a2c_return,benchmark_return
-0.0046978667,0.002342105
-0.010360193,0.00088620186
0.028497677,-0.0017704368
0.0033460357,0.016326785
0.019359658,0.00081539154
0.0104253935,0.012730122
0.0049076173,0.0044841766
-0.013050465,0.0070643425
0.0018481847,-0.005027294
-0.019830717,0.0005508661
-0.02674938,-0.008597314
-0.0018091974,-0.019080102
0.0035332167,-0.004658282
0.018363088,0.0018122196
-0.039587572,0.009783387
-0.0066760313,-0.030289173
-0.008197946,-0.005712211
-0.01070135,-0.00959909
-0.0033055663,-0.008821368
-0.01068623,0.004633069
-0.006363472,-0.010676503
0.02155289,-0.005528331
0.0036330281,0.01399827
0.018378457,0.0061187744
0.009748781,0.011870861
-0.051673956,0.007142067
0.0022639316,-0.03941679
-0.013964139,0.00096833706
-0.009150558,-0.005565107
0.007569856,-0.004502356
-0.013764277,0.00639987
-0.020423902,-0.010104835
-0.0127990665,-0.017014503
-0.017245026,-0.0035482645
-0.008840875,-0.01616764
-0.006914214,-0.011138737
0.024327084,-0.0042999387
-0.020473208,0.01883471
-0.023581859,-0.015433729
0.028966172,-0.017111719
0.03436623,0.026644588
-0.00015969537,0.027989268
-0.009474969,-0.0014002919
-0.033643905,-0.011459708
-0.008986049,-0.021056294
-0.007925145,-0.0032054186
0.0008358931,0.0012433529
0.024296481,-0.0009692311
-0.0237549,0.028341174
0.035413798,-0.013445675
0.012049439,0.018592715
-0.0061231586,0.011196613
-0.0037985838,-0.0032758117
0.028259577,-0.0029654503
0.009759017,0.024691105
0.021322586,0.013417721
-0.011445169,0.010702372
-0.0014114802,7.43866e-05
0.012118597,0.006098509
-0.00809482,0.025864363
-0.010626382,-0.003921032
-0.027936658,-0.0024363995
-0.008476281,-0.015479028
0.020908179,-0.004557371
0.009279177,0.012561083
0.0063189436,0.013078332
-0.039369144,0.010169268
0.07163872,-0.019507587
0.01550034,0.036951303
-0.009179606,0.0009635687
0.009570039,-0.0062569976
-0.010510529,0.0016764402
-0.008232579,-0.0011637211
7.444767e-05,-0.00022375584
0.0030067898,0.005943179
0.01111483,-0.0013456345
0.012503055,0.0118047
-0.0002849892,0.0028141737
-0.01438303,0.004473686
-0.0046361485,-0.014486551
0.03696074,9.071827e-05
-0.0006615712,0.021777987
0.0024309463,-0.005630493
-0.021083988,0.0010137558
-0.02084171,-0.014022052
-0.00025890075,-0.010332584
0.015285664,4.708767e-05
-0.006887374,0.0054633617
0.0192538,-0.00902921
0.009049722,0.015789509
-0.0066772755,0.0030466318
-0.028766334,-0.0041716695
-0.00813081,-0.02249676
-0.017558593,-0.008486092
0.0043804357,-0.0049489737
0.020281589,0.0028146505
-0.018713756,0.016034842
0.0068043214,-0.010456204
-0.011975753,0.005342245
-0.011865261,0.0011333227
0.021003261,-0.011005759
-0.002404322,0.010496855
0.006975736,-0.0022140145
0.0069196387,-0.00032818317
-0.016633116,0.0040256977
0.028387565,-0.010210216
0.005792058,0.021273255
0.00967919,-0.0033589005
0.018999042,0.0055627823
0.011760407,0.007978559
0.009235989,0.006386161
-0.0019980345,0.0032945871
-0.01676383,-0.011420667
-0.01366441,-0.018103063
0.027298726,-0.00758034
0.013640486,0.010014653
0.0005227459,0.007612467
0.0041256524,0.0031044483
0.0065353205,0.00029289722
0.009884324,0.0060920715
-0.014884483,0.0008444786
0.01390875,-0.0076810718
0.0136677055,0.010942459
0.020317584,0.00020301342
-0.025543757,-0.0011445284
-0.0027365205,-0.003756702
0.012838858,-0.0010313988
-0.008175916,0.007838964
-0.009420603,-0.00608021
-0.0072050556,-0.0073384643
0.014463513,0.0050264597
0.00374758,0.011121035
0.0035594173,-0.0045745373
-0.022528732,0.0011376143
-0.0036415497,-0.012634754
-0.022718294,0.0038532019
-0.0003557318,-0.020608008
0.015068417,-0.002550602
-0.015566736,0.0032930374
0.003976524,-0.01016438
-0.0028091073,0.0021990538
-0.008474225,-0.007065892
0.008766263,0.00015735626
0.018572113,0.010462642
-0.0017017702,0.011738062
-0.011504129,0.00121212
0.0027210896,-0.017198801
-0.019400805,-0.0017671585
-0.010558998,-0.016572118
0.0025636326,-0.010702848
0.018847452,-0.0028361082
-0.0032945871,0.0105679035
0.023027696,-0.008733511
-0.008543531,0.011670113
0.00413015,-0.011925936
0.015484901,0.012008071
-0.017196996,0.0098006725
0.0067469277,-0.016292393
-0.0024609147,0.0023459196
0.0024414947,0.0041202307
-0.00339197,0.0060349703
0.017387517,-0.0011664629
0.0077378736,0.009981751
0.014477266,0.0043227673
0.0032605524,0.012633324
-0.0023898361,0.009827495
-0.008243697,-0.005915582
0.0039924323,0.0024051666
0.0038941624,7.677078e-05
-0.0044602067,0.0030231476
-0.008196286,0.0029258728
0.020580119,-0.0011366606
-0.0005798545,0.011388779
0.0056885886,-0.0042087436
0.0026072816,0.0029720068
0.0019583742,-0.000310421
-0.0055363094,-0.002343297
0.006835562,-0.003256619
-0.0010735773,0.00066125393
-0.018062739,0.001965046
0.0053059296,-0.010171711
0.023738248,-0.0068282485
0.004461171,0.015743494
-0.0029884004,0.008041143
-0.006529368,-0.0013625622
-0.0048004934,-0.010782659
-0.008704998,-0.008024275
0.020140976,-0.008574188
0.003631749,0.01650095
-0.0022997414,-0.0016537309
0.0057528513,-0.001691997
-0.010533886,-0.000908196
-0.006873902,-0.0066152215
0.005912466,-0.0002669096
-0.004919462,0.0014408827
0.016699083,-0.010089219
0.014309893,0.012378097
-0.009717152,0.0034451485
-0.0064864317,-0.0032586455
-0.012684406,-0.0041897893
-0.00386916,-0.0069417357
0.019419486,-0.007732153
0.014072343,-0.0010753274
0.0010946783,0.010031819
-0.009696301,-0.0015277863
0.015200623,-0.0040708184
0.017345302,0.0046584606
-0.0032344824,0.021208644
0.0017556464,-0.005920768
-0.010460285,0.0003105402
0.007619519,0.0027325153
-0.001630782,0.005007863
0.012484608,0.0012760162
0.006699289,0.005595207
0.004444052,0.0042797327
0.010454522,-0.0068044066
-0.004005152,0.01261735
-0.0073091374,-0.00316602
-0.0045759007,-0.007150352
0.0076315696,-0.0030055642
-0.005870619,-0.00014162064
-0.005269407,-0.006459594
0.010913627,-0.0003771186
-0.002908883,0.006288886
0.0055641527,-0.002183497
0.011104725,0.007968664
0.0014742614,0.008357525
-0.0026636682,0.0003157854
-0.00823144,-0.0037720203
-0.001663165,-0.010685146
-0.0016641015,-0.0055238605
0.010204262,0.006210804
0.009220846,0.009339452
0.012364215,0.0025103092
-0.002971077,0.0013890266
