ppo_return,benchmark_return
-0.007202185,-0.001888454
0.011887087,-0.0042670965
-0.003426347,0.011621237
-0.006030926,-0.0044721365
6.762052e-05,-0.005412221
-0.0007756689,0.0015029907
0.0007260547,0.002992034
-0.010502573,0.00074350834
-0.0046883207,-0.010231197
-0.009087768,-0.0051693916
0.0010607222,-0.008367717
6.0712926e-05,0.0007493496
0.0013613588,-0.0010715127
0.00585821,-0.0050738454
-0.017709397,0.005370617
0.010091812,-0.010836244
0.0059460937,0.0072574615
0.0076763174,0.0062037706
0.0050292076,0.008469105
-0.005938336,0.0010778904
0.0021905794,-0.004824519
-0.002480721,0.0033351183
-0.0109131,-0.0056186914
-0.0023024704,-0.0057380795
-0.0009770978,0.001670599
0.004095394,0.0021988153
-0.004101525,0.002519846
6.24393e-05,-0.00051152706
0.009815995,-0.0020336509
-0.0100586815,0.0095899105
-0.0004500943,-0.008275449
0.00029520472,0.00017511845
-0.0059120255,-0.0030779243
-0.011165705,-0.0022264123
-0.004382668,-0.010756314
0.0013204841,-0.0031282902
-0.01346816,0.0012671947
-0.0016999672,-0.0114094615
-0.004551426,-0.0020408034
-0.002211046,0.0034595728
-0.005326538,-0.0047180653
-0.00933342,-0.002212882
0.0021375408,-0.012890518
-0.00084461144,0.0038534403
0.0051317243,-0.00030124187
0.0047160513,0.00869596
0.006297343,0.0058989525
0.0034212924,0.004006982
-0.0092151165,0.001943469
-0.0055199014,-0.0051392317
0.007853486,0.0011640787
-0.0009452601,0.009333134
-0.0014840359,0.00038576126
-0.007047852,-0.0097821355
-0.008843276,-0.0074530244
-0.0060323565,-0.00858587
0.0035813446,-0.0057617426
-0.0017755617,0.0062232018
-0.0044190264,-0.0031818151
-0.011887701,-0.007616818
0.018295374,-0.011185586
0.010341906,0.015774488
0.0103304135,0.0037629604
0.013846917,0.0067076683
0.0059531783,0.016964912
0.0026148553,0.0065675974
0.00059585663,0.0010139942
-4.3444932e-05,0.0016641617
-0.0023501443,-0.0011809468
0.013812773,-0.006458938
0.007747018,0.011541367
0.010416301,0.0015975237
0.001967968,0.014264941
0.005337917,0.0046948195
-0.00061307306,-0.0013072491
0.015379123,5.185604e-05
-0.0010812476,0.005830407
0.007086528,-0.0017851591
0.00091698725,0.0052651167
-0.0010786748,0.0033203363
0.0049211807,-0.0016015768
0.00056035165,0.0023635626
0.013464097,0.00037956238
0.0066560097,0.014689922
-0.001785572,0.008194804
-0.0020214114,-0.0011327863
-0.0010100297,-0.0022064447
0.0025191347,-0.0019413233
0.008731954,0.0017459393
0.003818527,0.0036129951
0.0046551228,0.0043329
0.0113195265,0.0047523975
-0.00070897944,0.014005661
0.004662213,0.004262924
-0.001237909,0.0015251637
0.006351252,2.3007393e-05
-0.011382974,0.006752372
0.008473084,-0.012671649
7.0186616e-05,0.00869298
0.0042960667,-0.0004914403
0.0015048513,0.0042625666
0.00018688201,0.0029615164
0.0006874018,0.0014228821
-0.009550883,-0.0005452633
-0.009055966,0.0006766319
-0.0006270686,-0.0075526237
0.0016508093,0.00027108192
-0.007681963,0.00068831444
-0.004726052,0.00578928
0.0059561804,-0.004188955
-0.003882051,0.00454545
-0.00059663126,0.00040555
-0.018402524,-0.0031300783
0.0008025848,-0.00616765
0.014113635,-0.0025280118
0.016756035,0.0054186583
0.0030867504,0.01054728
0.00028855528,0.003644824
0.0020327452,-0.0025356412
-0.00073268934,-0.002613306
-0.0012276988,0.0064206123
0.0014148684,0.0015847683
-0.0040544188,0.0058783293
0.0005893133,0.0034919977
0.0071003665,-0.008240938
-6.4657295e-05,0.009686351
-0.009181597,0.0034937859
0.0033289748,-0.007096231
0.0069671897,0.0036799908
-0.0023246072,0.004049659
0.0010879455,0.0012661219
-1.9533942e-05,-0.001410842
-0.014722455,0.003250122
0.0006219606,-0.013522267
0.008062225,0.0039589405
-0.0038283977,0.0090789795
-0.000808206,-0.003743112
-0.00044353437,-0.0016616583
0.00905971,0.0012559891
-0.0013316345,0.011832237
-0.0045376997,0.0015977621
8.751452e-05,-0.0015920997
0.006769441,-0.0024781823
-0.004195827,-0.00060015917
-0.0038345142,0.0012162924
-0.0013610778,0.0023332834
-0.0070445416,-0.002495706
0.0009094407,-0.010378003
0.0038589984,0.0019659996
-0.0041448455,0.003370285
-0.0039170245,-0.0017699599
-0.001159526,0.0012129545
-0.0067621255,0.006082773
-0.0011281464,0.0009698868
-0.004636888,-0.0035258532
-0.0026947402,-0.0049064755
0.008799334,0.001954317
0.013809065,0.008257985
-0.004078927,0.01026237
-0.00083891716,0.006814122
-0.0011742045,-0.007678807
-0.0049554636,-0.0041102767
0.01501104,-0.00079649687
-0.0004522903,0.01216197
-0.0074053714,0.0011894703
-0.0068093906,-0.0060420632
-0.0033613385,-0.010023892
-0.009657105,-0.0011002421
0.0055361725,-0.0135496855
-0.0025707744,0.007955551
-0.0035862,-0.0002888441
-0.01058071,-0.00023472309
-0.0017188119,-0.010856986
-0.009787135,-6.330013e-05
-0.005020893,-0.012372613
0.0021505342,-0.0065326095
-0.0048001683,0.0016922951
-0.00023118616,-0.0012079477
0.0006339064,0.00058460236
0.00890272,0.0055861473
0.0040957127,0.006675601
-0.0029617203,0.0068962574
-0.0064550303,-0.0011107922
0.001994267,-0.009753287
0.011959987,0.0040397644
-0.015691508,0.0038292408
0.0061926837,-0.0148534775
0.0139063755,0.002310276
0.015085073,0.008505106
0.00034728678,0.011772752
-0.0015731552,0.004565954
0.0069339867,0.00082337856
0.006023707,0.0044267178
-0.0003113455,0.008484483
-0.0001061083,0.0031756163
0.005150798,-0.0020582676
