sac_return,benchmark_return
-0.0030092618,0.002342105
-0.0050929054,0.00088620186
0.019881586,-0.0017704368
0.0004242235,0.016326785
0.014543544,0.00081539154
0.0071618673,0.012730122
0.004632155,0.0044841766
-0.007049704,0.0070643425
0.0022724664,-0.005027294
-0.010736568,0.0005508661
-0.01994378,-0.008597314
-0.0039077126,-0.019080102
0.001654999,-0.004658282
0.012320818,0.0018122196
-0.034800604,0.009783387
-0.0074727517,-0.030289173
-0.009347019,-0.005712211
-0.009918913,-0.00959909
0.00053853536,-0.008821368
-0.012173394,0.004633069
-0.0065929387,-0.010676503
0.015796278,-0.005528331
0.005004747,0.01399827
0.015308714,0.0061187744
0.008406559,0.011870861
-0.042111687,0.007142067
0.00078276225,-0.03941679
-0.009179117,0.00096833706
-0.0028011478,-0.005565107
0.0070004314,-0.004502356
-0.011450056,0.00639987
-0.01793145,-0.010104835
-0.007486851,-0.017014503
-0.013691615,-0.0035482645
-0.010578312,-0.01616764
-0.004322077,-0.011138737
0.017141411,-0.0042999387
-0.019250732,0.01883471
-0.022379221,-0.015433729
0.027355094,-0.017111719
0.02857965,0.026644588
-0.0004940975,0.027989268
-0.012722236,-0.0014002919
-0.025175426,-0.011459708
-0.0030198747,-0.021056294
0.0007229024,-0.0032054186
-0.0019365135,0.0012433529
0.028265063,-0.0009692311
-0.01705675,0.028341174
0.022457967,-0.013445675
0.010031513,0.018592715
-0.0031578909,0.011196613
-0.0031285211,-0.0032758117
0.020084074,-0.0029654503
0.012685102,0.024691105
0.01637675,0.013417721
0.0005350164,0.010702372
0.006204819,7.43866e-05
0.029962,0.006098509
-0.007176493,0.025864363
-0.0018830536,-0.003921032
-0.017628385,-0.0024363995
-0.004630051,-0.015479028
0.01680369,-0.004557371
0.009121773,0.012561083
0.011202774,0.013078332
-0.020828143,0.010169268
0.046936866,-0.019507587
0.005676778,0.036951303
-0.0034466276,0.0009635687
0.004057313,-0.0062569976
-0.0049209804,0.0016764402
0.0015617075,-0.0011637211
0.0043313587,-0.00022375584
