sf_a2c_return,benchmark_return
-0.0069802464,0.002342105
-0.0070594638,0.00088620186
0.021801481,-0.0017704368
0.000511975,0.016326785
0.017638447,0.00081539154
0.006067378,0.012730122
0.005864452,0.0044841766
-0.008048523,0.0070643425
0.007858183,-0.005027294
-0.014602085,0.0005508661
-0.021905458,-0.008597314
-0.0012465252,-0.019080102
0.0017307394,-0.004658282
0.014541787,0.0018122196
-0.03664251,0.009783387
-0.008889497,-0.030289173
-0.010180952,-0.005712211
-0.011941189,-0.00959909
-0.00484211,-0.008821368
-0.010583638,0.004633069
-0.004846528,-0.010676503
0.018185133,-0.005528331
0.0072124717,0.01399827
0.010968097,0.0061187744
0.00803614,0.011870861
-0.046486925,0.007142067
0.0026665006,-0.03941679
-0.009853322,0.00096833706
-0.0016842616,-0.005565107
0.008078723,-0.004502356
-0.013396397,0.00639987
-0.015939703,-0.010104835
-0.011328939,-0.017014503
-0.012583887,-0.0035482645
-0.014706946,-0.01616764
-0.004460547,-0.011138737
0.021020567,-0.0042999387
-0.016790573,0.01883471
-0.020355241,-0.015433729
0.027653627,-0.017111719
0.02765654,0.026644588
-0.0003195019,0.027989268
-0.0100731375,-0.0014002919
-0.025787642,-0.011459708
-0.0034962639,-0.021056294
-0.00086473086,-0.0032054186
-0.0010437925,0.0012433529
0.028116006,-0.0009692311
-0.019359663,0.028341174
0.025003858,-0.013445675
0.011179458,0.018592715
-0.0033460327,0.011196613
-0.008137031,-0.0032758117
0.02453486,-0.0029654503
0.014083564,0.024691105
0.02130135,0.013417721
-0.0024516692,0.010702372
0.00997379,7.43866e-05
0.027317904,0.006098509
-0.00851993,0.025864363
-0.00034961567,-0.003921032
-0.01740662,-0.0024363995
6.2415944e-05,-0.015479028
0.021270605,-0.004557371
0.008100351,0.012561083
0.008529064,0.013078332
-0.01970589,0.010169268
0.054107927,-0.019507587
0.0071914825,0.036951303
-0.0049980003,0.0009635687
0.00486694,-0.0062569976
-0.0069027087,0.0016764402
0.0031424996,-0.0011637211
0.004889432,-0.00022375584
0.0012437439,0.005943179
0.016670687,-0.0013456345
0.0065061175,0.0118047
0.0011286562,0.0028141737
-0.013486234,0.004473686
0.00092592597,-0.014486551
0.029814126,9.071827e-05
0.002227149,0.021777987
0.0032062095,-0.005630493
-0.013554686,0.0010137558
-0.01224727,-0.014022052
0.0011182242,-0.010332584
0.01620772,4.708767e-05
-0.010249479,0.0054633617
0.018390764,-0.00902921
0.008991549,0.015789509
-0.005811864,0.0030466318
-0.021816084,-0.0041716695
-0.010543456,-0.02249676
-0.0064663193,-0.008486092
0.0014523936,-0.0049489737
0.023642533,0.0028146505
-0.01632345,0.016034842
0.0044329255,-0.010456204
-0.005670741,0.005342245
-0.009936267,0.0011333227
0.013201784,-0.011005759
-0.0030154677,0.010496855
-0.000987054,-0.0022140145
0.010746217,-0.00032818317
-0.0118692,0.0040256977
0.02612128,-0.010210216
-0.0013974814,0.021273255
0.005468543,-0.0033589005
0.0084228,0.0055627823
0.0048871557,0.007978559
0.0075499397,0.006386161
-0.0009752934,0.0032945871
-0.01941939,-0.011420667
-0.0137194805,-0.018103063
0.018733962,-0.00758034
0.014756258,0.010014653
0.0035301275,0.007612467
0.0009846964,0.0031044483
0.0011223992,0.00029289722
0.0050460985,0.0060920715
-0.0111811515,0.0008444786
0.0112409955,-0.0076810718
0.009137801,0.010942459
0.0007260837,0.00020301342
-0.008280776,-0.0011445284
0.0007578633,-0.003756702
0.010959251,-0.0010313988
-0.0076097455,0.007838964
-0.005856629,-0.00608021
-0.0015794561,-0.0073384643
0.014553887,0.0050264597
0.0014156811,0.011121035
0.0011884421,-0.0045745373
-0.009913698,0.0011376143
0.0012544346,-0.012634754
-0.021168372,0.0038532019
-0.0007621401,-0.020608008
0.019354295,-0.002550602
-0.010007492,0.0032930374
0.0033616016,-0.01016438
-0.004679118,0.0021990538
-0.004353837,-0.007065892
0.010633303,0.00015735626
0.011924957,0.010462642
0.0025190096,0.011738062
-0.0132765,0.00121212
0.0016569756,-0.017198801
-0.016981771,-0.0017671585
-0.0072985357,-0.016572118
-0.0040515084,-0.010702848
0.015805515,-0.0028361082
-0.006778318,0.0105679035
0.01767187,-0.008733511
-0.009641342,0.011670113
0.010627835,-0.011925936
0.008720104,0.012008071
-0.017365715,0.0098006725
0.0039199744,-0.016292393
0.0017664493,0.0023459196
0.0039764848,0.0041202307
-0.0012022704,0.0060349703
0.012821822,-0.0011664629
0.0048112003,0.009981751
0.013493613,0.0043227673
0.0069629373,0.012633324
-0.008329561,0.009827495
-0.002950313,-0.005915582
-0.0005106368,0.0024051666
0.006443958,7.677078e-05
0.0010540688,0.0030231476
-0.003360072,0.0029258728
0.009660183,-0.0011366606
-0.0006670763,0.011388779
0.006107722,-0.0042087436
0.005356823,0.0029720068
0.0013268485,-0.000310421
-0.0078044645,-0.002343297
0.0021719388,-0.003256619
0.002365122,0.00066125393
-0.012734596,0.001965046
-0.004757867,-0.010171711
0.011440018,-0.0068282485
0.011410492,0.015743494
0.004487824,0.008041143
-0.01060625,-0.0013625622
-0.0069474247,-0.010782659
-0.009409667,-0.008024275
0.01668172,-0.008574188
0.0015928312,0.01650095
-0.0039865696,-0.0016537309
-0.00037557384,-0.001691997
-0.0035186794,-0.000908196
-0.0022625078,-0.0066152215
0.0035513598,-0.0002669096
-0.00944712,0.0014408827
0.013598883,-0.010089219
0.010899601,0.012378097
-0.002622191,0.0034451485
-0.00978196,-0.0032586455
-0.007771102,-0.0041897893
-0.007845259,-0.0069417357
0.025414163,-0.007732153
0.007915925,-0.0010753274
-0.00039368132,0.010031819
-0.0132533545,-0.0015277863
0.014558323,-0.0040708184
0.021149263,0.0046584606
-0.0076780412,0.021208644
-0.0029506346,-0.005920768
-0.00023445515,0.0003105402
0.005835541,0.0027325153
0.00020547895,0.005007863
0.007072617,0.0012760162
0.008119498,0.005595207
0.007601351,0.0042797327
0.009367041,-0.0068044066
0.0014395964,0.01261735
-0.0055838246,-0.00316602
-0.0023675794,-0.007150352
0.0004988612,-0.0030055642
-0.006987671,-0.00014162064
-0.0025770678,-0.006459594
0.009947761,-0.0003771186
-0.0065363706,0.006288886
0.0062257927,-0.002183497
0.010567326,0.007968664
-0.0006288229,0.008357525
-0.002003663,0.0003157854
-0.011079237,-0.0037720203
-0.0033304754,-0.010685146
0.0029937269,-0.0055238605
0.010301717,0.006210804
0.0040493784,0.009339452
0.0069872173,0.0025103092
-0.0023433848,0.0013890266
0.004490243,0.0033112764
0.006698465,0.0022115707
0.0035048688,0.010599256
0.00036966568,0.0031266212
-0.0021894877,0.0046766996
0.004198689,7.1287155e-05
0.0026683123,0.0052102804
0.006374642,0.00075769424
-0.0054863645,0.0023152828
0.00526608,-0.006683588
0.0019931078,0.005004406
0.0011584162,0.002826929
-0.012307796,0.0020008087
-0.00027095483,-0.009771347
-0.00573523,-0.001888454
0.010799537,-0.0042670965
-0.0058575356,0.011621237
-0.007100919,-0.0044721365
-0.00053621025,-0.005412221
-0.00070740667,0.0015029907
0.009307973,0.002992034
-0.008793386,0.00074350834
-0.0032553708,-0.010231197
-0.0032014207,-0.0051693916
0.001677349,-0.008367717
0.0073915836,0.0007493496
-0.00844444,-0.0010715127
0.008857079,-0.0050738454
-0.008852067,0.005370617
0.0024376852,-0.010836244
0.0063515706,0.0072574615
0.011334879,0.0062037706
0.0029555962,0.008469105
-0.0034015656,0.0010778904
0.0023045705,-0.004824519
-0.008965014,0.0033351183
-0.0068377606,-0.0056186914
-0.0035727397,-0.0057380795
-0.0013418649,0.001670599
0.000930933,0.0021988153
-0.0029573732,0.002519846
-0.0011423806,-0.00051152706
0.0075254044,-0.0020336509
-0.013439799,0.0095899105
6.579707e-05,-0.008275449
-0.0038099773,0.00017511845
-0.006832688,-0.0030779243
-0.017880343,-0.0022264123
-0.0004956017,-0.010756314
-0.00033723525,-0.0031282902
-0.009329173,0.0012671947
-0.0016754833,-0.0114094615
0.0047410475,-0.0020408034
0.0010340741,0.0034595728
-0.0024732617,-0.0047180653
-0.012178472,-0.002212882
0.0044843657,-0.012890518
-0.005663613,0.0038534403
0.008957047,-0.00030124187
0.0013985271,0.00869596
0.008291469,0.0058989525
0.0021025701,0.004006982
-0.0072802375,0.001943469
-0.002420154,-0.0051392317
0.011413085,0.0011640787
-0.001249358,0.009333134
-0.012868412,0.00038576126
-0.007383506,-0.0097821355
-0.005892098,-0.0074530244
-0.0005318169,-0.00858587
0.009569124,-0.0057617426
-0.003496954,0.0062232018
-0.011254923,-0.0031818151
-0.011054852,-0.007616818
0.0154446475,-0.011185586
0.0041648378,0.015774488
0.006975298,0.0037629604
0.018556941,0.0067076683
0.008891875,0.016964912
0.0036743712,0.0065675974
0.001507591,0.0010139942
0.0015705125,0.0016641617
-0.008210422,-0.0011809468
0.009823055,-0.006458938
0.0014870623,0.011541367
0.015081592,0.0015975237
0.0026138031,0.014264941
-0.0033452604,0.0046948195
0.0007271363,-0.0013072491
0.0086627845,5.185604e-05
-0.00022070367,0.005830407
0.0020489783,-0.0017851591
0.00045234768,0.0052651167
0.00024413089,0.0033203363
2.3341305e-05,-0.0016015768
0.0027001633,0.0023635626
0.0062579806,0.00037956238
0.008968256,0.014689922
-0.0001441811,0.008194804
0.0031908269,-0.0011327863
-0.002614255,-0.0022064447
0.0037806523,-0.0019413233
0.004749775,0.0017459393
0.0057773814,0.0036129951
0.007069071,0.0043329
0.014057101,0.0047523975
0.0032146953,0.014005661
0.0031329873,0.004262924
0.00481321,0.0015251637
0.0039610183,2.3007393e-05
-0.014677688,0.006752372
0.008295136,-0.012671649
-0.0055424734,0.00869298
0.005090738,-0.0004914403
0.0019707764,0.0042625666
0.0023231527,0.0029615164
0.0003511256,0.0014228821
-0.0017602424,-0.0005452633
-0.007321073,0.0006766319
0.0008780402,-0.0075526237
0.0047875945,0.00027108192
0.009817605,0.00068831444
-0.0015888712,0.00578928
0.008456776,-0.004188955
0.00088066625,0.00454545
-4.8017944e-05,0.00040555
-0.004117043,-0.0031300783
-0.003223301,-0.00616765
0.008353462,-0.0025280118
0.015219601,0.0054186583
-6.7243923e-06,0.01054728
-0.0029328621,0.003644824
-0.0014597515,-0.0025356412
0.0057471315,-0.002613306
0.002305361,0.0064206123
0.007816202,0.0015847683
0.0037461037,0.0058783293
-0.0123276645,0.0034919977
0.01615716,-0.008240938
0.006943228,0.009686351
-0.0023879614,0.0034937859
0.002707224,-0.007096231
0.008932466,0.0036799908
-0.0011146624,0.004049659
0.0026775927,0.0012661219
0.0031319638,-0.001410842
