sf_a2c_return,benchmark_return
0.0054011648,-0.0026112199
0.00019697419,0.002342105
0.00013534504,0.00088620186
0.02068945,-0.0017704368
0.0058413744,0.016326785
0.012274418,0.00081539154
0.00095645647,0.012730122
0.004608218,0.0044841766
-0.003296805,0.0070643425
0.0019927074,-0.005027294
-0.011622728,0.0005508661
-0.01887285,-0.008597314
0.0016536206,-0.019080102
0.0030585958,-0.004658282
0.013372853,0.0018122196
-0.028691841,0.009783387
-0.0046964907,-0.030289173
-0.012127572,-0.005712211
-0.009158196,-0.00959909
-0.002599668,-0.008821368
-0.007457457,0.004633069
-0.0068831667,-0.010676503
0.010004411,-0.005528331
0.0067045856,0.01399827
0.018188827,0.0061187744
0.014515382,0.011870861
-0.042834856,0.007142067
0.0022061397,-0.03941679
-0.0058837067,0.00096833706
-0.011450962,-0.005565107
0.010427761,-0.004502356
-0.00946914,0.00639987
-0.018037258,-0.010104835
-0.010237442,-0.017014503
-0.027043622,-0.0035482645
-0.014836502,-0.01616764
-0.0006405058,-0.011138737
0.02313335,-0.0042999387
-0.02171658,0.01883471
-0.018306646,-0.015433729
0.033226613,-0.017111719
0.037435327,0.026644588
-0.0043714447,0.027989268
-0.0070403353,-0.0014002919
-0.020455558,-0.011459708
-0.003928966,-0.021056294
-0.0060253767,-0.0032054186
-0.0017699982,0.0012433529
0.029940581,-0.0009692311
-0.021087455,0.028341174
0.021227377,-0.013445675
0.014011281,0.018592715
-0.0018322975,0.011196613
-0.0021843556,-0.0032758117
0.023728414,-0.0029654503
0.011771223,0.024691105
0.017105171,0.013417721
-0.0035857651,0.010702372
0.008516422,7.43866e-05
0.03059963,0.006098509
-0.0043771514,0.025864363
-0.00029477556,-0.003921032
-0.013533516,-0.0024363995
-0.0041105105,-0.015479028
0.016673759,-0.004557371
0.01081427,0.012561083
0.008483577,0.013078332
-0.01916496,0.010169268
0.04819495,-0.019507587
0.010906446,0.036951303
-0.006816603,0.0009635687
0.0024780487,-0.0062569976
-0.005203779,0.0016764402
-0.0012562586,-0.0011637211
0.00406201,-0.00022375584
-0.003882841,0.005943179
0.015144855,-0.0013456345
0.0014715714,0.0118047
0.0011894752,0.0028141737
-0.020224197,0.004473686
0.0029150106,-0.014486551
0.022571087,9.071827e-05
-0.006334839,0.021777987
-0.0007559008,-0.005630493
-0.016801897,0.0010137558
-0.01692898,-0.014022052
-0.0021698189,-0.010332584
0.004576948,4.708767e-05
-0.006777621,0.0054633617
0.017459532,-0.00902921
0.008909774,0.015789509
-0.010110208,0.0030466318
-0.023911053,-0.0041716695
-0.009776996,-0.02249676
-0.0055475873,-0.008486092
0.004341647,-0.0049489737
0.020434855,0.0028146505
-0.013248681,0.016034842
0.0069156005,-0.010456204
0.0012440537,0.005342245
-0.013529511,0.0011333227
0.012542256,-0.011005759
0.00048671156,0.010496855
-0.004532415,-0.0022140145
0.007267162,-0.00032818317
-0.007642256,0.0040256977
0.02086174,-0.010210216
0.0014347386,0.021273255
0.0075940588,-0.0033589005
0.009523935,0.0055627823
0.011309417,0.007978559
0.0057440787,0.006386161
-0.016488973,0.0032945871
-0.014032894,-0.011420667
-0.005579644,-0.018103063
0.0060152207,-0.00758034
0.011391673,0.010014653
0.006889384,0.007612467
9.811014e-05,0.0031044483
0.011020393,0.00029289722
0.0051723407,0.0060920715
-0.0057539605,0.0008444786
0.009418221,-0.0076810718
-0.00039842603,0.010942459
0.0033129514,0.00020301342
0.0020293081,-0.0011445284
-0.0019319217,-0.003756702
0.008399659,-0.0010313988
-0.0066253073,0.007838964
-0.009741002,-0.00608021
0.006502059,-0.0073384643
0.009705872,0.0050264597
-0.0041139843,0.011121035
0.0045475606,-0.0045745373
-0.011989011,0.0011376143
-0.002710829,-0.012634754
-0.02549363,0.0038532019
-0.0012698728,-0.020608008
0.0035656535,-0.002550602
-0.008384627,0.0032930374
0.0045450735,-0.01016438
-0.009973919,0.0021990538
0.001021942,-0.007065892
0.009478428,0.00015735626
0.01716746,0.010462642
0.0015424478,0.011738062
-0.019069554,0.00121212
0.002375757,-0.017198801
-0.01918283,-0.0017671585
-0.020447798,-0.016572118
-0.009983186,-0.010702848
0.013569796,-0.0028361082
-0.018937167,0.0105679035
0.008828433,-0.008733511
-0.01465315,0.011670113
0.016351162,-0.011925936
0.017370546,0.012008071
-0.016957635,0.0098006725
0.00086708955,-0.016292393
0.0003564338,0.0023459196
0.0077836458,0.0041202307
-8.6068125e-05,0.0060349703
0.011630416,-0.0011664629
0.0048399954,0.009981751
0.014638137,0.0043227673
0.009687585,0.012633324
-0.010186188,0.009827495
-0.004818379,-0.005915582
-0.002874753,0.0024051666
0.0051956447,7.677078e-05
0.0051229647,0.0030231476
-0.001136462,0.0029258728
0.012247752,-0.0011366606
-0.00048802458,0.011388779
0.0036612528,-0.0042087436
-0.0017838816,0.0029720068
-0.0004023561,-0.000310421
-0.005472223,-0.002343297
-0.0004177135,-0.003256619
0.00343521,0.00066125393
-0.012302722,0.001965046
-0.0086914925,-0.010171711
0.018104436,-0.0068282485
0.0089489,0.015743494
-0.0054944367,0.008041143
-0.017687138,-0.0013625622
-0.007412819,-0.010782659
-0.015583521,-0.008024275
0.021683339,-0.008574188
-0.0019514585,0.01650095
-0.002064441,-0.0016537309
-0.0034231578,-0.001691997
-0.005151595,-0.000908196
-0.0009826777,-0.0066152215
0.0020531053,-0.0002669096
-0.011127385,0.0014408827
0.019355264,-0.010089219
0.0049943295,0.012378097
-0.003848962,0.0034451485
-0.002981579,-0.0032586455
-0.0024896055,-0.0041897893
-0.007841175,-0.0069417357
-0.00060386345,-0.007732153
0.015220848,-0.0010753274
-0.00021613036,0.010031819
-0.0060436353,-0.0015277863
0.005049869,-0.0040708184
0.023967803,0.0046584606
-0.008229368,0.021208644
0.006768398,-0.005920768
0.014027091,0.0003105402
0.0038754998,0.0027325153
0.0009841737,0.005007863
0.007962263,0.0012760162
0.0060001872,0.005595207
-0.006980681,0.0042797327
0.009885407,-0.0068044066
-0.0055557373,0.01261735
-0.012728914,-0.00316602
-0.004114695,-0.007150352
-0.005672076,-0.0030055642
-0.0077822553,-0.00014162064
0.004237547,-0.006459594
0.009206401,-0.0003771186
0.0015367172,0.006288886
0.011521071,-0.002183497
0.0065245056,0.007968664
0.002027683,0.008357525
-0.0062170853,0.0003157854
-0.014548701,-0.0037720203
0.0006031471,-0.010685146
0.004562325,-0.0055238605
0.010888213,0.006210804
0.004843272,0.009339452
0.00077723176,0.0025103092
-0.0033112993,0.0013890266
-0.0006185679,0.0033112764
0.0135490885,0.0022115707
0.007916777,0.010599256
0.005566112,0.0031266212
-0.0018699536,0.0046766996
0.008529234,7.1287155e-05
0.00017322456,0.0052102804
0.005396362,0.00075769424
-0.010134921,0.0023152828
0.0050230506,-0.006683588
0.009742414,0.005004406
0.0066467435,0.002826929
-0.012414844,0.0020008087
-0.0034880964,-0.009771347
-0.010515701,-0.001888454
0.006177008,-0.0042670965
-0.005452434,0.011621237
-0.005191355,-0.0044721365
0.0006530964,-0.005412221
0.004961683,0.0015029907
0.00014433532,0.002992034
-0.015164626,0.00074350834
-0.0061715078,-0.010231197
-0.0055847173,-0.0051693916
0.0005754076,-0.008367717
-0.0014777028,0.0007493496
-0.0039003293,-0.0010715127
0.0068017435,-0.0050738454
-0.012521941,0.005370617
0.007305513,-0.010836244
0.009802115,0.0072574615
0.013691306,0.0062037706
0.003765224,0.008469105
-0.002854659,0.0010778904
0.0063849683,-0.004824519
-0.0052386676,0.0033351183
-0.008879964,-0.0056186914
-0.0048849457,-0.0057380795
0.0018696534,0.001670599
-8.6765067e-07,0.0021988153
0.003083187,0.002519846
-0.0018680969,-0.00051152706
0.0138234105,-0.0020336509
-0.006033855,0.0095899105
-0.00036403717,-0.008275449
-0.0019236393,0.00017511845
-0.006883858,-0.0030779243
-0.013308767,-0.0022264123
-0.001763483,-0.010756314
0.0047416035,-0.0031282902
-0.014790392,0.0012671947
-0.0013716811,-0.0114094615
0.002873988,-0.0020408034
-0.004130809,0.0034595728
-0.004942194,-0.0047180653
-0.01421283,-0.002212882
-0.00097644987,-0.012890518
0.0018657976,0.0038534403
0.008721054,-0.00030124187
0.009156678,0.00869596
0.005425988,0.0058989525
-0.002596884,0.004006982
-0.007654778,0.001943469
-0.0028762282,-0.0051392317
0.010403258,0.0011640787
-0.00032202384,0.009333134
-0.015232093,0.00038576126
-0.006892536,-0.0097821355
-0.010493062,-0.0074530244
-0.0049651633,-0.00858587
0.0072452244,-0.0057617426
-0.0112206945,0.0062232018
-0.0036463325,-0.0031818151
-0.016041394,-0.007616818
0.02016985,-0.011185586
0.0017455694,0.015774488
0.008534348,0.0037629604
0.02234882,0.0067076683
0.010847497,0.016964912
-0.003024754,0.0065675974
-5.892342e-05,0.0010139942
-0.0012147173,0.0016641617
-0.005285683,-0.0011809468
0.0142593365,-0.006458938
0.0026006051,0.011541367
0.020364234,0.0015975237
0.0045680488,0.014264941
-0.0020734563,0.0046948195
0.0071990066,-0.0013072491
0.0056014694,5.185604e-05
-0.003937005,0.005830407
0.004838609,-0.0017851591
0.0017836747,0.0052651167
-0.0019534016,0.0033203363
0.0037112941,-0.0016015768
0.0041035875,0.0023635626
0.010887849,0.00037956238
0.0134781115,0.014689922
-0.001998032,0.008194804
-0.00322269,-0.0011327863
-0.000938933,-0.0022064447
0.0040484187,-0.0019413233
0.007748649,0.0017459393
0.0016412818,0.0036129951
0.002633155,0.0043329
0.016117863,0.0047523975
0.026327487,0.014005661
-3.515206e-05,0.004262924
-0.0023756612,0.0015251637
0.0094254315,2.3007393e-05
-0.012171222,0.006752372
0.006278998,-0.012671649
-0.0019296496,0.00869298
0.0045935214,-0.0004914403
0.002315677,0.0042625666
-7.463361e-05,0.0029615164
-0.0017543862,0.0014228821
-0.004049433,-0.0005452633
-0.010399354,0.0006766319
-0.00029494686,-0.0075526237
0.004625131,0.00027108192
0.0029584267,0.00068831444
-0.008623502,0.00578928
0.0022616424,-0.004188955
-0.0036865447,0.00454545
-0.0022640356,0.00040555
-0.008318068,-0.0031300783
-0.0062569017,-0.00616765
0.007067584,-0.0025280118
0.011356381,0.0054186583
0.006190568,0.01054728
0.0023873341,0.003644824
-0.0009242488,-0.0025356412
0.010648343,-0.002613306
0.0042335796,0.0064206123
0.002905759,0.0015847683
0.0035754484,0.0058783293
-0.008960369,0.0034919977
0.0062831626,-0.008240938
0.0073724897,0.009686351
-0.0037384653,0.0034937859
0.004012689,-0.007096231
0.0048381514,0.0036799908
-0.00056557066,0.004049659
-0.002626199,0.0012661219
0.00687482,-0.001410842
-0.018235102,0.003250122
0.002168155,-0.013522267
0.013644257,0.0039589405
-0.0028220483,0.0090789795
-0.004647423,-0.003743112
0.004519763,-0.0016616583
0.008768719,0.0012559891
-0.00058778835,0.011832237
-0.0027399524,0.0015977621
0.00095293747,-0.0015920997
0.0028864716,-0.0024781823
-0.000417296,-0.00060015917
0.0008096632,0.0012162924
-0.0041624526,0.0023332834
-0.009472339,-0.002495706
-0.00010923781,-0.010378003
0.004536347,0.0019659996
-0.0015507617,0.003370285
0.00017571144,-0.0017699599
0.0022384827,0.0012129545
0.0036701842,0.006082773
-0.0030211464,0.0009698868
-0.0016006557,-0.0035258532
0.0013296541,-0.0049064755
0.009368553,0.001954317
0.011655739,0.008257985
0.00835736,0.01026237
-0.008129126,0.006814122
-0.0023857998,-0.007678807
-0.0022114848,-0.0041102767
0.016549915,-0.00079649687
0.0021042689,0.01216197
-0.007582658,0.0011894703
-0.007483441,-0.0060420632
0.005425725,-0.010023892
-0.0121077215,-0.0011002421
0.006652838,-0.0135496855
-0.0009580956,0.007955551
-0.0011080448,-0.0002888441
-0.013001511,-0.00023472309
0.0021318928,-0.010856986
-0.011186137,-6.330013e-05
-0.00090191246,-0.012372613
-0.0039847186,-0.0065326095
0.0021882048,0.0016922951
0.0011771615,-0.0012079477
0.006590318,0.00058460236
0.0062939366,0.0055861473
0.010478792,0.006675601
-0.0011039368,0.0068962574
-0.011280379,-0.0011107922
0.0066457167,-0.009753287
0.01061067,0.0040397644
-0.01953003,0.0038292408
-0.0032576441,-0.0148534775
0.011942611,0.002310276
0.0124823805,0.008505106
0.0070894416,0.011772752
0.0019456302,0.004565954
0.0039356262,0.00082337856
0.012962552,0.0044267178
0.0020795437,0.008484483
0.0002109604,0.0031756163
0.0042103142,-0.0020582676
0.007090483,0.0032105446
-0.0024827975,0.008844972
0.005405886,-0.000967741
-0.0017065749,0.003366232
0.0017549256,-0.0049200654
-0.0083294455,0.0016634464
-0.016178304,-0.0050647855
0.004161206,-0.015269995
-0.0015041893,0.00011074543
-0.010559805,-0.005547285
0.0006948357,-0.010586619
0.014685315,-0.0085859895
-0.0052601527,0.015083075
0.0028597247,-0.002980113
0.0039936914,0.0036363602
-0.0011903167,0.0024808645
-0.0021128072,0.002031684
-0.0012092621,-0.0022420287
0.00092266017,0.0017796755
0.00264262,-0.0031032562
-0.002580737,-0.0009087324
-0.003271386,-0.0016818643
0.007095458,-0.0014992356
0.00348876,0.004896283
0.004562266,0.0014636517
-0.0049234615,0.007722497
0.011841929,0.0003978014
-0.008346867,0.006663561
0.0015081094,-0.0075879693
-0.0018114728,0.00039994717
0.0039465083,0.0009266138
0.0077529214,-0.0011541247
0.0029356906,0.0012950897
0.0007360691,0.004144311
0.00018476031,-0.00060641766
0.0017872519,0.0017266273
0.00038445677,-0.0007893443
0.012225022,-0.0013424754
0.00048309268,0.010928154
0.0064022355,0.00081539154
0.01123839,0.006217003
0.021060549,0.005270362
0.0016152294,0.018471241
-0.013844765,0.0059480667
-0.009344872,-0.012938917
-0.003151521,-0.009282887
0.0010649895,0.003174901
-0.013556391,-0.0014190674
0.0070192106,-0.01249361
0.011187152,0.002037406
-0.0050771525,0.01638329
0.009778857,-0.0012173057
0.009154979,0.0050172806
-0.022752304,0.0024411678
-0.024725888,-0.01211524
-0.026771845,-0.0151360035
0.009032605,-0.026020706
-0.0018361186,0.007606387
0.020274479,-0.006005764
0.0055484665,0.017620683
-0.004172164,0.001294136
0.010990346,-0.0035578609
0.006647377,0.010382652
0.012011006,0.0061044693
0.0057794605,0.013863802
0.003089272,0.0023840666
-0.0054481067,0.0058231354
-0.00025091218,-0.0015053153
-0.0026492844,0.001359582
0.015031362,-0.0043459535
0.0026405198,0.011355042
-0.00013902453,0.0015892982
-0.005427213,0.00024199486
0.007875314,-0.0038564205
0.004477754,0.005928993
-0.0241864,0.005516529
-0.0044468306,-0.015065014
-0.0048864386,0.0009292364
-0.013787285,-0.0053500533
0.01545719,-0.010068297
-0.00954307,0.012000918
0.007962014,-0.002268672
0.0061483746,0.0030623674
0.0070502684,0.0057525635
0.0029128655,0.0072271824
0.0019201953,0.005515218
0.000798949,-0.00038194656
0.022892436,-0.002477467
-0.0013940285,0.01257956
0.001695348,0.0009082556
0.007872178,0.0014570951
-0.008953119,0.001983881
0.0072149574,-0.006952882
0.0059931125,0.0062116385
0.002107501,0.003269434
-0.0033739635,0.00040531158
0.0023191809,-0.0040911436
-0.005764132,0.0009381771
0.0096334,-0.0043826103
-0.005007685,0.008120656
-9.4601244e-05,-0.009409368
0.011418045,0.0030064583
-0.0026196137,0.010257244
0.010155735,-0.0013614893
0.0043699504,0.009651303
-0.0056543006,0.0046976805
0.009190997,-0.0075419545
0.0020045063,0.007891297
-0.00042523257,0.0037455559
-0.0056693535,0.00085246563
-0.004539142,-0.007956147
-0.0051324964,-0.00015634298
-0.0046344735,-0.009550214
-0.00635696,-0.003306806
0.006537615,-0.0061348677
-0.003395577,0.006486416
-0.0055146227,-0.00364542
-0.006319729,-0.0021668077
0.006332757,-0.0089716315
-0.0060085556,0.0069134235
0.0112183215,-0.00612545
0.04499923,0.010223269
-0.0027944106,0.03571725
0.0016285242,-1.347065e-05
0.007390753,0.0059375763
-0.0071819876,0.0069140196
0.0013963527,-0.008627713
-0.002257714,0.0010751486
-0.0006483364,-0.004716575
0.0028905994,-0.0069912076
-0.004764131,-0.0012748837
0.004227385,-0.0027808547
0.011204985,0.0032246113
0.013699883,0.010640383
0.0104461005,0.009714127
0.004851484,0.009934425
-0.0022748527,0.002765894
0.0053965785,-0.0030817986
-0.002428537,0.0042169094
-0.00018607719,-0.0028645396
-6.6065026e-05,-0.0017075539
-0.0058263447,0.0069009066
-0.0034057114,-0.005516708
0.0005548336,-0.0027518868
-0.0015026872,-0.005389273
-0.00080473366,-0.0034705997
-0.0053694197,-0.0022435188
-0.0009812786,-0.005310178
-0.0039152293,-0.0019598007
-0.0076248534,-0.002523005
-0.026923418,-0.0061206818
-0.0005803631,-0.025846481
0.014123195,0.0003631115
0.002028455,0.011761904
0.009907243,0.0015566349
0.0015209916,0.009091377
-0.0066794925,0.0006644726
-0.009239835,-0.007699549
0.00027373864,-0.009733856
-0.003922832,-0.000693202
0.006281394,-0.00357157
-0.00080518244,0.008017063
-0.00336998,-0.000598371
0.0014213076,-0.004172623
-0.015669657,0.0025122166
0.00784079,-0.016342103
0.0068276897,0.008552313
0.021450294,0.005228758
-0.0013976134,0.016540408
0.010507728,-0.0015830398
0.007834615,0.007756114
-0.002007902,0.012370825
0.009500253,0.002973795
-0.0034086513,0.009247541
0.006059188,-0.0031598806
0.003552494,0.0065128803
-0.0015809055,0.0030589104
0.0037013595,-0.0030508637
-0.011167984,0.0037708282
-0.008634088,-0.0075190067
0.007185163,-0.002755642
0.0044465265,0.003019452
-0.000824219,0.0071200132
-0.00965938,-0.0028001666
0.0019280183,-0.009927452
0.0042465767,0.0037697554
-0.0030168623,0.0027712584
0.006994658,-0.0050475597
0.0043167863,0.007727742
0.0045384914,-0.0036981702
0.0010523604,0.00023031235
-0.010312619,0.0015990734
-0.018637527,-0.010104537
0.0022638736,-0.016946256
-0.0009671999,0.00076425076
-0.0067665,0.0036802292
-0.005550335,-0.004310727
0.014575497,-0.004457891
-0.019582605,0.013908863
-0.021216577,-0.014818847
0.010441067,-0.0155181885
-0.0077641723,0.01142025
0.00802285,-0.009940624
-0.0253457,0.005228877
-0.015480539,-0.020793736
-0.0014378818,-0.011410415
-0.012771767,-0.0019923449
0.019439174,-0.012995124
0.008819968,0.016529322
-0.0025288593,0.008518934
0.013057779,-0.006221533
0.0007116437,0.009218574
0.0042034895,-0.0002694726
0.014625995,0.0007635355
0.004961769,0.014242291
-0.0052963463,9.8109245e-05
-0.0053127734,-0.0031161904
-0.019749679,-0.0036530495
0.008374696,-0.016922116
0.0032139414,0.010048628
0.0077172676,-0.0002809763
-0.06580566,0.0056051016
-0.062496055,-0.039772093
-0.015511057,-0.055025756
-0.015418702,-0.009115458
0.09873362,-0.008428991
-0.036798112,0.078704
0.015453279,-0.024989605
0.011754411,0.015635133
-0.0026054215,0.007760644
-0.016015453,-0.0038452744
0.0025277296,-0.017329395
-0.02416531,-0.013288856
0.026178692,-0.024827898
0.01460873,0.026632428
0.018197987,0.010707378
-0.002531741,0.012291551
0.0052761356,0.0005013943
0.0051578972,0.0028442144
0.0009888333,0.007458329
0.002789387,0.0034973621
0.01232653,0.002055645
-0.008395524,0.013851047
-0.0071579814,-0.0023864508
0.0022252472,-0.009457529
0.01141712,0.0069795847
0.0015203924,0.0061895847
0.035565443,-0.0028783083
0.0011644432,0.028139114
-0.0010622949,-0.006358683
0.0012791558,-0.0021207929
0.0071810414,0.0064610243
-0.0006112149,0.00784421
-0.0046823854,0.0032196045
-0.022158053,-0.0026834607
-0.00026612362,-0.019138932
-0.006280362,-3.2305717e-05
0.018995982,-0.0061162114
-0.0059435805,0.017801046
0.0026925046,-0.0057848096
-0.00067253585,0.0027799606
0.0025650929,0.0012872219
0.007185803,0.0008376837
-0.0051412648,0.0050622225
-0.0009693431,-0.0021613836
0.014156043,-0.002545476
0.0008893343,0.010471106
0.004437185,-2.592802e-05
0.0016883712,0.0024579763
-0.0018859984,-2.5689602e-05
-0.014134066,0.0023760796
0.00942183,-0.01791656
-0.0057822363,0.0075193644
0.002958283,-0.0070396066
0.005922575,-0.0010455847
0.0076238005,0.0008337498
0.00896331,0.008883953
-0.0007501704,0.0119121075
0.012700144,-0.002473712
0.011695247,0.009408712
0.0100378385,0.00996685
0.01025843,0.006287217
0.007226135,0.009075284
0.006024577,-0.00023639202
-0.0116433175,0.007735491
0.00047282752,-0.009417474
0.0032729465,-0.0037291646
0.0072758803,0.004917145
-0.0048462367,0.0043263435
-0.0007534693,-0.0062513947
-0.011063721,0.0019863844
0.0044187107,-0.009814739
0.0024219633,0.005258441
-0.003752912,0.005190611
0.0019348634,-0.0031988025
0.0046992837,-0.0004312396
0.015096581,0.004046917
-0.006920155,0.011411667
0.0053034336,-0.0070290565
0.000784762,0.004654169
-0.0072816596,-0.0014334321
-0.005127342,-0.004562497
-0.010288843,-0.0038470626
-0.014788484,-0.007428944
0.010697329,-0.012290716
0.0018090338,0.01342237
