sf_a2c_return,benchmark_return
0.0010435679,-0.0026112199
0.00011570197,0.002342105
-0.004964594,0.00088620186
0.018623946,-0.0017704368
0.00056426786,0.016326785
0.013022676,0.00081539154
0.0067542824,0.012730122
0.007175897,0.0044841766
-0.0026486649,0.0070643425
0.0022239124,-0.005027294
-0.008433738,0.0005508661
-0.02067831,-0.008597314
-0.008320855,-0.019080102
0.0040161293,-0.004658282
0.0035121075,0.0018122196
-0.029763384,0.009783387
-0.008590835,-0.030289173
-0.006044366,-0.005712211
-0.008365281,-0.00959909
0.005532671,-0.008821368
-0.009238164,0.004633069
-0.007229602,-0.010676503
0.015523948,-0.005528331
0.00864109,0.01399827
0.012486036,0.0061187744
0.009623437,0.011870861
-0.03615268,0.007142067
0.003379531,-0.03941679
-0.008607058,0.00096833706
-0.0028954218,-0.005565107
0.0076520555,-0.004502356
-0.011450165,0.00639987
-0.015045008,-0.010104835
-0.007326696,-0.017014503
-0.015309539,-0.0035482645
-0.011065527,-0.01616764
-0.007587799,-0.011138737
0.016464213,-0.0042999387
-0.014757008,0.01883471
-0.01665121,-0.015433729
0.0236245,-0.017111719
0.029764142,0.026644588
-0.0030033381,0.027989268
-0.014863172,-0.0014002919
-0.020260748,-0.011459708
-0.007873093,-0.021056294
-0.0033827364,-0.0032054186
-0.0005471726,0.0012433529
0.028593548,-0.0009692311
-0.017871354,0.028341174
0.0208187,-0.013445675
0.018124893,0.018592715
-0.0048444625,0.011196613
0.003904179,-0.0032758117
0.017640656,-0.0029654503
0.0124363415,0.024691105
0.015077623,0.013417721
0.0017760743,0.010702372
0.00509617,7.43866e-05
0.023388416,0.006098509
-0.0035106111,0.025864363
-0.0030469128,-0.003921032
-0.019181965,-0.0024363995
-0.0115915565,-0.015479028
0.007933283,-0.004557371
0.014590275,0.012561083
0.009203666,0.013078332
-0.01956885,0.010169268
0.04247119,-0.019507587
0.0033573469,0.036951303
-0.0034617453,0.0009635687
0.0020538939,-0.0062569976
-0.0016765376,0.0016764402
-0.006189817,-0.0011637211
0.005561377,-0.00022375584
0.001899004,0.005943179
0.01197223,-0.0013456345
0.003409511,0.0118047
0.0048844465,0.0028141737
-0.0113677345,0.004473686
-0.0016668466,-0.014486551
0.02458346,9.071827e-05
-0.009674494,0.021777987
-0.002060403,-0.005630493
-0.019718898,0.0010137558
-0.0065370505,-0.014022052
-0.0027180787,-0.010332584
0.0033487282,4.708767e-05
-0.0032843116,0.0054633617
0.015747221,-0.00902921
0.0047223354,0.015789509
-0.006245621,0.0030466318
-0.025336733,-0.0041716695
-0.014264841,-0.02249676
-0.006109154,-0.008486092
0.002986307,-0.0049489737
0.010143123,0.0028146505
-0.00809809,0.016034842
0.00594012,-0.010456204
0.00032481493,0.005342245
-0.012094794,0.0011333227
0.012731691,-0.011005759
-0.0033966096,0.010496855
0.0030881793,-0.0022140145
0.010021401,-0.00032818317
-0.014265795,0.0040256977
0.019721083,-0.010210216
0.0041972725,0.021273255
0.0051522544,-0.0033589005
0.0050995965,0.0055627823
0.006199688,0.007978559
0.0034559942,0.006386161
-0.009197399,0.0032945871
-0.021138096,-0.011420667
-0.0067457347,-0.018103063
0.012210114,-0.00758034
0.009318535,0.010014653
0.0019253179,0.007612467
0.0048272475,0.0031044483
0.0015097944,0.00029289722
0.0095229745,0.0060920715
-0.00027113152,0.0008444786
0.010668957,-0.0076810718
0.0034931898,0.010942459
0.0024441883,0.00020301342
-0.00089071365,-0.0011445284
-0.0025528932,-0.003756702
0.0025768229,-0.0010313988
-0.0044709835,0.007838964
-0.003584017,-0.00608021
0.00076216087,-0.0073384643
0.013152982,0.0050264597
-0.006064302,0.011121035
0.0024519737,-0.0045745373
-0.010454787,0.0011376143
0.0025898027,-0.012634754
-0.020647742,0.0038532019
0.0010714142,-0.020608008
0.0013874649,-0.002550602
-0.006916837,0.0032930374
0.00060476,-0.01016438
-0.0070519894,0.0021990538
-0.002078126,-0.007065892
0.020952355,0.00015735626
0.009851606,0.010462642
0.0005906408,0.011738062
-0.01620683,0.00121212
-0.00038671534,-0.017198801
-0.015676843,-0.0017671585
-0.015460615,-0.016572118
-0.0061794445,-0.010702848
0.014021602,-0.0028361082
-0.005425907,0.0105679035
0.010279998,-0.008733511
-0.0123780025,0.011670113
0.012460834,-0.011925936
0.010484524,0.012008071
-0.012259343,0.0098006725
0.0012545724,-0.016292393
0.0043456596,0.0023459196
0.01269075,0.0041202307
-0.0027636308,0.0060349703
0.009836493,-0.0011664629
0.0010420873,0.009981751
0.014356243,0.0043227673
0.0039510746,0.012633324
-0.003051664,0.009827495
0.00084421283,-0.005915582
-0.003355302,0.0024051666
0.003513326,7.677078e-05
0.0004219537,0.0030231476
-0.0034528936,0.0029258728
0.00982749,-0.0011366606
0.00027412633,0.011388779
0.0034499483,-0.0042087436
0.0009638528,0.0029720068
-0.003230861,-0.000310421
-0.00031822865,-0.002343297
0.0052599437,-0.003256619
-0.0023195036,0.00066125393
-0.00951204,0.001965046
-0.007342582,-0.010171711
0.015535045,-0.0068282485
0.0078272065,0.015743494
-0.0024575884,0.008041143
-0.012279369,-0.0013625622
-0.007997161,-0.010782659
-0.010606203,-0.008024275
0.014495811,-0.008574188
5.6266945e-05,0.01650095
-0.00023275168,-0.0016537309
-0.0018600295,-0.001691997
-0.008086038,-0.000908196
0.0034425016,-0.0066152215
0.002816247,-0.0002669096
-0.006421752,0.0014408827
0.015521076,-0.010089219
0.0031348378,0.012378097
-0.0035058775,0.0034451485
-0.004306071,-0.0032586455
-0.0062439484,-0.0041897893
-0.006934988,-0.0069417357
-0.00025730097,-0.007732153
0.015703844,-0.0010753274
-8.711105e-05,0.010031819
-0.00094022584,-0.0015277863
0.0012897047,-0.0040708184
0.018530726,0.0046584606
-0.0049858275,0.021208644
0.0036287487,-0.005920768
0.0007956652,0.0003105402
0.0060631507,0.0027325153
0.004610984,0.005007863
0.0044622603,0.0012760162
0.0008494362,0.005595207
-0.005328891,0.0042797327
0.008938665,-0.0068044066
-0.0034582785,0.01261735
-0.00372934,-0.00316602
-0.007725802,-0.007150352
-0.001535644,-0.0030055642
-0.009154024,-0.00014162064
0.0010436699,-0.006459594
0.006903702,-0.0003771186
-0.0009888833,0.006288886
0.00792607,-0.002183497
0.0067003607,0.007968664
0.0013002197,0.008357525
-0.00012165418,0.0003157854
-0.014474145,-0.0037720203
-0.005583479,-0.010685146
0.0075254664,-0.0055238605
0.011384475,0.006210804
0.004389363,0.009339452
0.0027392553,0.0025103092
0.0026132835,0.0013890266
-4.1257346e-05,0.0033112764
0.008093737,0.0022115707
0.007596645,0.010599256
0.0072715976,0.0031266212
-0.0016351957,0.0046766996
0.001593228,7.1287155e-05
-0.0027772903,0.0052102804
0.0038997442,0.00075769424
-0.0024057245,0.0023152828
0.0038620636,-0.006683588
0.004389851,0.005004406
-0.0017954039,0.002826929
-0.0077896263,0.0020008087
-0.0013109212,-0.009771347
-0.0060694925,-0.001888454
0.010726882,-0.0042670965
-0.0072036968,0.011621237
-0.00949731,-0.0044721365
0.002911875,-0.005412221
0.0025979183,0.0015029907
-0.0007095258,0.002992034
-0.008748961,0.00074350834
-0.006876194,-0.010231197
-0.0077364924,-0.0051693916
0.0013475226,-0.008367717
-0.0006003715,0.0007493496
-0.0055328496,-0.0010715127
0.0065972353,-0.0050738454
-0.0071391384,0.005370617
0.007547918,-0.010836244
0.005898115,0.0072574615
0.0050067706,0.0062037706
0.002766733,0.008469105
-0.0019627644,0.0010778904
0.0010473345,-0.004824519
-0.0059098983,0.0033351183
-0.0041726474,-0.0056186914
0.0030158963,-0.0057380795
0.0037048867,0.001670599
0.0032194576,0.0021988153
-0.0023446723,0.002519846
0.0016201324,-0.00051152706
0.010714655,-0.0020336509
-0.008830101,0.0095899105
