sf_sac_return,benchmark_return
-5.9143826e-05,-0.0026112199
0.0024667396,0.002342105
-0.0011288997,0.00088620186
0.021084055,-0.0017704368
0.0038503227,0.016326785
0.013898374,0.00081539154
0.005131925,0.012730122
0.010700097,0.0044841766
-0.007947086,0.0070643425
0.004159314,-0.005027294
-0.012104637,0.0005508661
-0.0211336,-0.008597314
-0.0037874784,-0.019080102
0.0032091711,-0.004658282
0.011872145,0.0018122196
-0.028411586,0.009783387
-0.004661443,-0.030289173
-0.009501102,-0.005712211
-0.008878302,-0.00959909
0.003142759,-0.008821368
-0.009854084,0.004633069
-0.0056441105,-0.010676503
0.017295482,-0.005528331
0.0058436696,0.01399827
0.013737352,0.0061187744
0.0066186273,0.011870861
-0.04336101,0.007142067
0.003373107,-0.03941679
-0.0067374627,0.00096833706
-0.007953691,-0.005565107
0.0077342866,-0.004502356
-0.013413902,0.00639987
-0.019338705,-0.010104835
-0.010336531,-0.017014503
-0.01913084,-0.0035482645
-0.011635778,-0.01616764
-0.006571461,-0.011138737
0.02516568,-0.0042999387
-0.01818011,0.01883471
-0.01936004,-0.015433729
0.027657721,-0.017111719
0.030680807,0.026644588
-0.0050975955,0.027989268
-0.010026457,-0.0014002919
-0.020564392,-0.011459708
-0.0018177822,-0.021056294
0.0016666064,-0.0032054186
-0.0006936771,0.0012433529
0.022143515,-0.0009692311
-0.017579604,0.028341174
0.022749657,-0.013445675
0.013074023,0.018592715
-0.0023618413,0.011196613
-0.0077208234,-0.0032758117
0.021183189,-0.0029654503
0.014226434,0.024691105
0.015491715,0.013417721
-0.004391334,0.010702372
0.0060606697,7.43866e-05
0.017810615,0.006098509
-0.0052985963,0.025864363
-0.003431148,-0.003921032
-0.014265077,-0.0024363995
-0.0056122565,-0.015479028
0.017436244,-0.004557371
0.010542452,0.012561083
0.009836137,0.013078332
-0.024198364,0.010169268
0.045506906,-0.019507587
0.008591208,0.036951303
-0.008502859,0.0009635687
0.003129855,-0.0062569976
-0.0031722824,0.0016764402
-0.0015663292,-0.0011637211
0.006658014,-0.00022375584
0.0068968707,0.005943179
0.008147946,-0.0013456345
0.0035711676,0.0118047
0.0028838436,0.0028141737
-0.013223003,0.004473686
0.0015837065,-0.014486551
0.022149598,9.071827e-05
-0.0016247206,0.021777987
0.0030594547,-0.005630493
-0.014873933,0.0010137558
-0.014030044,-0.014022052
0.00031893217,-0.010332584
0.00664309,4.708767e-05
-0.007263145,0.0054633617
0.016087312,-0.00902921
0.0041156043,0.015789509
