sf_sac_return,benchmark_return
-0.00028410854,0.002342105
0.00029301588,0.00088620186
0.015517087,-0.0017704368
0.0029801205,0.016326785
0.013811951,0.00081539154
0.0046159416,0.012730122
0.008238537,0.0044841766
-0.00429806,0.0070643425
0.001871838,-0.005027294
-0.008780922,0.0005508661
-0.01795932,-0.008597314
-0.0039864667,-0.019080102
0.0015342609,-0.004658282
0.009596007,0.0018122196
-0.028326564,0.009783387
-0.004739384,-0.030289173
-0.009309416,-0.005712211
-0.009412836,-0.00959909
0.00576156,-0.008821368
-0.009678043,0.004633069
-0.0052942224,-0.010676503
0.014113312,-0.005528331
0.0053866995,0.01399827
0.01272627,0.0061187744
0.008004436,0.011870861
-0.03588102,0.007142067
0.002369748,-0.03941679
-0.008023797,0.00096833706
-0.0036154115,-0.005565107
0.0053964616,-0.004502356
-0.0111931125,0.00639987
-0.017545974,-0.010104835
-0.002409803,-0.017014503
-0.016844792,-0.0035482645
-0.009673166,-0.01616764
-0.006027094,-0.011138737
0.017965935,-0.0042999387
-0.013705988,0.01883471
-0.016680844,-0.015433729
0.02735655,-0.017111719
0.026182286,0.026644588
-0.0021373844,0.027989268
-0.011917378,-0.0014002919
-0.021678299,-0.011459708
-0.003072723,-0.021056294
0.0009937243,-0.0032054186
-9.627436e-05,0.0012433529
0.027193252,-0.0009692311
-0.014642691,0.028341174
0.02156011,-0.013445675
0.011750116,0.018592715
-0.0017311214,0.011196613
-0.0019041157,-0.0032758117
0.021283042,-0.0029654503
0.0138207115,0.024691105
0.010085174,0.013417721
0.00199825,0.010702372
0.0022374406,7.43866e-05
0.019545555,0.006098509
-0.004148069,0.025864363
-0.0046308823,-0.003921032
-0.016537692,-0.0024363995
-0.006725291,-0.015479028
0.012294486,-0.004557371
0.009500605,0.012561083
0.00866529,0.013078332
-0.021412415,0.010169268
0.038311727,-0.019507587
0.0033247322,0.036951303
-0.0048689838,0.0009635687
0.0027613055,-0.0062569976
-0.0016444445,0.0016764402
0.0013218914,-0.0011637211
0.006313527,-0.00022375584
0.0013828132,0.005943179
0.011030281,-0.0013456345
0.0031575772,0.0118047
0.0019440515,0.0028141737
-0.011691141,0.004473686
-0.00012484973,-0.014486551
0.0223034,9.071827e-05
-0.004028476,0.021777987
-3.478632e-05,-0.005630493
-0.016436744,0.0010137558
-0.009750515,-0.014022052
0.0010747324,-0.010332584
0.006988651,4.708767e-05
-0.009944231,0.0054633617
0.013891386,-0.00902921
0.0040133316,0.015789509
-0.0043861736,0.0030466318
-0.020331874,-0.0041716695
-0.008958803,-0.02249676
-0.005843142,-0.008486092
0.0041328417,-0.0049489737
0.014526415,0.0028146505
-0.009611371,0.016034842
0.006881942,-0.010456204
0.0008505052,0.005342245
-0.01161053,0.0011333227
0.011534133,-0.011005759
-0.0018301537,0.010496855
0.0016433242,-0.0022140145
