sf_ddpg_return,benchmark_return
-0.0036358875,0.002342105
-0.003687994,0.00088620186
0.020854974,-0.0017704368
0.0008855968,0.016326785
0.014687523,0.00081539154
0.0038605605,0.012730122
0.005287078,0.0044841766
-0.008148348,0.0070643425
0.003707601,-0.005027294
-0.014533094,0.0005508661
-0.02123434,-0.008597314
-0.00036670786,-0.019080102
0.0035140063,-0.004658282
0.013639246,0.0018122196
-0.038390417,0.009783387
-0.0070740986,-0.030289173
-0.010048382,-0.005712211
-0.010150014,-0.00959909
-0.0036266674,-0.008821368
-0.01081869,0.004633069
-0.0074922927,-0.010676503
0.014894415,-0.005528331
0.0069019315,0.01399827
0.018699734,0.0061187744
0.010626995,0.011870861
-0.043707523,0.007142067
0.0012102408,-0.03941679
-0.007409674,0.00096833706
-0.008476831,-0.005565107
0.0073810136,-0.004502356
-0.008681039,0.00639987
-0.016582392,-0.010104835
-0.009840389,-0.017014503
-0.021680675,-0.0035482645
-0.010013536,-0.01616764
-0.0023686534,-0.011138737
0.01982265,-0.0042999387
-0.020960813,0.01883471
-0.016370337,-0.015433729
0.030123595,-0.017111719
0.03434847,0.026644588
-0.0025339369,0.027989268
-0.009971971,-0.0014002919
-0.025152393,-0.011459708
-0.0048129004,-0.021056294
-0.00081911875,-0.0032054186
-0.00085665693,0.0012433529
0.028742304,-0.0009692311
-0.018310547,0.028341174
0.024257412,-0.013445675
0.01565838,0.018592715
-0.001907479,0.011196613
-0.0011174328,-0.0032758117
0.025828801,-0.0029654503
0.010734737,0.024691105
0.015554002,0.013417721
-0.0019816828,0.010702372
0.007041688,7.43866e-05
0.022431264,0.006098509
-0.0063465065,0.025864363
-0.0036778778,-0.003921032
-0.018364001,-0.0024363995
-0.002575692,-0.015479028
0.0151800355,-0.004557371
0.012577402,0.012561083
0.011192771,0.013078332
-0.023017248,0.010169268
0.052973334,-0.019507587
0.007450129,0.036951303
-0.007077683,0.0009635687
0.007419129,-0.0062569976
-0.008765163,0.0016764402
-0.0038581477,-0.0011637211
0.0028482196,-0.00022375584
-0.0051248022,0.005943179
0.014029098,-0.0013456345
0.0055767675,0.0118047
0.001860262,0.0028141737
-0.0151251415,0.004473686
0.0007967996,-0.014486551
0.025932811,9.071827e-05
-0.008642692,0.021777987
-0.000583316,-0.005630493
-0.017061155,0.0010137558
-0.0146999685,-0.014022052
-0.00073026965,-0.010332584
0.0086747715,4.708767e-05
-0.008640766,0.0054633617
0.016866336,-0.00902921
0.0055118306,0.015789509
-0.0072297524,0.0030466318
-0.024758723,-0.0041716695
-0.007873534,-0.02249676
-0.0044314335,-0.008486092
0.002374627,-0.0049489737
0.016600322,0.0028146505
-0.017335325,0.016034842
0.0044735754,-0.010456204
-0.0040067523,0.005342245
-0.011589478,0.0011333227
0.0143815605,-0.011005759
0.00022638439,0.010496855
-0.0004770795,-0.0022140145
0.009514662,-0.00032818317
-0.011323187,0.0040256977
0.02675168,-0.010210216
0.0032446254,0.021273255
0.00740565,-0.0033589005
0.008207302,0.0055627823
0.008890967,0.007978559
0.007127306,0.006386161
-0.00822934,0.0032945871
-0.018729376,-0.011420667
-0.010534252,-0.018103063
0.015105518,-0.00758034
0.01360769,0.010014653
0.00026745748,0.007612467
1.9141338e-05,0.0031044483
0.011891469,0.00029289722
0.009108275,0.0060920715
-0.011489368,0.0008444786
0.01108502,-0.0076810718
0.0045597306,0.010942459
0.00469037,0.00020301342
-0.006935411,-0.0011445284
-0.0028705078,-0.003756702
0.0111540705,-0.0010313988
-0.008014396,0.007838964
-0.0052006147,-0.00608021
0.0007348624,-0.0073384643
0.01154309,0.0050264597
0.00072310906,0.011121035
0.0026041598,-0.0045745373
-0.015689423,0.0011376143
0.00046083,-0.012634754
-0.019273832,0.0038532019
-0.0016383186,-0.020608008
0.011036984,-0.002550602
-0.010901278,0.0032930374
0.003986334,-0.01016438
-0.0051673087,0.0021990538
0.002924285,-0.007065892
0.012360006,0.00015735626
0.015267118,0.010462642
-0.0021124417,0.011738062
-0.01724988,0.00121212
0.0017601752,-0.017198801
-0.019227449,-0.0017671585
-0.012450683,-0.016572118
-0.0027588066,-0.010702848
0.016084356,-0.0028361082
-0.011303503,0.0105679035
0.014476235,-0.008733511
-0.0125801535,0.011670113
0.013082686,-0.011925936
0.013016999,0.012008071
-0.014636301,0.0098006725
0.0030357956,-0.016292393
0.0013620061,0.0023459196
0.006259221,0.0041202307
-0.0004170982,0.0060349703
0.012213171,-0.0011664629
0.0047082403,0.009981751
0.01238125,0.0043227673
0.007713243,0.012633324
-0.007967431,0.009827495
-0.001966982,-0.005915582
-0.001440611,0.0024051666
0.0036217489,7.677078e-05
0.0017855286,0.0030231476
-0.0032895512,0.0029258728
0.013381249,-0.0011366606
0.0014119215,0.011388779
0.0033818532,-0.0042087436
0.001865303,0.0029720068
0.00040721655,-0.000310421
-0.0052173357,-0.002343297
0.002783878,-0.003256619
0.0010239824,0.00066125393
-0.01377687,0.001965046
-0.0061326786,-0.010171711
0.015792804,-0.0068282485
0.0056197844,0.015743494
-0.00082536903,0.008041143
-0.014672597,-0.0013625622
-0.008645067,-0.010782659
-0.008071426,-0.008024275
0.020408021,-0.008574188
-0.0007583033,0.01650095
-0.0013123095,-0.0016537309
0.00048149168,-0.001691997
-0.0026007204,-0.000908196
-0.0028933126,-0.0066152215
0.0050668167,-0.0002669096
-0.008298943,0.0014408827
0.016891405,-0.010089219
0.008244355,0.012378097
-0.0045919404,0.0034451485
-0.0027085268,-0.0032586455
-0.008045768,-0.0041897893
-0.007317369,-0.0069417357
0.012743668,-0.007732153
0.013329441,-0.0010753274
0.001845834,0.010031819
-0.0070745256,-0.0015277863
0.008046392,-0.0040708184
0.023582358,0.0046584606
-0.0074935923,0.021208644
0.0021252786,-0.005920768
0.0015438013,0.0003105402
0.007643504,0.0027325153
0.0017762386,0.005007863
0.006791031,0.0012760162
0.0066599473,0.005595207
-0.0031685068,0.0042797327
0.0106510045,-0.0068044066
-0.0026563199,0.01261735
-0.006390184,-0.00316602
-0.003748427,-0.007150352
-0.00011541743,-0.0030055642
-0.0063799177,-0.00014162064
-0.0039610937,-0.006459594
0.00590062,-0.0003771186
0.0007810442,0.006288886
0.00744661,-0.002183497
0.011334778,0.007968664
0.0036414282,0.008357525
-0.0039031068,0.0003157854
-0.0114483675,-0.0037720203
-0.0022392753,-0.010685146
0.005512194,-0.0055238605
0.012612667,0.006210804
0.0060439906,0.009339452
0.0065631424,0.0025103092
-3.6150876e-05,0.0013890266
0.0044835233,0.0033112764
0.0074293935,0.0022115707
0.0041244035,0.010599256
0.00048373337,0.0031266212
-0.0028011282,0.0046766996
0.0051554465,7.1287155e-05
