sf_ddpg_return,benchmark_return
0.0021417765,-0.0026112199
0.0012663289,0.002342105
-0.0031504293,0.00088620186
0.016508248,-0.0017704368
0.0018740755,0.016326785
0.014053739,0.00081539154
0.005147244,0.012730122
0.008811869,0.0044841766
-0.0058328225,0.0070643425
-0.0013605469,-0.005027294
-0.008527384,0.0005508661
-0.01948347,-0.008597314
-0.005194925,-0.019080102
0.0022474614,-0.004658282
0.009077552,0.0018122196
-0.03252256,0.009783387
-0.0072306646,-0.030289173
-0.008411251,-0.005712211
-0.009995205,-0.00959909
0.007125814,-0.008821368
-0.011247333,0.004633069
-0.0060424125,-0.010676503
0.016011491,-0.005528331
0.0046883225,0.01399827
0.015360378,0.0061187744
0.008972966,0.011870861
-0.038210016,0.007142067
0.0017746176,-0.03941679
-0.008135186,0.00096833706
-0.004087798,-0.005565107
0.007216357,-0.004502356
-0.012023389,0.00639987
-0.019250555,-0.010104835
-0.001874916,-0.017014503
-0.013492048,-0.0035482645
-0.00854524,-0.01616764
-0.0042936234,-0.011138737
0.017372632,-0.0042999387
-0.015602063,0.01883471
-0.020879513,-0.015433729
0.02532533,-0.017111719
0.02651906,0.026644588
-0.0014273894,0.027989268
-0.012743847,-0.0014002919
-0.021425724,-0.011459708
-0.002234471,-0.021056294
0.0013747741,-0.0032054186
-0.0003566118,0.0012433529
0.024306571,-0.0009692311
-0.014653058,0.028341174
0.02166579,-0.013445675
0.012626949,0.018592715
-0.0054303203,0.011196613
-0.00513469,-0.0032758117
0.021937035,-0.0029654503
0.012960223,0.024691105
0.012775251,0.013417721
0.004458509,0.010702372
0.0020436358,7.43866e-05
0.022118885,0.006098509
-0.0053669354,0.025864363
-0.0055810693,-0.003921032
-0.020324284,-0.0024363995
-0.009749421,-0.015479028
0.011535428,-0.004557371
0.008645372,0.012561083
0.008764958,0.013078332
-0.023420652,0.010169268
0.04445055,-0.019507587
0.004714325,0.036951303
-0.0049161664,0.0009635687
0.0045679896,-0.0062569976
-0.0033067411,0.0016764402
-0.0018590526,-0.0011637211
0.0060040895,-0.00022375584
0.001491237,0.005943179
0.011213481,-0.0013456345
0.003822134,0.0118047
0.0022901238,0.0028141737
-0.011301197,0.004473686
-0.0009910949,-0.014486551
0.023245545,9.071827e-05
-0.005704468,0.021777987
0.00076755724,-0.005630493
-0.017977184,0.0010137558
-0.010102099,-0.014022052
0.0014574013,-0.010332584
0.005862625,4.708767e-05
-0.008112109,0.0054633617
0.014611384,-0.00902921
0.0031576443,0.015789509
-0.004360594,0.0030466318
-0.021602469,-0.0041716695
-0.008366951,-0.02249676
-0.007260044,-0.008486092
0.0020621333,-0.0049489737
0.019271336,0.0028146505
-0.008117015,0.016034842
0.004767702,-0.010456204
0.0013769467,0.005342245
-0.013066701,0.0011333227
0.013590078,-0.011005759
-0.002313682,0.010496855
0.0030238628,-0.0022140145
0.009912074,-0.00032818317
-0.008609417,0.0040256977
0.023692006,-0.010210216
-0.0036013005,0.021273255
0.006863395,-0.0033589005
0.006931302,0.0055627823
0.005192981,0.007978559
0.0052139107,0.006386161
-0.010736979,0.0032945871
-0.018691221,-0.011420667
-0.009050117,-0.018103063
0.013901001,-0.00758034
0.0072102803,0.010014653
0.0019123073,0.007612467
0.00080386247,0.0031044483
0.0051137437,0.00029289722
0.0075645423,0.0060920715
-0.008006416,0.0008444786
0.011459163,-0.0076810718
0.0013628607,0.010942459
0.0036106624,0.00020301342
-0.0073714647,-0.0011445284
-0.0029159188,-0.003756702
0.0037175813,-0.0010313988
-0.0069080815,0.007838964
-0.006521716,-0.00608021
0.0020051766,-0.0073384643
0.011449686,0.0050264597
-0.005245569,0.011121035
0.003458134,-0.0045745373
-0.014093069,0.0011376143
0.0067696306,-0.012634754
-0.019781297,0.0038532019
-0.0014453527,-0.020608008
0.0011271434,-0.002550602
-0.008597331,0.0032930374
0.0018717533,-0.01016438
