sac_return,benchmark_return
7.3030824e-06,-0.0026112199
-0.0013601145,0.002342105
-0.003487257,0.00088620186
0.020433858,-0.0017704368
0.0024781644,0.016326785
0.014083298,0.00081539154
0.0055866004,0.012730122
0.0071484284,0.0044841766
-0.0054773754,0.0070643425
0.0044156285,-0.005027294
-0.01096457,0.0005508661
-0.019857751,-0.008597314
-0.003114767,-0.019080102
0.0011453545,-0.004658282
0.011099515,0.0018122196
-0.031682827,0.009783387
-0.006175711,-0.030289173
-0.009479981,-0.005712211
-0.009031474,-0.00959909
0.0033151591,-0.008821368
-0.010630866,0.004633069
-0.005234964,-0.010676503
0.015443613,-0.005528331
0.0059040687,0.01399827
0.0138602555,0.0061187744
0.007891188,0.011870861
-0.042009097,0.007142067
0.0041761943,-0.03941679
-0.009513917,0.00096833706
-0.003134177,-0.005565107
0.007384248,-0.004502356
-0.013010181,0.00639987
-0.017931743,-0.010104835
-0.0060935165,-0.017014503
-0.015137204,-0.0035482645
-0.010098717,-0.01616764
-0.006465025,-0.011138737
0.020044135,-0.0042999387
-0.018091537,0.01883471
-0.022396041,-0.015433729
0.026895238,-0.017111719
0.029522015,0.026644588
-0.0009334045,0.027989268
-0.0106620705,-0.0014002919
-0.023050832,-0.011459708
-0.004970317,-0.021056294
0.00018271443,-0.0032054186
0.00029927056,0.0012433529
0.027310388,-0.0009692311
-0.017002858,0.028341174
0.023488348,-0.013445675
0.010686604,0.018592715
-0.0022045155,0.011196613
-0.0058715516,-0.0032758117
0.026539918,-0.0029654503
0.011650931,0.024691105
0.01527483,0.013417721
-0.0030435994,0.010702372
0.0065318733,7.43866e-05
0.025967125,0.006098509
-0.0063272053,0.025864363
-0.0012145963,-0.003921032
-0.020104172,-0.0024363995
-0.005001345,-0.015479028
0.017922143,-0.004557371
0.009222183,0.012561083
0.007024859,0.013078332
-0.02387721,0.010169268
0.04569345,-0.019507587
0.0075793182,0.036951303
-0.004923439,0.0009635687
0.0032632374,-0.0062569976
-0.0038848433,0.0016764402
0.0006038334,-0.0011637211
0.0048832605,-0.00022375584
0.0039370363,0.005943179
0.011708639,-0.0013456345
0.0050616413,0.0118047
0.0006287079,0.0028141737
-0.01341661,0.004473686
-0.00065725483,-0.014486551
0.026401516,9.071827e-05
-0.0013834178,0.021777987
0.0014440895,-0.005630493
-0.01593453,0.0010137558
-0.013414457,-0.014022052
0.00046787324,-0.010332584
0.010393149,4.708767e-05
-0.008538833,0.0054633617
0.016506929,-0.00902921
0.0059330836,0.015789509
-0.0043365383,0.0030466318
-0.022590742,-0.0041716695
-0.009100829,-0.02249676
-0.0092597315,-0.008486092
0.0033538148,-0.0049489737
0.019663638,0.0028146505
-0.011573261,0.016034842
0.0052920184,-0.010456204
-0.0016352726,0.005342245
-0.011841911,0.0011333227
0.013450444,-0.011005759
-0.0026881695,0.010496855
0.0017069996,-0.0022140145
0.0068783374,-0.00032818317
-0.009486686,0.0040256977
0.023621744,-0.010210216
-0.0021569312,0.021273255
0.0064366735,-0.0033589005
0.007734576,0.0055627823
0.0057715615,0.007978559
0.0060396222,0.006386161
-0.005073159,0.0032945871
-0.018634679,-0.011420667
-0.011403619,-0.018103063
0.0148809645,-0.00758034
0.009680737,0.010014653
0.0037794611,0.007612467
0.0022066,0.0031044483
0.007470236,0.00029289722
0.00072470773,0.0060920715
-0.011504,0.0008444786
0.0080579,-0.0076810718
0.0041290545,0.010942459
0.006535357,0.00020301342
-0.0072872667,-0.0011445284
-0.0025946563,-0.003756702
0.007464088,-0.0010313988
-0.008578524,0.007838964
-0.00853385,-0.00608021
0.001535968,-0.0073384643
0.012250173,0.0050264597
-0.001979537,0.011121035
0.0029297986,-0.0045745373
-0.010757422,0.0011376143
0.0030163468,-0.012634754
-0.02096587,0.0038532019
-0.0024165555,-0.020608008
0.0068832645,-0.002550602
-0.010659085,0.0032930374
0.0034788717,-0.01016438
-0.0053554294,0.0021990538
-0.0016323604,-0.007065892
0.009732798,0.00015735626
0.0131843425,0.010462642
0.0008645031,0.011738062
-0.015475293,0.00121212
0.0009920208,-0.017198801
-0.01776459,-0.0017671585
-0.008479433,-0.016572118
-0.00045942742,-0.010702848
0.012354487,-0.0028361082
-0.0061458317,0.0105679035
0.014114541,-0.008733511
-0.010189341,0.011670113
0.010870175,-0.011925936
0.010116154,0.012008071
-0.017292514,0.0098006725
0.0042138817,-0.016292393
0.0031263598,0.0023459196
0.002944267,0.0041202307
-0.00045561147,0.0060349703
0.012440825,-0.0011664629
0.004912987,0.009981751
0.013639173,0.0043227673
0.0053492463,0.012633324
-0.004896874,0.009827495
-0.0002627832,-0.005915582
-0.00026376438,0.0024051666
0.003671795,7.677078e-05
0.00023387538,0.0030231476
