ddpg_return,benchmark_return
-0.004321072,0.002342105
-0.0067398474,0.00088620186
0.028560067,-0.0017704368
0.009336286,0.016326785
0.019246314,0.00081539154
0.006482867,0.012730122
0.0071621137,0.0044841766
-0.0104416665,0.0070643425
0.001871149,-0.005027294
-0.019002834,0.0005508661
-0.025828185,-0.008597314
0.0008477487,-0.019080102
0.0014740954,-0.004658282
0.01784216,0.0018122196
-0.03888592,0.009783387
-0.0071815182,-0.030289173
-0.009521504,-0.005712211
-0.009637932,-0.00959909
-0.003357012,-0.008821368
-0.010179036,0.004633069
-0.005901634,-0.010676503
0.018170593,-0.005528331
0.0069450606,0.01399827
0.018654533,0.0061187744
0.005641162,0.011870861
-0.049105253,0.007142067
0.001824909,-0.03941679
-0.008055801,0.00096833706
-0.005904807,-0.005565107
0.011427481,-0.004502356
-0.019944629,0.00639987
-0.021583589,-0.010104835
-0.012128524,-0.017014503
-0.017194225,-0.0035482645
-0.011733393,-0.01616764
-0.0023974,-0.011138737
0.025313048,-0.0042999387
-0.018973125,0.01883471
-0.027776299,-0.015433729
0.030198585,-0.017111719
0.0382705,0.026644588
-3.192821e-05,0.027989268
-0.0092644375,-0.0014002919
-0.028966459,-0.011459708
-0.0055724573,-0.021056294
0.0033750995,-0.0032054186
0.0022411286,0.0012433529
0.027518107,-0.0009692311
-0.022280946,0.028341174
0.03001755,-0.013445675
0.01150524,0.018592715
-8.1976286e-05,0.011196613
-0.0072865826,-0.0032758117
0.03373986,-0.0029654503
0.010321876,0.024691105
0.01525842,0.013417721
-0.0006152258,0.010702372
0.009098443,7.43866e-05
0.01895963,0.006098509
-0.0064979927,0.025864363
-0.0027654103,-0.003921032
-0.022519404,-0.0024363995
-0.0011579397,-0.015479028
0.026521815,-0.004557371
0.0047398014,0.012561083
0.009568413,0.013078332
-0.034710135,0.010169268
0.055606216,-0.019507587
0.019616194,0.036951303
-0.0056810183,0.0009635687
0.003913561,-0.0062569976
-0.0102072945,0.0016764402
-0.0057293167,-0.0011637211
0.00032106452,-0.00022375584
0.00435714,0.005943179
0.0125942435,-0.0013456345
0.008449085,0.0118047
-0.0023714437,0.0028141737
-0.01467332,0.004473686
0.0010239746,-0.014486551
0.028094769,9.071827e-05
-0.0011114477,0.021777987
-0.0006339862,-0.005630493
-0.020055432,0.0010137558
-0.016433012,-0.014022052
0.0025308528,-0.010332584
0.015532306,4.708767e-05
-0.010738155,0.0054633617
0.015704023,-0.00902921
0.0060425336,0.015789509
-0.007424526,0.0030466318
-0.027001882,-0.0041716695
-0.0055890814,-0.02249676
-0.014186082,-0.008486092
0.004964987,-0.0049489737
0.027403928,0.0028146505
-0.017415226,0.016034842
0.0054780375,-0.010456204
-0.008829632,0.005342245
-0.012278887,0.0011333227
0.017828876,-0.011005759
-0.002016293,0.010496855
0.0043508667,-0.0022140145
0.009758897,-0.00032818317
-0.009136055,0.0040256977
0.031065024,-0.010210216
0.0026723736,0.021273255
0.012878802,-0.0033589005
0.01111855,0.0055627823
0.010858701,0.007978559
0.0123663945,0.006386161
-0.008066369,0.0032945871
-0.017087726,-0.011420667
-0.014374122,-0.018103063
0.022264425,-0.00758034
0.016707981,0.010014653
0.0061345766,0.007612467
0.001501024,0.0031044483
0.011121452,0.00029289722
0.0045533706,0.0060920715
-0.01626522,0.0008444786
0.0072621508,-0.0076810718
0.004483879,0.010942459
0.011504422,0.00020301342
-0.015678722,-0.0011445284
0.0005623504,-0.003756702
0.010289303,-0.0010313988
-0.009650369,0.007838964
-0.009251229,-0.00608021
-0.004509733,-0.0073384643
0.011237993,0.0050264597
0.0023576403,0.011121035
