sf_td3_return,benchmark_return
0.00020849923,-0.0026112199
0.00097648444,0.002342105
-0.000793056,0.00088620186
0.01518895,-0.0017704368
2.4758052e-05,0.016326785
0.011324995,0.00081539154
0.003013618,0.012730122
0.008840277,0.0044841766
-0.0037655176,0.0070643425
0.006619401,-0.005027294
-0.00862799,0.0005508661
-0.017440675,-0.008597314
-0.0013944183,-0.019080102
0.0016212635,-0.004658282
0.008184953,0.0018122196
-0.027365979,0.009783387
-0.003584011,-0.030289173
-0.0104446355,-0.005712211
-0.0092736,-0.00959909
0.0040651797,-0.008821368
-0.009366523,0.004633069
-0.004036187,-0.010676503
0.012088203,-0.005528331
0.007104361,0.01399827
0.011907767,0.0061187744
0.007197631,0.011870861
-0.03655648,0.007142067
0.004644345,-0.03941679
-0.00809958,0.00096833706
-0.0052932575,-0.005565107
0.004831848,-0.004502356
-0.010284748,0.00639987
-0.016255174,-0.010104835
-0.0016275699,-0.017014503
-0.02036072,-0.0035482645
-0.008034354,-0.01616764
-0.0036856972,-0.011138737
0.018270712,-0.0042999387
-0.016028188,0.01883471
-0.015672674,-0.015433729
0.027519688,-0.017111719
0.029169608,0.026644588
-0.0012092162,0.027989268
-0.009824872,-0.0014002919
-0.020150837,-0.011459708
-0.0022397519,-0.021056294
0.0064903707,-0.0032054186
-0.0016618494,0.0012433529
0.024059841,-0.0009692311
-0.014596765,0.028341174
0.018935708,-0.013445675
0.012301863,0.018592715
0.0039890823,0.011196613
0.001199657,-0.0032758117
0.024618242,-0.0029654503
0.012846993,0.024691105
0.007997961,0.013417721
-0.003914461,0.010702372
0.010294833,7.43866e-05
0.018689547,0.006098509
-0.0032646302,0.025864363
-0.0051801335,-0.003921032
-0.015280683,-0.0024363995
0.0014197882,-0.015479028
0.009108223,-0.004557371
0.01231643,0.012561083
0.010405426,0.013078332
-0.016945673,0.010169268
0.03325733,-0.019507587
-0.0022199752,0.036951303
-0.0034161934,0.0009635687
0.0037610808,-0.0062569976
-0.003029582,0.0016764402
0.0020452642,-0.0011637211
0.0063276947,-0.00022375584
-0.002628716,0.005943179
0.010664598,-0.0013456345
0.0030932452,0.0118047
0.0030297455,0.0028141737
-0.00971218,0.004473686
-1.8141849e-05,-0.014486551
0.020603077,9.071827e-05
-0.008872237,0.021777987
0.0009034497,-0.005630493
-0.01400394,0.0010137558
-0.0104324175,-0.014022052
-0.0011421609,-0.010332584
0.006630022,4.708767e-05
-0.011041855,0.0054633617
0.014781637,-0.00902921
0.0039504617,0.015789509
-0.0025250302,0.0030466318
-0.020794991,-0.0041716695
-0.006779326,-0.02249676
-0.0027667137,-0.008486092
0.0057462123,-0.0049489737
0.014276876,0.0028146505
-0.01213378,0.016034842
0.007325154,-0.010456204
0.002219513,0.005342245
-0.011592835,0.0011333227
0.009180492,-0.011005759
-0.0016659856,0.010496855
0.0025655746,-0.0022140145
0.003829595,-0.00032818317
-0.008487597,0.0040256977
0.025019076,-0.010210216
-0.004751388,0.021273255
0.0052189794,-0.0033589005
0.0047925347,0.0055627823
0.005284156,0.007978559
0.0042265477,0.006386161
-0.008900354,0.0032945871
-0.020194758,-0.011420667
-0.0065030176,-0.018103063
0.010741926,-0.00758034
0.00588408,0.010014653
0.005353749,0.007612467
0.00016537785,0.0031044483
0.0076827947,0.00029289722
-0.0041455557,0.0060920715
-0.0089553045,0.0008444786
0.0072437525,-0.0076810718
-0.0017347862,0.010942459
-0.0021400729,0.00020301342
-0.009900419,-0.0011445284
-0.0009678848,-0.003756702
0.006074901,-0.0010313988
-0.009182182,0.007838964
-0.0049957396,-0.00608021
0.0059288736,-0.0073384643
0.010093437,0.0050264597
-0.0040877126,0.011121035
0.0022176842,-0.0045745373
-0.009770696,0.0011376143
0.006494928,-0.012634754
-0.015264327,0.0038532019
-0.0025012642,-0.020608008
0.0006089719,-0.002550602
-0.0118872775,0.0032930374
0.002717773,-0.01016438
-0.0046074204,0.0021990538
0.0032690747,-0.007065892
0.013843093,0.00015735626
0.009484022,0.010462642
-0.0009789534,0.011738062
-0.013988606,0.00121212
-0.0026599697,-0.017198801
-0.015342078,-0.0017671585
-0.0059907436,-0.016572118
0.0032359674,-0.010702848
0.008820464,-0.0028361082
-0.008438438,0.0105679035
0.013344107,-0.008733511
-0.011783741,0.011670113
0.014530348,-0.011925936
0.007352209,0.012008071
-0.017749803,0.0098006725
-1.1590744e-06,-0.016292393
0.008563667,0.0023459196
0.007206749,0.0041202307
0.0012897445,0.0060349703
0.01060927,-0.0011664629
0.0054283966,0.009981751
0.009877285,0.0043227673
0.010080879,0.012633324
-0.004648235,0.009827495
0.0040858625,-0.005915582
-0.001504728,0.0024051666
0.001979146,7.677078e-05
4.9672726e-05,0.0030231476
-0.0024141315,0.0029258728
0.01061995,-0.0011366606
-0.007662801,0.011388779
0.0021867848,-0.0042087436
-0.00083683885,0.0029720068
0.00049107167,-0.000310421
-0.0053917766,-0.002343297
0.003647334,-0.003256619
0.002784824,0.00066125393
-0.008166202,0.001965046
-0.007942611,-0.010171711
0.01389272,-0.0068282485
0.0022448064,0.015743494
-0.002896793,0.008041143
-0.007759499,-0.0013625622
-0.0087104365,-0.010782659
-0.0044506164,-0.008024275
0.013456411,-0.008574188
-0.0016947575,0.01650095
0.0014845589,-0.0016537309
0.0028698524,-0.001691997
-0.003244154,-0.000908196
0.00052683474,-0.0066152215
0.00241375,-0.0002669096
-0.007468822,0.0014408827
0.010944565,-0.010089219
0.004730923,0.012378097
-0.0004886728,0.0034451485
-0.0070231906,-0.0032586455
