sk_td3_return,benchmark_return
-0.00050801784,0.002342105
-0.005719365,0.00088620186
0.02288853,-0.0017704368
0.000678077,0.016326785
0.013873391,0.00081539154
0.0056340117,0.012730122
0.005677849,0.0044841766
-0.006432232,0.0070643425
0.0027455254,-0.005027294
-0.012203974,0.0005508661
-0.021050062,-0.008597314
-0.0045757126,-0.019080102
0.0007864729,-0.004658282
0.010383489,0.0018122196
-0.036465287,0.009783387
-0.008408773,-0.030289173
-0.0080269575,-0.005712211
-0.00996882,-0.00959909
0.005171954,-0.008821368
-0.01064214,0.004633069
-0.008350206,-0.010676503
0.017304791,-0.005528331
0.0062735006,0.01399827
0.015792593,0.0061187744
0.010938639,0.011870861
-0.04299256,0.007142067
-0.0008711514,-0.03941679
-0.010719286,0.00096833706
-0.0056032366,-0.005565107
0.007009956,-0.004502356
-0.012626711,0.00639987
-0.019175453,-0.010104835
-0.0053155525,-0.017014503
-0.01285866,-0.0035482645
-0.008934736,-0.01616764
-0.0028651669,-0.011138737
0.018420156,-0.0042999387
-0.017062126,0.01883471
-0.015694145,-0.015433729
0.028081387,-0.017111719
0.0317179,0.026644588
-0.0028829942,0.027989268
-0.010816964,-0.0014002919
-0.026162827,-0.011459708
-0.0048912806,-0.021056294
-0.005551918,-0.0032054186
-0.0013758691,0.0012433529
0.027802506,-0.0009692311
-0.017910091,0.028341174
0.025549162,-0.013445675
0.015428126,0.018592715
-0.004570311,0.011196613
-0.006255409,-0.0032758117
0.030408379,-0.0029654503
0.012919844,0.024691105
0.013332688,0.013417721
-0.002793978,0.010702372
0.0030337935,7.43866e-05
0.022731898,0.006098509
-0.0054552136,0.025864363
-0.00570726,-0.003921032
-0.024181174,-0.0024363995
-0.009770449,-0.015479028
0.012164659,-0.004557371
0.011610556,0.012561083
0.005488523,0.013078332
-0.019018326,0.010169268
0.056989197,-0.019507587
0.0058123698,0.036951303
-0.0057585533,0.0009635687
0.005888532,-0.0062569976
-0.00497615,0.0016764402
-0.0017986435,-0.0011637211
0.003873586,-0.00022375584
-0.002415746,0.005943179
0.014601821,-0.0013456345
0.0062873815,0.0118047
0.0013249074,0.0028141737
-0.01326488,0.004473686
-0.0032743707,-0.014486551
0.02769243,9.071827e-05
-0.006304007,0.021777987
0.00016218812,-0.005630493
-0.020392442,0.0010137558
-0.01195875,-0.014022052
-0.0021920279,-0.010332584
0.007413894,4.708767e-05
-0.006341261,0.0054633617
0.016195271,-0.00902921
0.008614362,0.015789509
-0.0071459417,0.0030466318
-0.02484044,-0.0041716695
-0.0080197705,-0.02249676
-0.00688468,-0.008486092
0.0021328134,-0.0049489737
0.015807534,0.0028146505
-0.013076493,0.016034842
0.0044170893,-0.010456204
-0.001557963,0.005342245
-0.011295211,0.0011333227
0.014936673,-0.011005759
-0.0036431353,0.010496855
0.003107763,-0.0022140145
0.0058319545,-0.00032818317
-0.016667556,0.0040256977
0.025686555,-0.010210216
0.0020226322,0.021273255
0.0074607586,-0.0033589005
0.013089064,0.0055627823
0.006053475,0.007978559
0.007537404,0.006386161
-0.013302088,0.0032945871
-0.017245378,-0.011420667
-0.013322023,-0.018103063
0.0151360445,-0.00758034
0.0099980645,0.010014653
0.0029558425,0.007612467
-0.0003484509,0.0031044483
0.0052915523,0.00029289722
0.0059136194,0.0060920715
-0.009571838,0.0008444786
0.013050135,-0.0076810718
0.005330346,0.010942459
0.014343349,0.00020301342
-0.0105612995,-0.0011445284
-0.0029882092,-0.003756702
0.005843893,-0.0010313988
-0.009530138,0.007838964
-0.010110022,-0.00608021
0.00029462046,-0.0073384643
0.013618533,0.0050264597
-0.005516886,0.011121035
0.0047211293,-0.0045745373
-0.010382012,0.0011376143
0.00013278142,-0.012634754
-0.022693101,0.0038532019
-0.0007306617,-0.020608008
0.003524317,-0.002550602
-0.009569171,0.0032930374
0.0039740037,-0.01016438
-0.004617739,0.0021990538
-0.0017883991,-0.007065892
0.013069429,0.00015735626
0.015901994,0.010462642
-0.0011773319,0.011738062
-0.016491616,0.00121212
0.0006337754,-0.017198801
-0.017175414,-0.0017671585
-0.011973866,-0.016572118
-0.0013034993,-0.010702848
0.013806964,-0.0028361082
-0.007921209,0.0105679035
0.016175501,-0.008733511
-0.012630949,0.011670113
0.009513179,-0.011925936
0.011418347,0.012008071
-0.01863282,0.0098006725
0.0013857969,-0.016292393
0.0031054686,0.0023459196
0.0032778718,0.0041202307
