sk_td3_return,benchmark_return
0.00055415655,-0.0026112199
-0.0028487698,0.002342105
-0.004374027,0.00088620186
0.022312805,-0.0017704368
0.0032726212,0.016326785
0.016013904,0.00081539154
0.0049448595,0.012730122
0.0025965315,0.0044841766
-0.0053267954,0.0070643425
0.0018424081,-0.005027294
-0.012341256,0.0005508661
-0.022275468,-0.008597314
-0.0020115825,-0.019080102
0.0031672118,-0.004658282
0.010163723,0.0018122196
-0.034684837,0.009783387
-0.009910195,-0.030289173
-0.008980879,-0.005712211
-0.0099586835,-0.00959909
-0.0013214292,-0.008821368
-0.009798356,0.004633069
-0.0075156824,-0.010676503
0.014288794,-0.005528331
0.0067393067,0.01399827
0.018208645,0.0061187744
0.010549855,0.011870861
-0.04287691,0.007142067
0.0049294815,-0.03941679
-0.010641319,0.00096833706
-0.005305292,-0.005565107
0.007918842,-0.004502356
-0.012535868,0.00639987
-0.017635457,-0.010104835
-0.00667054,-0.017014503
-0.017972216,-0.0035482645
-0.011071538,-0.01616764
-0.0033065754,-0.011138737
0.018660238,-0.0042999387
-0.019281104,0.01883471
-0.023206588,-0.015433729
0.028688692,-0.017111719
0.033494726,0.026644588
-0.000611193,0.027989268
-0.010530029,-0.0014002919
-0.025329132,-0.011459708
-0.0057420386,-0.021056294
-0.002759782,-0.0032054186
-0.0005126872,0.0012433529
0.03156791,-0.0009692311
-0.020386482,0.028341174
0.025269395,-0.013445675
0.012758559,0.018592715
-0.0031670511,0.011196613
-0.0011205183,-0.0032758117
0.02324875,-0.0029654503
0.0105903335,0.024691105
0.01774869,0.013417721
-0.004199598,0.010702372
0.0044148923,7.43866e-05
0.029180635,0.006098509
-0.006456492,0.025864363
-0.0022699158,-0.003921032
-0.022002617,-0.0024363995
-0.008569961,-0.015479028
0.01689212,-0.004557371
0.010704413,0.012561083
0.010052529,0.013078332
-0.026298791,0.010169268
0.051238835,-0.019507587
0.011579336,0.036951303
-0.0030546535,0.0009635687
0.0040277983,-0.0062569976
-0.008042019,0.0016764402
-0.0022817117,-0.0011637211
0.0022749184,-0.00022375584
0.0016856096,0.005943179
0.0138463285,-0.0013456345
0.005295901,0.0118047
-0.00021992686,0.0028141737
-0.01553557,0.004473686
0.00013377305,-0.014486551
0.028620638,9.071827e-05
-0.0051456243,0.021777987
-0.0013603735,-0.005630493
-0.019030955,0.0010137558
-0.01505507,-0.014022052
-0.0007980975,-0.010332584
0.009308689,4.708767e-05
-0.0068336776,0.0054633617
0.016238064,-0.00902921
0.008425474,0.015789509
-0.0074935947,0.0030466318
-0.025721462,-0.0041716695
-0.012103572,-0.02249676
-0.009084568,-0.008486092
0.0030004187,-0.0049489737
0.020158868,0.0028146505
-0.012893719,0.016034842
0.0041591097,-0.010456204
-0.004008456,0.005342245
-0.013187975,0.0011333227
0.016668301,-0.011005759
-0.0012325714,0.010496855
0.0008592656,-0.0022140145
0.0107796,-0.00032818317
-0.009246942,0.0040256977
0.023916341,-0.010210216
0.002872497,0.021273255
0.0081284,-0.0033589005
0.006867538,0.0055627823
0.009938804,0.007978559
0.006200103,0.006386161
-0.005014266,0.0032945871
-0.01740136,-0.011420667
-0.00848456,-0.018103063
0.017779637,-0.00758034
0.014419301,0.010014653
-3.1968275e-06,0.007612467
0.001722616,0.0031044483
0.010568387,0.00029289722
0.006239961,0.0060920715
-0.010812012,0.0008444786
0.008809069,-0.0076810718
0.006444993,0.010942459
0.008868353,0.00020301342
-0.004011626,-0.0011445284
-0.0032257526,-0.003756702
0.011822301,-0.0010313988
-0.0067460295,0.007838964
-0.0060026767,-0.00608021
-0.0013554659,-0.0073384643
0.012801936,0.0050264597
0.0005353351,0.011121035
0.0021085655,-0.0045745373
-0.015404409,0.0011376143
-0.00037197204,-0.012634754
-0.021262748,0.0038532019
-0.0011132187,-0.020608008
0.010839022,-0.002550602
-0.009756112,0.0032930374
0.0035944807,-0.01016438
-0.0072611207,0.0021990538
0.00015407783,-0.007065892
0.01450288,0.00015735626
0.01386232,0.010462642
0.0017715989,0.011738062
-0.01498349,0.00121212
0.0006070608,-0.017198801
-0.01855665,-0.0017671585
-0.01446014,-0.016572118
-0.004534175,-0.010702848
0.017299203,-0.0028361082
-0.0069860136,0.0105679035
0.014843321,-0.008733511
-0.012361244,0.011670113
0.010881509,-0.011925936
0.013970476,0.012008071
-0.015158521,0.0098006725
0.0053138905,-0.016292393
0.0011291562,0.0023459196
0.005085176,0.0041202307
-0.0016013695,0.0060349703
0.013907129,-0.0011664629
0.0043313587,0.009981751
0.013876237,0.0043227673
0.004072174,0.012633324
-0.004768373,0.009827495
-0.0014868198,-0.005915582
-0.0013143071,0.0024051666
0.0041122264,7.677078e-05
-0.00027204712,0.0030231476
-0.0031412467,0.0029258728
0.014440891,-0.0011366606
0.0017675909,0.011388779
0.0037666233,-0.0042087436
0.00091252034,0.0029720068
-0.0004929057,-0.000310421
-0.0073244427,-0.002343297
0.0029670114,-0.003256619
6.4750384e-05,0.00066125393
-0.012859471,0.001965046
-0.0025769384,-0.010171711
0.017633324,-0.0068282485
0.009640825,0.015743494
0.0007849467,0.008041143
-0.013091087,-0.0013625622
-0.007409206,-0.010782659
-0.011191327,-0.008024275
0.020849608,-0.008574188
0.0015613622,0.01650095
-0.004414751,-0.0016537309
-0.0002326585,-0.001691997
-0.010888243,-0.000908196
-0.002800611,-0.0066152215
0.003459996,-0.0002669096
-0.008424095,0.0014408827
0.01364091,-0.010089219
0.009041302,0.012378097
-0.004985831,0.0034451485
-0.004336173,-0.0032586455
-0.0088047525,-0.0041897893
-0.006264111,-0.0069417357
0.0133363465,-0.007732153
0.011241226,-0.0010753274
0.00031451334,0.010031819
-0.005834269,-0.0015277863
0.0042254445,-0.0040708184
0.020924358,0.0046584606
-0.0059646666,0.021208644
0.0022762048,-0.005920768
0.00018102145,0.0003105402
0.005550375,0.0027325153
0.0022102091,0.005007863
0.0065406687,0.0012760162
0.006551674,0.005595207
0.0037616012,0.0042797327
0.010267595,-0.0068044066
