a2c_return,benchmark_return
-0.0044006757,-0.001888454
0.008381862,-0.0042670965
-0.0068774675,0.011621237
-0.009699429,-0.0044721365
0.002502049,-0.005412221
0.003755891,0.0015029907
0.013321437,0.002992034
-0.011100013,0.00074350834
-0.0044339662,-0.010231197
-0.002494867,-0.0051693916
0.0032971022,-0.008367717
0.010158305,0.0007493496
-0.010721969,-0.0010715127
0.0077654296,-0.0050738454
-0.0060365745,0.005370617
0.0020478978,-0.010836244
0.006331996,0.0072574615
0.014173116,0.0062037706
0.002491565,0.008469105
0.00082509447,0.0010778904
0.0021175714,-0.004824519
-0.005099835,0.0033351183
-0.005951048,-0.0056186914
-0.0020425587,-0.0057380795
-0.0010056462,0.001670599
-0.0031125352,0.0021988153
0.0023423193,0.002519846
-0.001205581,-0.00051152706
0.006168417,-0.0020336509
-0.0108253965,0.0095899105
0.0005028508,-0.008275449
-0.0037027854,0.00017511845
-0.0037078687,-0.0030779243
-0.012169942,-0.0022264123
0.0019900042,-0.010756314
0.004798611,-0.0031282902
-0.008458877,0.0012671947
0.0004162097,-0.0114094615
0.0042974674,-0.0020408034
-6.0579652e-05,0.0034595728
-0.0015796213,-0.0047180653
-0.007638909,-0.002212882
-0.0011641489,-0.012890518
0.004122794,0.0038534403
0.007881822,-0.00030124187
0.007841991,0.00869596
0.0030715072,0.0058989525
-0.00462936,0.004006982
-0.0037220581,0.001943469
0.0006335047,-0.0051392317
0.0114975795,0.0011640787
-0.00094562804,0.009333134
-0.012439937,0.00038576126
0.0005219263,-0.0097821355
-0.0064249584,-0.0074530244
-0.00424919,-0.00858587
0.014821438,-0.0057617426
-0.013089766,0.0062232018
-0.0058297273,-0.0031818151
-0.022150159,-0.007616818
0.016963618,-0.011185586
0.00521728,0.015774488
0.0039239917,0.0037629604
0.020725764,0.0067076683
0.0063384837,0.016964912
0.00072347367,0.0065675974
0.0023389058,0.0010139942
-0.0020081017,0.0016641617
-0.0050650733,-0.0011809468
0.007837176,-0.006458938
0.0033784828,0.011541367
0.010439572,0.0015975237
-0.0010619883,0.014264941
0.0015266412,0.0046948195
0.0017272108,-0.0013072491
0.008327875,5.185604e-05
0.0008563893,0.005830407
-0.0009738728,-0.0017851591
4.381406e-05,0.0052651167
-0.00072606164,0.0033203363
7.129133e-05,-0.0016015768
0.00364607,0.0023635626
0.014039394,0.00037956238
0.010406069,0.014689922
-0.0061945226,0.008194804
0.0029211256,-0.0011327863
-0.0043095737,-0.0022064447
0.0014319599,-0.0019413233
0.0046989084,0.0017459393
-0.00049869483,0.0036129951
0.00274035,0.0043329
0.009216001,0.0047523975
0.009327152,0.014005661
-0.0008774443,0.004262924
0.005912979,0.0015251637
0.0022395325,2.3007393e-05
-0.013927616,0.006752372
0.010387221,-0.012671649
-0.0073849615,0.00869298
0.0038389575,-0.0004914403
4.3025346e-05,0.0042625666
0.00013740899,0.0029615164
-0.00045727252,0.0014228821
0.0036514343,-0.0005452633
-0.00020997507,0.0006766319
0.00086055114,-0.0075526237
0.004121125,0.00027108192
0.01272357,0.00068831444
-0.004323565,0.00578928
0.0041852286,-0.004188955
0.0015745849,0.00454545
0.0019615463,0.00040555
-0.0033440418,-0.0031300783
-0.002105584,-0.00616765
0.0021639662,-0.0025280118
