sk_sac_return,benchmark_return
0.00023406617,0.002342105
-0.00518934,0.00088620186
0.020703552,-0.0017704368
-0.0027946676,0.016326785
0.015257294,0.00081539154
0.005492557,0.012730122
0.0047839014,0.0044841766
-0.0047829025,0.0070643425
0.004400252,-0.005027294
-0.010717281,0.0005508661
-0.020306757,-0.008597314
-0.0025113304,-0.019080102
0.0020381631,-0.004658282
0.0093076555,0.0018122196
-0.030295376,0.009783387
-0.007881387,-0.030289173
-0.008682415,-0.005712211
-0.0100697195,-0.00959909
0.0035747867,-0.008821368
-0.008971974,0.004633069
-0.0043978663,-0.010676503
0.015340308,-0.005528331
0.0065114023,0.01399827
0.011242973,0.0061187744
0.009416807,0.011870861
-0.043034952,0.007142067
0.0056483354,-0.03941679
-0.010888606,0.00096833706
-0.0055961697,-0.005565107
0.0067783194,-0.004502356
-0.010350521,0.00639987
-0.019048786,-0.010104835
-0.0023199786,-0.017014503
-0.016529074,-0.0035482645
-0.0071537774,-0.01616764
-0.004207413,-0.011138737
0.016095528,-0.0042999387
-0.019598536,0.01883471
-0.018581681,-0.015433729
0.027404988,-0.017111719
0.028582636,0.026644588
-0.0013150057,0.027989268
-0.010366135,-0.0014002919
-0.022441942,-0.011459708
0.001019447,-0.021056294
0.0019468827,-0.0032054186
-0.0011302162,0.0012433529
0.023811191,-0.0009692311
-0.016551338,0.028341174
0.024381898,-0.013445675
0.013611256,0.018592715
-0.004115592,0.011196613
-0.0008661275,-0.0032758117
0.025871499,-0.0029654503
0.014494377,0.024691105
0.013935339,0.013417721
-0.006648934,0.010702372
0.0064610834,7.43866e-05
0.020854004,0.006098509
-0.0068150857,0.025864363
-0.0070291404,-0.003921032
-0.02054831,-0.0024363995
-0.0049387063,-0.015479028
0.008041675,-0.004557371
0.011544721,0.012561083
0.01252607,0.013078332
-0.016984805,0.010169268
0.046566553,-0.019507587
0.0014549858,0.036951303
-0.0031006846,0.0009635687
0.002835479,-0.0062569976
-0.005461112,0.0016764402
0.0019792435,-0.0011637211
0.0054921145,-0.00022375584
-0.0035181926,0.005943179
0.011395691,-0.0013456345
0.00503896,0.0118047
0.0002966043,0.0028141737
-0.008833963,0.004473686
-0.0027675366,-0.014486551
0.026031528,9.071827e-05
-0.008067432,0.021777987
0.0018039134,-0.005630493
-0.015361839,0.0010137558
-0.010994799,-0.014022052
-0.0028836052,-0.010332584
0.008841828,4.708767e-05
-0.009048034,0.0054633617
0.013859693,-0.00902921
0.0068174237,0.015789509
-0.005676995,0.0030466318
-0.024834223,-0.0041716695
-0.007920051,-0.02249676
-0.0058258595,-0.008486092
0.0036773281,-0.0049489737
0.01732873,0.0028146505
-0.012569395,0.016034842
0.005124893,-0.010456204
-0.0011877315,0.005342245
-0.012409816,0.0011333227
0.0118903965,-0.011005759
-0.0020655482,0.010496855
0.0021504725,-0.0022140145
0.010348207,-0.00032818317
-0.010950779,0.0040256977
0.02808858,-0.010210216
-0.003386849,0.021273255
0.0056692436,-0.0033589005
0.009455143,0.0055627823
0.004178335,0.007978559
0.0070325993,0.006386161
-0.0054679955,0.0032945871
-0.018225715,-0.011420667
-0.007601324,-0.018103063
0.01549423,-0.00758034
0.008368919,0.010014653
0.0023749985,0.007612467
0.0011570307,0.0031044483
-0.0010256934,0.00029289722
0.0015776702,0.0060920715
-0.004676016,0.0008444786
0.007371052,-0.0076810718
0.0029186094,0.010942459
0.003519225,0.00020301342
-0.009301976,-0.0011445284
-0.0011136186,-0.003756702
0.0052465657,-0.0010313988
-0.009271358,0.007838964
-0.004626647,-0.00608021
0.0019805867,-0.0073384643
0.013065481,0.0050264597
-0.0044187224,0.011121035
0.0041306824,-0.0045745373
-0.011396731,0.0011376143
0.0052247043,-0.012634754
-0.01785367,0.0038532019
-0.00035781073,-0.020608008
0.002797503,-0.002550602
-0.01281939,0.0032930374
0.0040937853,-0.01016438
-0.0044020866,0.0021990538
0.0012380221,-0.007065892
0.017033786,0.00015735626
0.011189632,0.010462642
0.0023196305,0.011738062
-0.01297189,0.00121212
-0.0020816913,-0.017198801
-0.016525427,-0.0017671585
-0.00907412,-0.016572118
0.0034706204,-0.010702848
0.012490956,-0.0028361082
-0.00417927,0.0105679035
0.015155922,-0.008733511
-0.01323051,0.011670113
0.012439242,-0.011925936
0.0074313013,0.012008071
-0.018633703,0.0098006725
0.0016314061,-0.016292393
0.0072355024,0.0023459196
0.007314506,0.0041202307
0.00053278846,0.0060349703
0.012564055,-0.0011664629
0.0053944997,0.009981751
0.012070032,0.0043227673
0.0058557615,0.012633324
-0.003977274,0.009827495
-0.0004692836,-0.005915582
-0.0014418057,0.0024051666
0.0008236754,7.677078e-05
-0.0012135777,0.0030231476
-0.0025603608,0.0029258728
0.0142429555,-0.0011366606
-0.0036094547,0.011388779
0.004032613,-0.0042087436
0.0015409855,0.0029720068
0.00070847914,-0.000310421
-0.005398549,-0.002343297
0.0030321463,-0.003256619
0.0013811056,0.00066125393
-0.009662996,0.001965046
-0.0067723882,-0.010171711
0.014944543,-0.0068282485
0.00354689,0.015743494
-0.004179526,0.008041143
-0.0046699005,-0.0013625622
-0.0075492235,-0.010782659
-0.006157733,-0.008024275
0.016076302,-0.008574188
-0.00039309924,0.01650095
-0.00022407374,-0.0016537309
0.0055151037,-0.001691997
-0.002127205,-0.000908196
-0.00224317,-0.0066152215
0.0022468413,-0.0002669096
-0.0061605065,0.0014408827
0.010724718,-0.010089219
0.007634735,0.012378097
-0.00074550736,0.0034451485
-0.00745437,-0.0032586455
-0.007056955,-0.0041897893
-0.003623388,-0.0069417357
-0.0026920268,-0.007732153
0.010466808,-0.0010753274
0.0015803524,0.010031819
-0.00066770264,-0.0015277863
0.003511718,-0.0040708184
0.0198126,0.0046584606
-0.0036028724,0.021208644
-0.0015822033,-0.005920768
-0.0030845178,0.0003105402
0.009584358,0.0027325153
0.0017363984,0.005007863
0.0065659275,0.0012760162
0.0040922128,0.005595207
-0.0016792436,0.0042797327
0.01301521,-0.0068044066
-0.0015709383,0.01261735
-0.0035987108,-0.00316602
-0.0051698107,-0.007150352
0.0045664515,-0.0030055642
-0.0070633385,-0.00014162064
-0.0018117559,-0.006459594
0.008114952,-0.0003771186
-0.00066545076,0.006288886
0.0049988944,-0.002183497
0.009201494,0.007968664
-0.00094760844,0.008357525
-0.00027682795,0.0003157854
-0.010585646,-0.0037720203
-0.0050332826,-0.010685146
0.004558874,-0.0055238605
0.009872611,0.006210804
0.0024464445,0.009339452
0.00644525,0.0025103092
