sk_sac_return,benchmark_return
-0.0013470877,0.002342105
-0.0042784065,0.00088620186
0.01994373,-0.0017704368
0.0013242428,0.016326785
0.0150649715,0.00081539154
0.005567096,0.012730122
0.0058114133,0.0044841766
-0.0063219303,0.0070643425
0.0026444858,-0.005027294
-0.011523962,0.0005508661
-0.020050552,-0.008597314
-0.004011986,-0.019080102
0.0027810177,-0.004658282
0.010676827,0.0018122196
-0.032573234,0.009783387
-0.007133458,-0.030289173
-0.008813868,-0.005712211
-0.010320581,-0.00959909
0.0016143582,-0.008821368
-0.010183636,0.004633069
-0.0064041726,-0.010676503
0.016050823,-0.005528331
0.0060988846,0.01399827
0.014264565,0.0061187744
0.009394092,0.011870861
-0.041353986,0.007142067
0.0019389067,-0.03941679
-0.009101931,0.00096833706
-0.0048103705,-0.005565107
0.00663624,-0.004502356
-0.011587977,0.00639987
-0.017716115,-0.010104835
-0.0060871695,-0.017014503
-0.015776455,-0.0035482645
-0.010481368,-0.01616764
-0.004325327,-0.011138737
0.01885883,-0.0042999387
-0.018071743,0.01883471
-0.01954159,-0.015433729
0.02815383,-0.017111719
0.029483125,0.026644588
-0.0017975161,0.027989268
-0.011316443,-0.0014002919
-0.024708584,-0.011459708
-0.0041298503,-0.021056294
-0.0015645365,-0.0032054186
-0.0010692041,0.0012433529
0.027298266,-0.0009692311
-0.016903145,0.028341174
0.024198873,-0.013445675
0.012787963,0.018592715
-0.0037323968,0.011196613
-0.0027715391,-0.0032758117
0.021830494,-0.0029654503
0.012925592,0.024691105
0.015556341,0.013417721
-0.0026415137,0.010702372
0.0035149138,7.43866e-05
0.023406534,0.006098509
-0.005710537,0.025864363
-0.00398543,-0.003921032
-0.018988537,-0.0024363995
-0.0060163415,-0.015479028
0.013694618,-0.004557371
0.010734511,0.012561083
0.009580672,0.013078332
-0.021589788,0.010169268
0.048496723,-0.019507587
0.0055883513,0.036951303
-0.0051256754,0.0009635687
0.004568954,-0.0062569976
-0.0049941116,0.0016764402
-0.0004846092,-0.0011637211
0.0050609205,-0.00022375584
8.25974e-05,0.005943179
0.012812762,-0.0013456345
0.005292458,0.0118047
0.0016891927,0.0028141737
